DemographicID,Date,City,Ward,Area_sq_km,Population,Young_Population_Rate,Adult_Population_Rate,Older_Population_Rate,LiteracyRate,GenderRatio,MedianAge,Households,EmploymentRate,PINCode
48,17-02-2025,Bengaluru,CV Raman Nagar,15.13,84162,34.2,49.1,16.7,86.1,978,41,18611,88.5,560102
49,18-02-2025,Bengaluru,Shivajinagar,6.8,119931,25.7,59.3,15,87.9,960,31,12998,73,560066
50,19-02-2025,Bengaluru,North,3.75,37769,22,68,10,82.4,964,28,27147,65.3,560078
51,20-02-2025,Bengaluru,East,3.47,73069,24.9,62.6,12.5,85.4,969,24,29087,77.6,560102
52,21-02-2025,Bengaluru,East,15.73,72921,18.1,71.7,10.2,88.2,967,41,23767,88.5,560102
53,22-02-2025,Bengaluru,Yelahanka,8.53,105670,21.7,67.1,11.2,90.9,945,29,19315,89.3,560001
54,23-02-2025,Bengaluru,Shivajinagar,2.92,102246,33.4,53.5,13.1,86.1,975,38,9954,59.7,560078
55,24-02-2025,Bengaluru,South,14.3,67692,23.6,64.9,11.5,83.3,980,37,12266,86.4,560102
56,25-02-2025,Bengaluru,South,5.98,26993,18.3,69.2,12.5,92.8,961,25,28714,59.1,560048
57,26-02-2025,Bengaluru,Mahadevapura,6.2,80070,21.4,72.4,6.2,90.7,956,30,19238,81.8,560076
58,27-02-2025,Bengaluru,Hebbal,13.63,119946,20.9,65.8,13.3,93.6,939,27,22962,58.9,560066
59,28-02-2025,Bengaluru,East,8.65,111718,27.8,55.3,16.9,81.8,957,31,7339,81.7,560066
60,01-03-2025,Bengaluru,Dasarahalli,14.84,92177,32.5,54.3,13.2,92.9,942,41,18037,80.5,560034
61,02-03-2025,Bengaluru,East,15.25,31833,26.6,63.3,10.1,86.2,943,38,27177,63.2,560037
62,03-03-2025,Bengaluru,RR Nagar,12.05,88539,30.5,51.9,17.6,92.7,949,37,27954,78.1,560076
63,04-03-2025,Bengaluru,Dasarahalli,6.82,77087,32.5,51.5,16,82.6,949,36,15023,59,560076
64,05-03-2025,Bengaluru,RR Nagar,7.78,96139,21.1,70.4,8.5,91.3,937,41,4332,75.6,560048
65,06-03-2025,Bengaluru,West,11.11,49499,19.5,65.9,14.6,91.1,961,39,18685,85,560034
66,07-03-2025,Bengaluru,Bommanahalli,7.25,94225,23,66.1,10.9,85,955,40,15264,72.5,560076
67,08-03-2025,Bengaluru,RR Nagar,6.4,33814,24,64.6,11.4,91.7,940,27,28342,76.2,560037
68,09-03-2025,Bengaluru,RR Nagar,13.73,117641,21.3,63.8,14.9,88,938,27,10360,68.1,560076
69,10-03-2025,Bengaluru,North,4.46,23965,21.1,72.7,6.2,96.5,955,33,26852,90.1,560102
70,11-03-2025,Bengaluru,RR Nagar,9.78,75733,19.7,74.2,6.1,84.5,923,32,19654,61.9,560034
71,12-03-2025,Bengaluru,Shivajinagar,13.14,37887,24.8,68.3,6.9,80.8,956,33,6791,91.8,560034
72,13-03-2025,Bengaluru,CV Raman Nagar,14.76,47581,27.5,61.5,11,92.7,944,38,18507,68.1,560078
73,14-03-2025,Bengaluru,CV Raman Nagar,17.38,31006,23.2,63.3,13.5,96,933,30,12671,80.5,560037
74,15-03-2025,Bengaluru,Mahadevapura,2.54,77048,22.1,65.3,12.6,91.1,950,33,5069,65.9,560066
75,16-03-2025,Bengaluru,Shivajinagar,6.12,52675,30,58.6,11.4,93,960,30,17930,61.9,560048
76,17-03-2025,Bengaluru,Mahadevapura,3.61,39747,29,54.1,16.9,93.1,958,33,18390,62.2,560066
77,18-03-2025,Bengaluru,North,10.87,75377,29.9,52.8,17.3,79.5,922,37,28069,69,560066
78,19-03-2025,Bengaluru,Shivajinagar,15.46,93392,18.4,72.9,8.7,89.2,921,32,22882,59.4,560037
79,20-03-2025,Bengaluru,RR Nagar,5.31,94720,26,60.2,13.8,86.3,972,39,6989,74,560078
80,21-03-2025,Bengaluru,Mahadevapura,7.61,108921,23.7,62.3,14,87.4,962,36,28920,76.7,560102
81,22-03-2025,Bengaluru,Dasarahalli,17.54,70976,19.5,71.5,9,94.4,972,24,25550,87.6,560102
82,23-03-2025,Bengaluru,South,12.15,83338,25,66.7,8.3,89.9,968,25,10670,67.1,560037
83,24-03-2025,Bengaluru,Hebbal,10.01,21783,33.8,54.9,11.3,96.5,958,31,27258,63.4,560001
84,25-03-2025,Bengaluru,Dasarahalli,9.65,33396,27.4,65.5,7.1,90.3,929,39,27481,67.9,560066
85,26-03-2025,Bengaluru,West,6.28,90255,25.1,63.1,11.8,80.7,932,40,28454,87.9,560034
86,27-03-2025,Bengaluru,East,7.77,84550,22.7,61.8,15.5,83.1,920,33,27791,68.2,560102
87,28-03-2025,Bengaluru,West,7.85,90340,32.7,55.9,11.4,92.5,944,38,14544,87.6,560048
88,29-03-2025,Bengaluru,East,3.18,115609,27.7,63.5,8.8,87,978,36,16651,91.6,560037
89,30-03-2025,Bengaluru,North,17.46,61515,26.4,67.2,6.4,94.5,975,38,7267,75.9,560102
90,31-03-2025,Bengaluru,Shivajinagar,17.53,27807,18.3,74,7.7,86.9,936,34,24422,81.6,560034
91,01-04-2025,Bengaluru,North,8.39,59505,32.5,51.3,16.2,89.9,976,39,21728,59.2,560034
92,02-04-2025,Bengaluru,RR Nagar,17.96,115880,22,63.8,14.2,79.7,926,27,18538,63.7,560066
93,03-04-2025,Bengaluru,Yelahanka,7.05,67131,33.4,60,6.6,86.2,935,40,17502,77.2,560037
94,04-04-2025,Bengaluru,East,12.11,49566,20.9,72.2,6.9,87.5,957,28,11608,73.7,560066
95,05-04-2025,Bengaluru,West,16.47,106815,25.8,60.2,14,88.4,924,38,15323,91.6,560066
96,06-04-2025,Bengaluru,RR Nagar,9.58,57599,28.9,60,11.1,81.8,944,39,7494,66.1,560076
97,07-04-2025,Bengaluru,RR Nagar,2.84,104275,27.8,54.3,17.9,85.5,920,25,23870,83.3,560066
98,08-04-2025,Bengaluru,South,5.89,42920,31.2,60,8.8,89.8,963,28,24586,61.3,560001
99,09-04-2025,Bengaluru,CV Raman Nagar,8.16,35224,23.3,65.4,11.3,79.7,938,34,28493,72.1,560048
100,10-04-2025,Bengaluru,South,10.73,53720,20.2,67.3,12.5,93.8,936,39,13671,83.4,560076
101,11-04-2025,Bengaluru,Dasarahalli,4.68,47571,31.7,56.7,11.6,94.3,966,36,22262,70.4,560078
102,12-04-2025,Bengaluru,West,8.21,116174,18.2,69.4,12.4,90.8,957,36,24923,90,560034
103,13-04-2025,Bengaluru,CV Raman Nagar,16.21,91584,29.5,58.8,11.7,84.2,959,31,25222,60.1,560102
104,14-04-2025,Bengaluru,East,4.31,23943,33.5,56.9,9.6,96,939,39,7805,61.3,560037
105,15-04-2025,Bengaluru,Hebbal,13.3,88804,24.6,64.9,10.5,86,967,28,17594,80.3,560102
106,16-04-2025,Bengaluru,RR Nagar,3.01,66566,28.5,54.2,17.3,82.1,948,31,15884,61.4,560076
107,17-04-2025,Bengaluru,South,3.44,54160,27.3,55,17.7,81.6,927,38,7003,80.5,560001
108,18-04-2025,Bengaluru,Mahadevapura,14.7,44896,18.9,71.1,10,79.3,968,41,10788,77.9,560048
109,19-04-2025,Bengaluru,CV Raman Nagar,2.54,36964,23.6,68.6,7.8,96.8,954,32,9717,61.7,560001
110,20-04-2025,Bengaluru,Bommanahalli,11.63,20068,20.2,69.5,10.3,81.3,923,28,28304,72.3,560034
111,21-04-2025,Bengaluru,South,10.46,32293,30.7,57.6,11.7,86.6,934,25,27830,84.6,560066
112,22-04-2025,Bengaluru,Yelahanka,17.98,70640,25.8,56.6,17.6,86.1,926,39,27343,88.9,560034
113,23-04-2025,Bengaluru,Mahadevapura,3.52,54046,33.3,56.8,9.9,89.9,957,41,27335,69.1,560066
114,24-04-2025,Bengaluru,Dasarahalli,14.79,32996,25.7,61,13.3,94.2,961,41,27620,87.4,560078
115,25-04-2025,Bengaluru,South,15.32,70262,25.7,65.6,8.7,85.9,926,34,17984,68.6,560066
116,26-04-2025,Bengaluru,West,3.54,29188,24.4,67.8,7.8,79.8,926,35,8263,76.9,560076
117,27-04-2025,Bengaluru,Shivajinagar,17.09,73435,29.4,59.7,10.9,94.5,966,25,13425,78.4,560076
118,28-04-2025,Bengaluru,Mahadevapura,12.68,47392,19.8,68.1,12.1,94.1,942,41,16044,61.9,560066
119,29-04-2025,Bengaluru,North,17.61,99490,27.8,56.5,15.7,89.7,961,41,4860,78.7,560066
120,30-04-2025,Bengaluru,RR Nagar,16.78,64009,18.5,72.2,9.3,78.1,975,28,22557,80.3,560034
1,01-01-2025,Bengaluru,RR Nagar,6.3,36289,28.9,64.8,6.3,92,963,41,6848,78.1,560001
2,02-01-2025,Bengaluru,North,11.83,91563,18.5,72.9,8.6,81.8,961,41,17746,65.5,560066
3,03-01-2025,Bengaluru,Mahadevapura,13.32,62597,31.8,62.1,6.1,83.3,933,34,7349,61.2,560034
4,04-01-2025,Bengaluru,RR Nagar,15.01,113647,24.1,65.8,10.1,86.7,927,36,6582,76.8,560076
5,05-01-2025,Bengaluru,Yelahanka,12.75,119327,27.8,57.7,14.5,83.5,925,31,7309,70.9,560102
6,06-01-2025,Bengaluru,South,8.01,105841,28.8,60.8,10.4,83.1,979,26,23960,79.6,560048
7,07-01-2025,Bengaluru,Shivajinagar,13.17,46785,20.8,68.6,10.6,91,973,25,11505,85.9,560076
8,08-01-2025,Bengaluru,CV Raman Nagar,16.08,59245,24.8,68.4,6.8,82,951,36,25064,73.6,560066
9,09-01-2025,Bengaluru,North,6.57,94622,20.4,64.7,14.9,86.1,957,36,15861,65.5,560037
10,10-01-2025,Bengaluru,Yelahanka,15.85,38033,26.7,66.2,7.1,89.9,970,37,23543,60.2,560078
11,11-01-2025,Bengaluru,RR Nagar,17.55,19504,28.1,60.3,11.6,90.9,927,41,28604,67.1,560076
12,12-01-2025,Bengaluru,West,2.55,112646,19.9,68.9,11.2,94.6,936,40,28967,64.1,560034
13,13-01-2025,Bengaluru,Shivajinagar,10.37,44071,32.8,57.6,9.6,80.9,968,29,21674,90.4,560001
14,14-01-2025,Bengaluru,Dasarahalli,16.9,58306,28.2,59.9,11.9,82.5,935,26,6806,82.9,560034
15,15-01-2025,Bengaluru,Mahadevapura,4.49,80296,34.6,53,12.4,96,930,32,21290,87.7,560078
16,16-01-2025,Bengaluru,Hebbal,13.19,111447,34.4,48.5,17.1,83.9,962,35,18355,88.6,560102
17,17-01-2025,Bengaluru,South,2.83,90603,20.1,71.2,8.7,82.4,934,24,6326,82.1,560001
18,18-01-2025,Bengaluru,South,3.6,49195,21.9,61.2,16.9,83.3,951,30,21669,62.5,560102
19,19-01-2025,Bengaluru,East,5.45,30704,22.1,66.2,11.7,90.5,942,37,17470,73.9,560001
20,20-01-2025,Bengaluru,Dasarahalli,3.44,113448,29.4,52.8,17.8,84.4,975,27,12147,64.5,560102
21,21-01-2025,Bengaluru,West,6.37,27880,20.4,71.4,8.2,86.4,975,41,7208,59.7,560001
22,22-01-2025,Bengaluru,Bommanahalli,5.08,81653,34.5,48.4,17.1,87.1,975,36,5921,63.6,560001
23,23-01-2025,Bengaluru,West,6.92,109303,34.8,56,9.2,96.2,970,41,25688,82.4,560037
24,24-01-2025,Bengaluru,Yelahanka,11.48,89066,21.2,70.2,8.6,79.2,940,25,5643,77.9,560037
25,25-01-2025,Bengaluru,Mahadevapura,3.56,26907,19,68.9,12.1,90.8,935,36,7928,90,560048
26,26-01-2025,Bengaluru,Dasarahalli,9,94503,27.8,65.7,6.5,88.7,940,32,10693,80.8,560076
27,27-01-2025,Bengaluru,Shivajinagar,12.51,77929,22.1,67.2,10.7,84,968,26,4305,73.6,560034
28,28-01-2025,Bengaluru,RR Nagar,4.55,63745,19.2,72.2,8.6,94.7,976,31,16108,67.7,560102
29,29-01-2025,Bengaluru,CV Raman Nagar,17.75,103717,32.2,53.4,14.4,88,962,41,13810,89.7,560034
30,30-01-2025,Bengaluru,Dasarahalli,16.29,115310,34,58.4,7.6,88.5,937,33,23819,65.2,560076
31,31-01-2025,Bengaluru,RR Nagar,10.33,50914,21.5,64.9,13.6,95.2,974,25,7024,79.6,560066
32,01-02-2025,Bengaluru,Mahadevapura,12.38,52335,18.7,71.3,10,81.1,948,41,27123,72.5,560001
33,02-02-2025,Bengaluru,Hebbal,16.51,89511,19.9,62.8,17.3,78.7,943,41,8852,72.6,560001
34,03-02-2025,Bengaluru,Yelahanka,16.43,45535,23.2,60,16.8,91,962,27,15589,84.5,560078
35,04-02-2025,Bengaluru,Bommanahalli,15.9,41206,34.6,50.4,15,94.7,921,29,28135,89.4,560078
36,05-02-2025,Bengaluru,Bommanahalli,6.64,109917,31.6,52,16.4,80.1,975,25,19423,65.6,560102
37,06-02-2025,Bengaluru,Bommanahalli,5.96,104511,23.9,60.3,15.8,81.7,941,32,6274,90.9,560066
38,07-02-2025,Bengaluru,Shivajinagar,17.71,88282,24,63.9,12.1,84.3,921,27,12559,64.1,560066
39,08-02-2025,Bengaluru,South,13.79,59114,18.7,68.1,13.2,86.3,952,27,16622,88.6,560048
40,09-02-2025,Bengaluru,Yelahanka,10.56,88575,22.3,63.2,14.5,91.1,980,30,15934,72.7,560076
41,10-02-2025,Bengaluru,Dasarahalli,13.66,57363,28.6,57.4,14,87.6,962,37,14688,71.7,560066
42,11-02-2025,Bengaluru,Shivajinagar,17.08,106777,27.4,64.3,8.3,92.2,931,33,17306,76.6,560001
43,12-02-2025,Bengaluru,CV Raman Nagar,11.9,60237,23.2,68.3,8.5,86.8,948,30,20750,74.1,560037
44,13-02-2025,Bengaluru,Shivajinagar,12.31,61933,29.2,61.4,9.4,79.8,980,31,26046,68.6,560048
45,14-02-2025,Bengaluru,West,11.97,118727,20.5,72.9,6.6,79.4,946,30,27538,81.7,560102
46,15-02-2025,Bengaluru,Hebbal,2.59,116430,24.8,67.4,7.8,94.3,976,27,29507,72.5,560037
47,16-02-2025,Bengaluru,West,3.28,50662,31.7,53.9,14.4,95.4,927,38,8369,85.2,560076
48,17-02-2025,Bengaluru,CV Raman Nagar,15.13,84162,34.2,49.1,16.7,86.1,978,41,18611,88.5,560102
49,18-02-2025,Bengaluru,Shivajinagar,6.8,119931,25.7,59.3,15,87.9,960,31,12998,73,560066
50,19-02-2025,Bengaluru,North,3.75,37769,22,68,10,82.4,964,28,27147,65.3,560078
51,20-02-2025,Bengaluru,East,3.47,73069,24.9,62.6,12.5,85.4,969,24,29087,77.6,560102
52,21-02-2025,Bengaluru,East,15.73,72921,18.1,71.7,10.2,88.2,967,41,23767,88.5,560102
53,22-02-2025,Bengaluru,Yelahanka,8.53,105670,21.7,67.1,11.2,90.9,945,29,19315,89.3,560001
54,23-02-2025,Bengaluru,Shivajinagar,2.92,102246,33.4,53.5,13.1,86.1,975,38,9954,59.7,560078
55,24-02-2025,Bengaluru,South,14.3,67692,23.6,64.9,11.5,83.3,980,37,12266,86.4,560102
56,25-02-2025,Bengaluru,South,5.98,26993,18.3,69.2,12.5,92.8,961,25,28714,59.1,560048
57,26-02-2025,Bengaluru,Mahadevapura,6.2,80070,21.4,72.4,6.2,90.7,956,30,19238,81.8,560076
58,27-02-2025,Bengaluru,Hebbal,13.63,119946,20.9,65.8,13.3,93.6,939,27,22962,58.9,560066
59,28-02-2025,Bengaluru,East,8.65,111718,27.8,55.3,16.9,81.8,957,31,7339,81.7,560066
60,01-03-2025,Bengaluru,Dasarahalli,14.84,92177,32.5,54.3,13.2,92.9,942,41,18037,80.5,560034
61,02-03-2025,Bengaluru,East,15.25,31833,26.6,63.3,10.1,86.2,943,38,27177,63.2,560037
62,03-03-2025,Bengaluru,RR Nagar,12.05,88539,30.5,51.9,17.6,92.7,949,37,27954,78.1,560076
63,04-03-2025,Bengaluru,Dasarahalli,6.82,77087,32.5,51.5,16,82.6,949,36,15023,59,560076
64,05-03-2025,Bengaluru,RR Nagar,7.78,96139,21.1,70.4,8.5,91.3,937,41,4332,75.6,560048
65,06-03-2025,Bengaluru,West,11.11,49499,19.5,65.9,14.6,91.1,961,39,18685,85,560034
66,07-03-2025,Bengaluru,Bommanahalli,7.25,94225,23,66.1,10.9,85,955,40,15264,72.5,560076
67,08-03-2025,Bengaluru,RR Nagar,6.4,33814,24,64.6,11.4,91.7,940,27,28342,76.2,560037
68,09-03-2025,Bengaluru,RR Nagar,13.73,117641,21.3,63.8,14.9,88,938,27,10360,68.1,560076
69,10-03-2025,Bengaluru,North,4.46,23965,21.1,72.7,6.2,96.5,955,33,26852,90.1,560102
70,11-03-2025,Bengaluru,RR Nagar,9.78,75733,19.7,74.2,6.1,84.5,923,32,19654,61.9,560034
71,12-03-2025,Bengaluru,Shivajinagar,13.14,37887,24.8,68.3,6.9,80.8,956,33,6791,91.8,560034
72,13-03-2025,Bengaluru,CV Raman Nagar,14.76,47581,27.5,61.5,11,92.7,944,38,18507,68.1,560078
73,14-03-2025,Bengaluru,CV Raman Nagar,17.38,31006,23.2,63.3,13.5,96,933,30,12671,80.5,560037
74,15-03-2025,Bengaluru,Mahadevapura,2.54,77048,22.1,65.3,12.6,91.1,950,33,5069,65.9,560066
75,16-03-2025,Bengaluru,Shivajinagar,6.12,52675,30,58.6,11.4,93,960,30,17930,61.9,560048
76,17-03-2025,Bengaluru,Mahadevapura,3.61,39747,29,54.1,16.9,93.1,958,33,18390,62.2,560066
77,18-03-2025,Bengaluru,North,10.87,75377,29.9,52.8,17.3,79.5,922,37,28069,69,560066
78,19-03-2025,Bengaluru,Shivajinagar,15.46,93392,18.4,72.9,8.7,89.2,921,32,22882,59.4,560037
79,20-03-2025,Bengaluru,RR Nagar,5.31,94720,26,60.2,13.8,86.3,972,39,6989,74,560078
80,21-03-2025,Bengaluru,Mahadevapura,7.61,108921,23.7,62.3,14,87.4,962,36,28920,76.7,560102
81,22-03-2025,Bengaluru,Dasarahalli,17.54,70976,19.5,71.5,9,94.4,972,24,25550,87.6,560102
82,23-03-2025,Bengaluru,South,12.15,83338,25,66.7,8.3,89.9,968,25,10670,67.1,560037
83,24-03-2025,Bengaluru,Hebbal,10.01,21783,33.8,54.9,11.3,96.5,958,31,27258,63.4,560001
84,25-03-2025,Bengaluru,Dasarahalli,9.65,33396,27.4,65.5,7.1,90.3,929,39,27481,67.9,560066
85,26-03-2025,Bengaluru,West,6.28,90255,25.1,63.1,11.8,80.7,932,40,28454,87.9,560034
86,27-03-2025,Bengaluru,East,7.77,84550,22.7,61.8,15.5,83.1,920,33,27791,68.2,560102
87,28-03-2025,Bengaluru,West,7.85,90340,32.7,55.9,11.4,92.5,944,38,14544,87.6,560048
88,29-03-2025,Bengaluru,East,3.18,115609,27.7,63.5,8.8,87,978,36,16651,91.6,560037
89,30-03-2025,Bengaluru,North,17.46,61515,26.4,67.2,6.4,94.5,975,38,7267,75.9,560102
90,31-03-2025,Bengaluru,Shivajinagar,17.53,27807,18.3,74,7.7,86.9,936,34,24422,81.6,560034
91,01-04-2025,Bengaluru,North,8.39,59505,32.5,51.3,16.2,89.9,976,39,21728,59.2,560034
92,02-04-2025,Bengaluru,RR Nagar,17.96,115880,22,63.8,14.2,79.7,926,27,18538,63.7,560066
93,03-04-2025,Bengaluru,Yelahanka,7.05,67131,33.4,60,6.6,86.2,935,40,17502,77.2,560037
94,04-04-2025,Bengaluru,East,12.11,49566,20.9,72.2,6.9,87.5,957,28,11608,73.7,560066
95,05-04-2025,Bengaluru,West,16.47,106815,25.8,60.2,14,88.4,924,38,15323,91.6,560066
96,06-04-2025,Bengaluru,RR Nagar,9.58,57599,28.9,60,11.1,81.8,944,39,7494,66.1,560076
97,07-04-2025,Bengaluru,RR Nagar,2.84,104275,27.8,54.3,17.9,85.5,920,25,23870,83.3,560066
98,08-04-2025,Bengaluru,South,5.89,42920,31.2,60,8.8,89.8,963,28,24586,61.3,560001
99,09-04-2025,Bengaluru,CV Raman Nagar,8.16,35224,23.3,65.4,11.3,79.7,938,34,28493,72.1,560048
100,10-04-2025,Bengaluru,South,10.73,53720,20.2,67.3,12.5,93.8,936,39,13671,83.4,560076
101,11-04-2025,Bengaluru,Dasarahalli,4.68,47571,31.7,56.7,11.6,94.3,966,36,22262,70.4,560078
102,12-04-2025,Bengaluru,West,8.21,116174,18.2,69.4,12.4,90.8,957,36,24923,90,560034
103,13-04-2025,Bengaluru,CV Raman Nagar,16.21,91584,29.5,58.8,11.7,84.2,959,31,25222,60.1,560102
104,14-04-2025,Bengaluru,East,4.31,23943,33.5,56.9,9.6,96,939,39,7805,61.3,560037
105,15-04-2025,Bengaluru,Hebbal,13.3,88804,24.6,64.9,10.5,86,967,28,17594,80.3,560102
106,16-04-2025,Bengaluru,RR Nagar,3.01,66566,28.5,54.2,17.3,82.1,948,31,15884,61.4,560076
107,17-04-2025,Bengaluru,South,3.44,54160,27.3,55,17.7,81.6,927,38,7003,80.5,560001
108,18-04-2025,Bengaluru,Mahadevapura,14.7,44896,18.9,71.1,10,79.3,968,41,10788,77.9,560048
109,19-04-2025,Bengaluru,CV Raman Nagar,2.54,36964,23.6,68.6,7.8,96.8,954,32,9717,61.7,560001
110,20-04-2025,Bengaluru,Bommanahalli,11.63,20068,20.2,69.5,10.3,81.3,923,28,28304,72.3,560034
111,21-04-2025,Bengaluru,South,10.46,32293,30.7,57.6,11.7,86.6,934,25,27830,84.6,560066
112,22-04-2025,Bengaluru,Yelahanka,17.98,70640,25.8,56.6,17.6,86.1,926,39,27343,88.9,560034
113,23-04-2025,Bengaluru,Mahadevapura,3.52,54046,33.3,56.8,9.9,89.9,957,41,27335,69.1,560066
114,24-04-2025,Bengaluru,Dasarahalli,14.79,32996,25.7,61,13.3,94.2,961,41,27620,87.4,560078
115,25-04-2025,Bengaluru,South,15.32,70262,25.7,65.6,8.7,85.9,926,34,17984,68.6,560066
116,26-04-2025,Bengaluru,West,3.54,29188,24.4,67.8,7.8,79.8,926,35,8263,76.9,560076
117,27-04-2025,Bengaluru,Shivajinagar,17.09,73435,29.4,59.7,10.9,94.5,966,25,13425,78.4,560076
118,28-04-2025,Bengaluru,Mahadevapura,12.68,47392,19.8,68.1,12.1,94.1,942,41,16044,61.9,560066
