Record_ID,Date,Zone,Area,Mode_of_Transportation,Income_Group,Service_Coverage,Travel_Time_min,Mobility_Access_Score,Latitude,Longitude
569,2025-01-14,Central,Richmond Town,Scooter,Middle Income,68.1,41.47,54.43,12.963368,77.591835
681,2025-01-15,Central,Richmond Town,Metro,Middle Income,67.16,27.49,63.95,12.964339,77.603318
583,2025-01-15,East,Indiranagar,Bus,Middle Income,70.25,37.08,58.63,12.983068,77.636904
76,2025-01-15,West,Nagarbhavi,Metro,High Income,59.87,37.0,53.51,12.962692,77.507593
484,2025-01-15,West,Rajajinagar,Metro,Middle Income,69.44,32.36,61.61,12.991643,77.545684
705,2025-01-16,Central,MG Road,Car,Low Income,58.56,38.66,51.67,12.981935,77.61365
863,2025-01-16,Central,Shivajinagar,Bus,Low Income,69.46,39.86,56.26,12.977656,77.604813
687,2025-01-16,East,Indiranagar,Metro,High Income,72.39,31.82,63.47,12.983483,77.638049
168,2025-01-16,North,Hebbal,Bus,High Income,52.15,49.84,40.47,13.0348,77.599925
520,2025-01-16,South,HSR Layout,Bike,Middle Income,66.27,38.78,55.44,12.913735,77.645204
227,2025-01-16,South,Koramangala,Car,Low Income,55.85,40.79,48.78,12.937067,77.627698
767,2025-01-16,West,Nagarbhavi,Scooter,Middle Income,61.57,34.71,55.99,12.952955,77.516554
434,2025-01-16,West,Rajajinagar,Bike,Middle Income,37.25,47.59,34.63,12.985863,77.559239
612,2025-01-16,West,Vijayanagar,Metro,Middle Income,71.54,30.66,63.87,12.968092,77.545516
21,2025-01-17,East,Whitefield,Bike,High Income,70.61,37.48,58.53,12.973256,77.742935
929,2025-01-18,Central,MG Road,Scooter,Low Income,66.62,37.5,56.53,12.972594,77.602186
430,2025-01-18,East,Marathahalli,Scooter,Middle Income,65.47,48.42,48.14,12.953467,77.694831
552,2025-01-18,North,Malleshwaram,Car,Middle Income,52.61,36.56,50.19,13.002429,77.561025
283,2025-01-19,Central,Richmond Town,Bus,High Income,69.96,41.6,55.27,12.956896,77.59576
446,2025-01-19,Central,Richmond Town,Car,High Income,69.4,38.3,57.34,12.968659,77.605368
649,2025-01-19,East,Marathahalli,Scooter,Middle Income,55.91,52.5,40.45,12.959037,77.702632
236,2025-01-19,North,Malleshwaram,Metro,Low Income,59.39,65.45,32.94,13.011476,77.564913
618,2025-01-19,North,Malleshwaram,Metro,Middle Income,68.42,36.88,57.87,13.009255,77.562935
964,2025-01-19,North,Yelahanka,Car,Middle Income,43.83,57.31,30.97,13.093631,77.595006
137,2025-01-19,South,HSR Layout,Metro,High Income,81.66,34.59,66.12,12.90624,77.633411
195,2025-01-19,South,HSR Layout,Scooter,Low Income,51.32,41.54,45.98,12.917126,77.644027
722,2025-01-19,West,Rajajinagar,Bike,Low Income,34.42,46.82,33.77,12.995615,77.55231
894,2025-01-20,East,Whitefield,Scooter,Low Income,50.29,56.87,34.52,12.970337,77.753458
233,2025-01-20,North,Hebbal,Metro,Low Income,72.19,36.53,60.0,13.039305,77.589854
67,2025-01-20,North,Malleshwaram,Car,Middle Income,61.73,45.38,48.45,13.006735,77.561402
666,2025-01-20,West,Vijayanagar,Bike,Middle Income,47.57,39.22,45.77,12.975066,77.546111
343,2025-01-22,Central,MG Road,Bike,Low Income,56.23,50.71,41.9,12.969513,77.605552
312,2025-01-22,South,Jayanagar,Scooter,Middle Income,49.34,43.38,43.68,12.925555,77.588719
398,2025-01-22,South,Koramangala,Bike,Low Income,34.62,55.63,27.57,12.93806,77.62148
331,2025-01-22,West,Rajajinagar,Bus,Middle Income,52.06,44.42,44.31,12.990808,77.544794
377,2025-01-23,Central,Richmond Town,Metro,Middle Income,78.61,26.0,70.73,12.961486,77.598878
625,2025-01-23,Central,Richmond Town,Metro,Low Income,75.89,25.04,70.06,12.964964,77.601398
94,2025-01-23,East,Marathahalli,Car,Middle Income,58.16,27.79,59.23,12.962216,77.69796
274,2025-01-23,North,Hebbal,Bus,Middle Income,71.79,42.34,55.65,13.03735,77.601816
590,2025-01-23,West,Rajajinagar,Bus,High Income,57.61,48.65,44.05,12.99561,77.554252
460,2025-01-24,South,Jayanagar,Metro,Middle Income,68.13,37.86,57.02,12.924632,77.586287
773,2025-01-25,Central,MG Road,Metro,Middle Income,74.24,31.93,64.32,12.981418,77.607907
816,2025-01-25,North,Hebbal,Car,Middle Income,57.19,43.73,47.36,13.043197,77.591195
763,2025-01-25,North,Malleshwaram,Car,Middle Income,54.28,26.85,57.96,13.011336,77.56726
418,2025-01-25,South,HSR Layout,Bus,Low Income,46.36,39.5,44.97,12.913305,77.642066
787,2025-01-26,South,Jayanagar,Metro,Middle Income,71.97,45.19,53.71,12.927674,77.599733
606,2025-01-27,East,Marathahalli,Bike,Middle Income,54.97,52.39,40.07,12.96316,77.700762
84,2025-01-29,South,Jayanagar,Metro,Middle Income,71.96,39.46,57.79,12.930041,77.589081
804,2025-01-29,West,Vijayanagar,Bus,Low Income,51.09,52.7,37.9,12.969285,77.546484
85,2025-01-30,Central,Richmond Town,Bus,High Income,85.32,27.92,72.71,12.968405,77.602897
428,2025-01-30,Central,Shivajinagar,Car,Middle Income,62.73,30.95,59.26,12.993233,77.61206
70,2025-01-30,South,HSR Layout,Metro,Low Income,58.21,47.9,44.89,12.905446,77.631759
646,2025-01-31,Central,Richmond Town,Scooter,High Income,75.76,32.16,64.91,12.959171,77.599208
696,2025-01-31,North,Yelahanka,Bike,Middle Income,52.8,53.95,37.86,13.100513,77.598943
800,2025-01-31,West,Nagarbhavi,Metro,Middle Income,60.61,31.48,57.82,12.959843,77.516467
543,2025-01-31,West,Vijayanagar,Car,Middle Income,39.46,50.92,33.36,12.973212,77.548496
27,2025-02-02,North,Hebbal,Bus,High Income,57.18,38.59,51.03,13.042753,77.600135
659,2025-02-02,South,HSR Layout,Bus,Middle Income,79.39,39.86,61.23,12.910943,77.637042
301,2025-02-03,East,Indiranagar,Bus,High Income,67.57,45.74,51.11,12.970519,77.646307
140,2025-02-03,South,Koramangala,Bus,Middle Income,54.39,37.24,50.6,12.940274,77.623985
914,2025-02-03,West,Nagarbhavi,Car,Low Income,51.67,46.02,42.96,12.956066,77.508464
513,2025-02-04,South,HSR Layout,Bus,High Income,75.36,36.15,61.86,12.916636,77.64014
815,2025-02-06,East,Marathahalli,Scooter,Low Income,57.57,34.35,54.25,12.967175,77.700955
306,2025-02-06,South,Koramangala,Bus,Low Income,52.3,36.23,50.27,12.938907,77.618424
181,2025-02-06,West,Rajajinagar,Bike,Low Income,59.19,36.01,53.87,12.985023,77.546741
537,2025-02-07,North,Yelahanka,Metro,High Income,61.02,28.39,60.23,13.09345,77.594784
297,2025-02-07,West,Nagarbhavi,Car,Low Income,25.0,38.98,34.66,12.95303,77.515647
483,2025-02-08,East,Marathahalli,Bus,Low Income,54.39,44.23,45.6,12.953739,77.70034
339,2025-02-08,South,HSR Layout,Car,Low Income,40.7,42.52,39.98,12.910509,77.644414
493,2025-02-08,South,Jayanagar,Metro,Middle Income,62.28,48.35,46.6,12.934061,77.590206
576,2025-02-08,South,Koramangala,Scooter,High Income,58.74,46.95,45.84,12.936372,77.619558
350,2025-02-09,Central,Shivajinagar,Bus,High Income,60.95,46.33,47.38,12.981369,77.599517
500,2025-02-09,South,Jayanagar,Metro,Middle Income,72.43,46.75,52.82,12.933798,77.59288
329,2025-02-10,Central,MG Road,Scooter,Middle Income,68.2,44.47,52.33,12.96996,77.60441
541,2025-02-10,East,Whitefield,Bike,Middle Income,55.2,42.66,47.13,12.968487,77.752986
558,2025-02-10,North,Yelahanka,Metro,Middle Income,73.16,34.92,61.64,13.094436,77.603445
858,2025-02-10,West,Rajajinagar,Metro,Low Income,66.85,50.29,47.5,12.99665,77.554615
316,2025-02-11,West,Rajajinagar,Car,Middle Income,50.75,39.79,46.95,12.984206,77.554169
351,2025-02-12,Central,Shivajinagar,Metro,Middle Income,68.98,29.41,63.48,12.992862,77.600102
674,2025-02-12,East,Indiranagar,Bike,High Income,65.83,43.24,52.03,12.973409,77.6432
750,2025-02-12,North,Yelahanka,Scooter,High Income,56.15,43.71,46.85,13.095736,77.597098
795,2025-02-12,West,Rajajinagar,Bus,High Income,69.7,28.36,64.59,12.998335,77.551491
896,2025-02-12,West,Rajajinagar,Metro,Middle Income,67.01,41.22,54.06,12.9925,77.549921
998,2025-02-13,Central,Richmond Town,Car,Middle Income,60.15,45.69,47.44,12.953475,77.598109
401,2025-02-13,Central,Shivajinagar,Bike,High Income,68.56,42.14,54.18,12.986101,77.608145
442,2025-02-13,North,Yelahanka,Scooter,Middle Income,58.77,42.06,49.34,13.100473,77.600006
779,2025-02-13,South,HSR Layout,Scooter,Low Income,50.87,39.14,47.48,12.914658,77.643479
990,2025-02-13,South,HSR Layout,Scooter,Middle Income,60.31,52.02,43.0,12.91399,77.64601
245,2025-02-13,West,Vijayanagar,Car,Middle Income,57.02,41.04,49.2,12.976631,77.545642
251,2025-02-14,North,Yelahanka,Bike,Middle Income,46.45,57.34,32.27,13.107486,77.602111
812,2025-02-14,South,HSR Layout,Car,Low Income,48.08,38.97,46.21,12.907386,77.644147
204,2025-02-14,South,Koramangala,Bus,Middle Income,58.77,44.41,47.66,12.940622,77.629819
658,2025-02-15,Central,Shivajinagar,Bike,Middle Income,68.11,42.38,53.78,12.989581,77.609235
415,2025-02-15,Central,Shivajinagar,Bus,High Income,72.73,28.55,65.98,12.983089,77.612509
325,2025-02-15,North,Yelahanka,Scooter,Middle Income,49.46,27.53,55.07,13.100309,77.593805
82,2025-02-15,South,HSR Layout,Car,Low Income,53.23,32.67,53.28,12.904401,77.645489
212,2025-02-15,West,Vijayanagar,Bus,Low Income,45.98,36.26,47.09,12.971749,77.548625
308,2025-02-16,Central,MG Road,Bus,Low Income,64.36,37.23,55.59,12.98282,77.600271
932,2025-02-16,South,Koramangala,Scooter,Middle Income,54.59,46.36,44.18,12.93511,77.624993
253,2025-02-16,West,Rajajinagar,Scooter,Middle Income,39.23,35.7,44.11,12.988205,77.550422
792,2025-02-17,Central,Richmond Town,Metro,Middle Income,86.79,25.64,75.09,12.968912,77.603159
156,2025-02-17,East,Marathahalli,Car,Middle Income,64.9,25.83,64.0,12.958497,77.696729
582,2025-02-18,Central,Shivajinagar,Car,Middle Income,62.99,54.97,42.23,12.98823,77.603705
651,2025-02-18,Central,Shivajinagar,Car,Low Income,58.21,49.44,43.79,12.985447,77.600879
310,2025-02-18,Central,Shivajinagar,Metro,Low Income,47.27,50.0,37.92,12.983934,77.610406
872,2025-02-18,North,Hebbal,Bike,High Income,72.86,32.51,63.21,13.036231,77.597521
1000,2025-02-19,East,Indiranagar,Scooter,Middle Income,68.88,35.62,59.0,12.977466,77.641135
248,2025-02-19,East,Whitefield,Bike,Middle Income,70.44,42.53,54.84,12.975828,77.750784
64,2025-02-19,South,HSR Layout,Bike,High Income,65.14,30.05,61.1,12.917427,77.644023
59,2025-02-19,West,Vijayanagar,Metro,Low Income,52.26,41.48,46.5,12.969202,77.545403
255,2025-02-20,North,Hebbal,Metro,Middle Income,67.13,37.3,56.92,13.043572,77.604655
252,2025-02-20,South,Koramangala,Bus,Low Income,51.51,30.84,53.72,12.936889,77.630681
963,2025-02-21,Central,Shivajinagar,Metro,Middle Income,77.78,32.36,65.77,12.980484,77.597211
864,2025-02-21,East,Indiranagar,Scooter,High Income,72.07,37.86,58.99,12.973728,77.632896
592,2025-02-21,South,HSR Layout,Metro,Middle Income,68.08,39.51,55.82,12.912298,77.640743
661,2025-02-21,West,Vijayanagar,Car,Low Income,41.14,45.8,37.86,12.971792,77.546149
259,2025-02-22,South,HSR Layout,Bus,Middle Income,66.89,29.98,62.03,12.910465,77.640268
827,2025-02-22,South,HSR Layout,Metro,Middle Income,71.06,39.32,57.44,12.908809,77.64314
282,2025-02-23,East,Indiranagar,Bike,Middle Income,65.97,21.04,67.96,12.980001,77.640456
421,2025-02-25,North,Malleshwaram,Bus,High Income,57.33,40.51,49.73,13.004706,77.568306
171,2025-02-25,South,HSR Layout,Scooter,Middle Income,67.68,51.22,47.26,12.917556,77.634899
133,2025-02-25,West,Nagarbhavi,Scooter,Middle Income,63.11,39.66,53.22,12.951942,77.507908
192,2025-02-26,Central,Richmond Town,Bus,Low Income,65.73,33.25,59.11,12.964194,77.601355
4,2025-02-26,North,Hebbal,Bike,Low Income,54.91,39.3,49.38,13.028571,77.596121
677,2025-02-26,North,Hebbal,Bus,Low Income,65.61,44.71,50.87,13.03536,77.599461
713,2025-02-26,South,HSR Layout,Scooter,Low Income,63.61,50.29,45.88,12.916097,77.631407
462,2025-02-27,Central,Shivajinagar,Bike,Middle Income,66.19,26.47,64.19,12.984826,77.608036
805,2025-02-28,North,Malleshwaram,Metro,Middle Income,68.29,41.16,54.74,12.999918,77.57118
196,2025-03-01,East,Marathahalli,Car,High Income,62.59,31.96,58.47,12.963009,77.701253
102,2025-03-01,South,Jayanagar,Bike,Low Income,50.57,37.72,48.34,12.927807,77.589591
707,2025-03-01,South,Jayanagar,Car,Low Income,56.27,39.2,50.14,12.934645,77.598839
923,2025-03-01,South,Jayanagar,Metro,Low Income,48.84,34.47,49.8,12.927,77.600844
370,2025-03-02,West,Nagarbhavi,Metro,Low Income,65.95,43.7,51.76,12.948845,77.516547
391,2025-03-03,Central,MG Road,Metro,Low Income,73.67,40.31,58.05,12.967888,77.612689
862,2025-03-03,Central,Shivajinagar,Car,High Income,82.65,41.02,62.02,12.990334,77.608409
596,2025-03-03,South,HSR Layout,Bike,Low Income,54.54,41.96,47.3,12.913509,77.636424
335,2025-03-03,South,HSR Layout,Metro,Low Income,50.48,44.62,43.36,12.918176,77.640465
319,2025-03-04,Central,Richmond Town,Metro,High Income,87.97,39.71,65.62,12.962428,77.601274
766,2025-03-04,East,Whitefield,Car,High Income,78.6,40.23,60.56,12.967008,77.745007
720,2025-03-04,South,HSR Layout,Metro,Middle Income,71.6,24.75,68.12,12.910525,77.640041
701,2025-03-05,Central,Shivajinagar,Bus,Low Income,66.43,27.33,63.69,12.992031,77.605957
78,2025-03-06,North,Hebbal,Scooter,Middle Income,70.2,35.35,59.85,13.035119,77.602235
389,2025-03-06,West,Rajajinagar,Scooter,Low Income,51.37,39.51,47.46,12.989574,77.553878
555,2025-03-07,Central,Richmond Town,Car,Middle Income,58.09,33.46,55.15,12.964144,77.607399
290,2025-03-07,East,Indiranagar,Bike,Low Income,58.86,39.99,50.87,12.975282,77.642402
46,2025-03-08,East,Whitefield,Bike,Middle Income,74.51,47.04,53.65,12.970283,77.745541
986,2025-03-08,West,Vijayanagar,Scooter,Low Income,42.66,44.52,39.53,12.977211,77.544508
34,2025-03-09,East,Marathahalli,Car,Low Income,61.44,42.08,50.66,12.961587,77.699613
645,2025-03-10,Central,MG Road,Scooter,Low Income,51.5,37.2,49.18,12.98264,77.613082
404,2025-03-10,Central,Richmond Town,Car,Low Income,63.04,29.6,60.37,12.966378,77.601962
384,2025-03-10,North,Malleshwaram,Car,Low Income,41.85,59.7,28.28,13.003122,77.559163
921,2025-03-11,East,Whitefield,Car,Low Income,44.62,42.19,42.17,12.962688,77.754855
614,2025-03-11,North,Yelahanka,Scooter,Middle Income,56.63,61.5,34.38,13.099657,77.601082
516,2025-03-12,Central,Richmond Town,Scooter,Low Income,60.11,47.57,46.08,12.956037,77.601317
528,2025-03-12,Central,Shivajinagar,Scooter,High Income,71.57,35.34,60.55,12.979778,77.599459
357,2025-03-12,West,Vijayanagar,Bike,High Income,65.02,33.35,58.69,12.978609,77.551129
47,2025-03-12,West,Vijayanagar,Car,Middle Income,50.13,36.96,48.67,12.970616,77.544089
749,2025-03-13,Central,Shivajinagar,Bike,Middle Income,74.59,34.43,62.7,12.991088,77.601364
946,2025-03-13,East,Whitefield,Scooter,Middle Income,45.73,34.77,48.03,12.968026,77.743864
411,2025-03-13,South,HSR Layout,Metro,Middle Income,57.54,38.34,51.38,12.907838,77.638921
838,2025-03-14,Central,Richmond Town,Bike,Middle Income,61.3,40.12,52.0,12.962569,77.606066
16,2025-03-14,Central,Richmond Town,Bus,Middle Income,54.3,45.73,44.49,12.961179,77.599191
814,2025-03-15,East,Marathahalli,Car,Middle Income,54.98,43.03,46.76,12.965794,77.704333
150,2025-03-15,East,Marathahalli,Scooter,Middle Income,55.15,30.04,56.12,12.955037,77.697013
969,2025-03-15,South,Jayanagar,Car,Middle Income,46.65,38.84,45.58,12.934266,77.58782
844,2025-03-16,Central,MG Road,Car,Low Income,67.19,28.46,63.26,12.972662,77.606968
917,2025-03-16,East,Marathahalli,Metro,Middle Income,77.54,39.55,60.52,12.961638,77.698501
499,2025-03-16,North,Yelahanka,Bus,Middle Income,64.46,25.62,63.93,13.093967,77.589267
655,2025-03-17,North,Yelahanka,Bike,High Income,67.39,32.38,60.57,13.104427,77.60074
909,2025-03-17,West,Vijayanagar,Metro,Middle Income,54.01,42.85,46.39,12.969175,77.54374
358,2025-03-18,North,Yelahanka,Bike,Low Income,42.34,43.13,40.36,13.096996,77.590057
906,2025-03-18,West,Nagarbhavi,Scooter,Low Income,47.54,51.72,36.83,12.960875,77.504176
551,2025-03-18,West,Vijayanagar,Scooter,Low Income,47.78,35.03,48.87,12.969672,77.54988
902,2025-03-19,North,Malleshwaram,Bus,Middle Income,62.78,34.66,56.64,13.002328,77.568266
304,2025-03-19,North,Malleshwaram,Metro,High Income,70.46,35.11,60.15,13.008517,77.572312
778,2025-03-20,Central,Shivajinagar,Bike,Middle Income,72.78,34.25,61.93,12.983694,77.605376
104,2025-03-20,Central,Shivajinagar,Car,Middle Income,73.3,36.63,60.49,12.992141,77.598374
438,2025-03-20,North,Malleshwaram,Bus,Low Income,41.04,34.41,45.94,13.008938,77.563312
182,2025-03-20,West,Nagarbhavi,Metro,Low Income,73.43,42.74,56.19,12.962389,77.506093
992,2025-03-21,Central,MG Road,Bike,High Income,75.74,35.36,62.62,12.981801,77.600544
346,2025-03-21,Central,MG Road,Car,Middle Income,53.67,42.04,46.8,12.968912,77.60601
130,2025-03-21,East,Marathahalli,Bike,Middle Income,48.18,41.07,44.75,12.957249,77.690805
32,2025-03-21,South,Jayanagar,Metro,Middle Income,63.39,33.0,58.12,12.932782,77.59004
635,2025-03-21,South,Koramangala,Bus,Middle Income,66.94,38.77,55.78,12.927573,77.62483
922,2025-03-22,North,Hebbal,Scooter,Low Income,55.26,33.5,53.7,13.029298,77.603607
448,2025-03-22,North,Malleshwaram,Car,Middle Income,49.21,55.89,34.68,13.001201,77.558359
486,2025-03-22,South,Koramangala,Metro,Middle Income,65.33,36.79,56.39,12.940299,77.621896
89,2025-03-23,North,Malleshwaram,Scooter,Middle Income,53.04,42.86,45.91,12.999024,77.560297
400,2025-03-23,South,Koramangala,Metro,Low Income,43.08,42.92,40.88,12.941997,77.627465
739,2025-03-23,West,Rajajinagar,Bike,High Income,38.68,56.11,29.26,12.999286,77.545163
653,2025-03-24,North,Hebbal,Bike,Low Income,48.22,35.93,48.45,13.035014,77.604884
847,2025-03-24,South,HSR Layout,Metro,Middle Income,65.71,41.37,53.31,12.917446,77.646447
617,2025-03-24,West,Vijayanagar,Car,Middle Income,57.37,48.55,44.01,12.967897,77.541705
965,2025-03-26,Central,Shivajinagar,Metro,Low Income,76.82,22.84,72.1,12.985897,77.610829
287,2025-03-26,East,Whitefield,Car,Middle Income,41.53,41.63,41.03,12.970158,77.751989
229,2025-03-26,North,Hebbal,Metro,High Income,74.77,35.43,62.07,13.043342,77.602049
190,2025-03-27,Central,Shivajinagar,Car,Middle Income,69.53,36.95,58.37,12.980059,77.604945
354,2025-03-27,East,Indiranagar,Metro,High Income,71.09,38.27,58.21,12.97329,77.636431
420,2025-03-27,East,Marathahalli,Car,Middle Income,52.79,48.73,41.59,12.960269,77.704446
387,2025-03-27,North,Hebbal,Bike,Middle Income,55.21,57.45,36.57,13.029767,77.597807
620,2025-03-27,South,Koramangala,Metro,High Income,63.43,48.91,46.78,12.92958,77.621741
180,2025-03-28,East,Indiranagar,Bike,Low Income,55.8,47.01,44.32,12.978816,77.635023
575,2025-03-28,East,Whitefield,Scooter,Low Income,51.45,44.12,44.21,12.969507,77.746528
742,2025-03-28,North,Hebbal,Metro,High Income,77.97,35.59,63.56,13.028124,77.594963
111,2025-03-28,South,HSR Layout,Scooter,Middle Income,54.25,36.73,50.89,12.910215,77.646288
885,2025-03-28,South,Jayanagar,Bike,Middle Income,50.06,42.07,44.98,12.934039,77.596057
982,2025-03-28,South,Koramangala,Bus,Middle Income,67.79,36.31,57.96,12.939447,77.623249
360,2025-03-28,West,Nagarbhavi,Car,Low Income,57.42,34.5,54.06,12.956718,77.508431
206,2025-03-29,Central,Shivajinagar,Scooter,Middle Income,62.96,46.09,48.56,12.991024,77.602572
928,2025-03-29,East,Marathahalli,Bus,Low Income,55.66,46.64,44.52,12.961482,77.691757
298,2025-03-29,East,Whitefield,Scooter,Middle Income,52.74,40.51,47.43,12.964552,77.745569
445,2025-03-30,North,Yelahanka,Metro,Low Income,55.82,45.57,45.36,13.108302,77.594638
833,2025-03-31,Central,Richmond Town,Scooter,High Income,78.67,42.77,58.78,12.966958,77.59597
278,2025-04-01,East,Indiranagar,Scooter,Low Income,53.17,36.87,50.25,12.980875,77.642835
399,2025-04-01,East,Marathahalli,Scooter,High Income,64.07,39.15,54.07,12.959556,77.691129
521,2025-04-02,Central,Shivajinagar,Car,Middle Income,67.69,47.31,50.05,12.979084,77.604468
356,2025-04-02,North,Hebbal,Metro,Middle Income,49.59,46.05,41.9,13.031685,77.596038
216,2025-04-02,West,Nagarbhavi,Car,Middle Income,46.9,57.82,32.15,12.94898,77.503711
101,2025-04-02,West,Vijayanagar,Bike,Middle Income,44.49,39.09,44.32,12.970348,77.543725
599,2025-04-03,South,Jayanagar,Scooter,Low Income,57.4,41.39,49.13,12.935716,77.592645
926,2025-04-04,East,Marathahalli,Metro,Middle Income,58.01,48.53,44.34,12.961173,77.693075
970,2025-04-04,West,Rajajinagar,Bus,High Income,67.22,31.21,61.32,12.997517,77.551483
667,2025-04-05,Central,MG Road,Car,Middle Income,67.71,39.13,55.91,12.96785,77.603867
134,2025-04-05,Central,Shivajinagar,Bike,High Income,74.01,32.35,63.9,12.987425,77.609143
501,2025-04-05,East,Indiranagar,Bike,High Income,68.03,33.29,60.24,12.974917,77.647421
406,2025-04-05,South,Koramangala,Scooter,Middle Income,62.85,37.54,54.61,12.935299,77.627646
437,2025-04-06,East,Marathahalli,Metro,Middle Income,68.11,28.81,63.47,12.957209,77.702396
512,2025-04-06,West,Rajajinagar,Bus,Low Income,38.55,55.06,29.94,12.984869,77.550467
639,2025-04-06,West,Vijayanagar,Metro,Low Income,63.08,40.07,52.92,12.979516,77.539619
588,2025-04-07,North,Malleshwaram,Bike,Middle Income,46.48,55.83,33.36,12.997126,77.563292
149,2025-04-07,North,Malleshwaram,Car,Middle Income,47.66,41.35,44.3,13.001824,77.563172
99,2025-04-07,South,HSR Layout,Bus,Low Income,74.79,35.66,61.92,12.918846,77.643184
361,2025-04-08,East,Marathahalli,Bike,High Income,62.34,39.79,52.75,12.963141,77.695515
198,2025-04-08,North,Malleshwaram,Bike,Middle Income,64.75,38.8,54.66,13.001093,77.560757
947,2025-04-08,North,Malleshwaram,Bike,Middle Income,73.0,39.83,58.05,13.003378,77.571352
300,2025-04-08,South,Jayanagar,Metro,Middle Income,65.5,34.38,58.19,12.929842,77.593801
522,2025-04-08,West,Vijayanagar,Car,Middle Income,51.51,29.2,54.9,12.973283,77.54819
840,2025-04-09,South,HSR Layout,Metro,Middle Income,60.55,39.21,52.27,12.912307,77.646523
996,2025-04-10,Central,MG Road,Metro,Low Income,61.51,38.4,53.33,12.973494,77.602311
382,2025-04-10,East,Whitefield,Bus,Middle Income,58.91,37.45,52.7,12.970864,77.754172
580,2025-04-10,West,Nagarbhavi,Car,Middle Income,66.54,41.97,53.29,12.949599,77.502926
534,2025-04-11,East,Indiranagar,Scooter,High Income,62.82,41.32,51.9,12.973633,77.636755
634,2025-04-11,North,Yelahanka,Metro,High Income,86.13,33.47,69.16,13.098673,77.597424
746,2025-04-11,South,Jayanagar,Car,High Income,61.45,51.74,43.77,12.934891,77.588995
323,2025-04-12,South,Koramangala,Scooter,Middle Income,43.06,43.03,40.8,12.932928,77.627285
