Record_ID,Date,Time,Zone,Area,Mobility_Demand,Trip_Count,Weather_Condition,Available_Vehicles,Delay_Minutes,Mode_of_Transportation,Latitude,Longitude,Possible_Reason
63,2025-01-16,06:00:00,East,Marathahalli,207,173,Cloudy,168,2.1,Bike,12.960649,77.691631,Normal operating conditions
61,2025-01-16,06:00:00,North,Hebbal,152,131,Foggy,223,13.8,Bus,13.031582,77.597188,Normal operating conditions
62,2025-01-16,07:00:00,Central,Richmond Town,293,254,Sunny,229,2.6,Scooter,12.962265,77.598958,Normal operating conditions
64,2025-01-16,17:00:00,North,Yelahanka,218,199,Rainy,130,8.1,Car,13.10507,77.600142,Normal operating conditions
67,2025-01-17,12:00:00,South,Jayanagar,201,152,Sunny,189,11.9,Metro,12.932326,77.590977,Normal operating conditions
68,2025-01-17,14:00:00,Central,Richmond Town,221,167,Sunny,227,8.9,Bus,12.956905,77.601369,Normal operating conditions
66,2025-01-17,19:00:00,Central,Richmond Town,329,296,Rainy,131,13.2,Car,12.965673,77.602856,Normal operating conditions
65,2025-01-17,20:00:00,Central,MG Road,300,232,Sunny,230,10.8,Scooter,12.973414,77.60815,Normal operating conditions
71,2025-01-18,09:00:00,East,Marathahalli,283,231,Sunny,173,6.5,Car,12.962458,77.699188,Normal operating conditions
70,2025-01-18,12:00:00,Central,Richmond Town,192,147,Sunny,167,6.6,Bike,12.956484,77.594344,Normal operating conditions
69,2025-01-18,12:00:00,West,Vijayanagar,137,99,Cloudy,131,3.6,Scooter,12.969831,77.546498,Normal operating conditions
72,2025-01-18,18:00:00,Central,Shivajinagar,387,306,Sunny,120,5.3,Metro,12.98779,77.609421,Normal operating conditions
74,2025-01-19,07:00:00,North,Malleshwaram,266,235,Sunny,112,7.2,Metro,12.997537,77.566429,Normal operating conditions
75,2025-01-19,08:00:00,South,HSR Layout,264,220,Sunny,219,9.1,Scooter,12.912639,77.637292,Normal operating conditions
76,2025-01-19,14:00:00,South,Jayanagar,168,148,Sunny,140,4.4,Bus,12.934544,77.591569,Normal operating conditions
73,2025-01-19,17:00:00,North,Hebbal,210,180,Sunny,181,11.2,Car,13.035673,77.600622,Normal operating conditions
78,2025-01-20,08:00:00,West,Rajajinagar,212,171,Cloudy,122,15.1,Scooter,12.991289,77.555927,Normal operating conditions
80,2025-01-20,09:00:00,West,Nagarbhavi,230,191,Sunny,126,0.0,Metro,12.952304,77.508921,Normal operating conditions
79,2025-01-20,10:00:00,South,Koramangala,259,200,Rainy,203,6.4,Metro,12.929394,77.623368,Normal operating conditions
77,2025-01-20,21:00:00,East,Marathahalli,288,255,Rainy,194,0.0,Metro,12.959609,77.698132,Normal operating conditions
84,2025-01-21,06:00:00,Central,Shivajinagar,250,187,Sunny,154,10.0,Scooter,12.985606,77.601835,Normal operating conditions
83,2025-01-21,17:00:00,North,Malleshwaram,197,167,Sunny,180,10.9,Car,13.003163,77.561442,Normal operating conditions
81,2025-01-21,18:00:00,Central,Shivajinagar,369,295,Cloudy,192,11.1,Metro,12.98937,77.606077,Normal operating conditions
82,2025-01-21,19:00:00,West,Nagarbhavi,223,191,Sunny,114,9.6,Metro,12.951101,77.514842,Normal operating conditions
86,2025-01-22,06:00:00,North,Yelahanka,220,187,Rainy,120,8.8,Bike,13.096727,77.596867,Normal operating conditions
88,2025-01-22,07:00:00,West,Nagarbhavi,263,218,Cloudy,138,8.5,Metro,12.959962,77.515092,Normal operating conditions
85,2025-01-22,14:00:00,West,Nagarbhavi,121,108,Rainy,211,12.2,Car,12.961979,77.512298,Normal operating conditions
87,2025-01-22,21:00:00,South,HSR Layout,204,168,Sunny,207,3.9,Bike,12.911647,77.636625,Normal operating conditions
91,2025-01-23,06:00:00,West,Vijayanagar,182,133,Sunny,197,14.8,Bike,12.966468,77.55009,Normal operating conditions
90,2025-01-23,07:00:00,East,Marathahalli,340,291,Cloudy,223,12.0,Metro,12.963122,77.698676,Normal operating conditions
92,2025-01-23,09:00:00,West,Nagarbhavi,148,126,Foggy,210,5.7,Car,12.960224,77.515327,Normal operating conditions
89,2025-01-23,12:00:00,Central,MG Road,172,131,Foggy,208,6.5,Scooter,12.972443,77.603447,Normal operating conditions
95,2025-01-24,09:00:00,South,HSR Layout,300,267,Sunny,221,15.3,Bus,12.908393,77.64209,Normal operating conditions
93,2025-01-24,12:00:00,South,HSR Layout,189,155,Cloudy,155,6.9,Metro,12.905776,77.637886,Normal operating conditions
96,2025-01-24,18:00:00,North,Yelahanka,265,237,Sunny,195,6.3,Scooter,13.104288,77.597269,Normal operating conditions
94,2025-01-24,19:00:00,South,HSR Layout,231,189,Cloudy,95,7.6,Bike,12.913862,77.63932,Normal operating conditions
98,2025-01-25,12:00:00,West,Nagarbhavi,130,103,Cloudy,176,11.3,Car,12.955629,77.505427,Normal operating conditions
100,2025-01-25,18:00:00,North,Malleshwaram,199,162,Foggy,97,13.1,Bike,13.005255,77.558695,Normal operating conditions
99,2025-01-25,21:00:00,Central,Richmond Town,245,202,Sunny,225,16.9,Scooter,12.966534,77.602913,Normal operating conditions
97,2025-01-25,21:00:00,West,Nagarbhavi,154,130,Windy,213,8.5,Car,12.953362,77.504708,Normal operating conditions
104,2025-01-26,08:00:00,East,Marathahalli,332,292,Rainy,105,12.1,Scooter,12.964181,77.692431,Normal operating conditions
102,2025-01-26,08:00:00,South,Jayanagar,291,231,Cloudy,173,6.8,Bus,12.928331,77.590518,Normal operating conditions
101,2025-01-26,17:00:00,East,Whitefield,244,214,Sunny,144,3.2,Car,12.968636,77.749043,Normal operating conditions
103,2025-01-26,20:00:00,North,Malleshwaram,223,188,Cloudy,128,5.7,Car,13.004936,77.569853,Normal operating conditions
108,2025-01-27,07:00:00,West,Rajajinagar,172,129,Cloudy,194,13.0,Car,12.997204,77.54668,Normal operating conditions
105,2025-01-27,08:00:00,Central,Shivajinagar,345,296,Sunny,228,9.1,Metro,12.985102,77.599683,Normal operating conditions
106,2025-01-27,08:00:00,East,Whitefield,360,308,Rainy,137,6.5,Scooter,12.973474,77.753142,Normal operating conditions
107,2025-01-27,16:00:00,North,Malleshwaram,165,129,Windy,97,7.5,Car,13.002357,77.567199,Normal operating conditions
109,2025-01-28,06:00:00,South,Koramangala,215,159,Cloudy,104,10.4,Car,12.937719,77.627149,Normal operating conditions
112,2025-01-28,08:00:00,North,Hebbal,271,234,Cloudy,198,7.3,Metro,13.040383,77.598637,Normal operating conditions
111,2025-01-28,09:00:00,Central,Shivajinagar,380,292,Rainy,133,5.6,Bus,12.984461,77.610541,Normal operating conditions
110,2025-01-28,12:00:00,West,Nagarbhavi,169,139,Rainy,131,2.3,Metro,12.957745,77.511779,Normal operating conditions
114,2025-01-29,07:00:00,West,Nagarbhavi,264,229,Windy,144,8.1,Bus,12.959406,77.511317,Normal operating conditions
116,2025-01-29,09:00:00,East,Marathahalli,296,215,Windy,199,0.0,Bus,12.960011,77.700225,Normal operating conditions
113,2025-01-29,10:00:00,North,Yelahanka,203,184,Cloudy,202,8.1,Scooter,13.105881,77.592733,Normal operating conditions
115,2025-01-29,20:00:00,Central,MG Road,410,305,Rainy,130,1.5,Metro,12.97081,77.605646,Normal operating conditions
117,2025-01-30,10:00:00,East,Marathahalli,330,238,Rainy,191,10.2,Metro,12.963353,77.696724,Normal operating conditions
119,2025-01-30,12:00:00,East,Marathahalli,182,165,Cloudy,102,4.1,Scooter,12.954836,77.699912,Normal operating conditions
118,2025-01-30,12:00:00,West,Rajajinagar,167,124,Cloudy,125,8.5,Metro,12.988454,77.557982,Normal operating conditions
120,2025-01-30,19:00:00,West,Rajajinagar,222,175,Sunny,209,3.8,Metro,12.994562,77.556931,Normal operating conditions
124,2025-01-31,06:00:00,East,Marathahalli,250,218,Foggy,108,10.6,Metro,12.960011,77.692883,Normal operating conditions
121,2025-01-31,10:00:00,West,Nagarbhavi,169,142,Sunny,110,11.7,Bike,12.962202,77.506652,Normal operating conditions
123,2025-01-31,12:00:00,West,Vijayanagar,133,106,Sunny,116,11.5,Scooter,12.966534,77.546843,Normal operating conditions
122,2025-01-31,18:00:00,Central,Richmond Town,344,290,Sunny,206,15.8,Bus,12.955693,77.605254,Normal operating conditions
127,2025-02-01,08:00:00,North,Hebbal,187,157,Cloudy,119,7.9,Car,13.03348,77.596159,Normal operating conditions
126,2025-02-01,14:00:00,North,Malleshwaram,117,94,Sunny,170,2.7,Scooter,13.003301,77.563167,Normal operating conditions
128,2025-02-01,17:00:00,West,Rajajinagar,249,198,Sunny,145,5.4,Bus,12.994934,77.552267,Normal operating conditions
125,2025-02-01,20:00:00,West,Vijayanagar,251,193,Sunny,210,3.8,Metro,12.974033,77.548213,Normal operating conditions
131,2025-02-02,07:00:00,West,Vijayanagar,215,180,Cloudy,145,9.3,Car,12.967605,77.548852,Normal operating conditions
132,2025-02-02,14:00:00,West,Vijayanagar,158,139,Rainy,117,11.6,Bus,12.970231,77.550105,Normal operating conditions
130,2025-02-02,20:00:00,South,HSR Layout,299,251,Cloudy,180,1.1,Bus,12.910136,77.633954,Normal operating conditions
129,2025-02-02,21:00:00,Central,Richmond Town,264,236,Sunny,151,10.7,Bus,12.962408,77.602023,Normal operating conditions
135,2025-02-03,07:00:00,Central,MG Road,262,224,Windy,230,9.1,Car,12.97215,77.608874,Normal operating conditions
133,2025-02-03,09:00:00,North,Yelahanka,221,192,Sunny,157,13.1,Bike,13.097281,77.594806,Normal operating conditions
134,2025-02-03,12:00:00,East,Marathahalli,198,180,Sunny,132,8.5,Metro,12.960644,77.700507,Normal operating conditions
136,2025-02-03,17:00:00,South,Jayanagar,285,260,Cloudy,98,0.0,Bus,12.931841,77.593375,Normal operating conditions
137,2025-02-04,06:00:00,East,Marathahalli,256,218,Sunny,133,12.3,Bus,12.95518,77.693284,Normal operating conditions
139,2025-02-04,08:00:00,South,Koramangala,244,204,Cloudy,222,12.5,Car,12.931117,77.629889,Normal operating conditions
138,2025-02-04,10:00:00,South,Koramangala,208,169,Cloudy,101,7.8,Bike,12.933785,77.625683,Normal operating conditions
140,2025-02-04,17:00:00,East,Whitefield,263,210,Sunny,227,3.2,Bike,12.973605,77.749613,Normal operating conditions
141,2025-02-05,06:00:00,Central,MG Road,259,209,Sunny,112,5.2,Bike,12.978803,77.605349,Normal operating conditions
142,2025-02-05,09:00:00,West,Vijayanagar,248,204,Sunny,141,6.8,Scooter,12.970501,77.549794,Normal operating conditions
144,2025-02-05,18:00:00,South,Koramangala,237,210,Windy,152,2.5,Scooter,12.9364,77.629009,Normal operating conditions
143,2025-02-05,19:00:00,South,HSR Layout,331,244,Cloudy,209,15.0,Metro,12.910537,77.634804,Normal operating conditions
148,2025-02-06,09:00:00,East,Indiranagar,305,238,Windy,135,11.4,Bus,12.97614,77.640689,Normal operating conditions
147,2025-02-06,12:00:00,West,Rajajinagar,123,105,Sunny,95,0.0,Car,12.993363,77.553647,Normal operating conditions
146,2025-02-06,14:00:00,Central,MG Road,183,155,Sunny,217,4.9,Bike,12.980356,77.607979,Normal operating conditions
145,2025-02-06,19:00:00,North,Malleshwaram,277,227,Rainy,134,4.8,Scooter,12.99983,77.570026,Normal operating conditions
151,2025-02-07,07:00:00,West,Nagarbhavi,221,186,Sunny,91,9.0,Bus,12.955137,77.505292,Normal operating conditions
152,2025-02-07,10:00:00,South,Koramangala,239,217,Sunny,165,6.0,Bus,12.931401,77.620032,Normal operating conditions
149,2025-02-07,12:00:00,West,Vijayanagar,112,97,Windy,134,4.8,Bike,12.970643,77.544004,Normal operating conditions
150,2025-02-07,19:00:00,West,Vijayanagar,194,163,Cloudy,130,5.1,Scooter,12.968778,77.54471,Normal operating conditions
154,2025-02-08,14:00:00,South,HSR Layout,137,120,Foggy,202,0.0,Bike,12.916052,77.636917,Normal operating conditions
153,2025-02-08,16:00:00,North,Malleshwaram,172,132,Cloudy,114,5.7,Bike,12.999022,77.567785,Normal operating conditions
156,2025-02-08,18:00:00,South,Koramangala,236,180,Cloudy,142,10.9,Bike,12.934673,77.623997,Normal operating conditions
155,2025-02-08,20:00:00,South,HSR Layout,347,270,Cloudy,210,14.0,Bus,12.915386,77.635984,Normal operating conditions
158,2025-02-09,08:00:00,Central,MG Road,366,292,Cloudy,227,13.6,Bus,12.975431,77.606944,Normal operating conditions
160,2025-02-09,08:00:00,South,HSR Layout,262,227,Cloudy,99,5.3,Scooter,12.912557,77.641946,Normal operating conditions
157,2025-02-09,09:00:00,South,Jayanagar,273,206,Windy,173,8.3,Bus,12.928705,77.596912,Normal operating conditions
159,2025-02-09,17:00:00,West,Nagarbhavi,254,218,Cloudy,186,11.8,Metro,12.961099,77.51253,Normal operating conditions
161,2025-02-10,14:00:00,East,Whitefield,228,184,Rainy,122,12.5,Scooter,12.969922,77.750882,Normal operating conditions
163,2025-02-10,17:00:00,West,Nagarbhavi,218,167,Sunny,195,5.1,Metro,12.951306,77.514655,Normal operating conditions
162,2025-02-10,19:00:00,North,Malleshwaram,261,226,Sunny,168,5.0,Bus,13.002127,77.568217,Normal operating conditions
164,2025-02-10,21:00:00,West,Nagarbhavi,207,164,Cloudy,219,8.9,Metro,12.951103,77.514989,Normal operating conditions
167,2025-02-11,09:00:00,Central,MG Road,314,256,Sunny,190,6.3,Scooter,12.976315,77.601874,Normal operating conditions
168,2025-02-11,09:00:00,East,Whitefield,278,205,Sunny,229,1.1,Car,12.96905,77.752194,Normal operating conditions
165,2025-02-11,09:00:00,South,HSR Layout,254,205,Sunny,224,6.5,Car,12.917045,77.639748,Normal operating conditions
166,2025-02-11,17:00:00,West,Rajajinagar,240,214,Cloudy,181,19.8,Scooter,12.994966,77.557012,Normal operating conditions
170,2025-02-12,12:00:00,Central,Shivajinagar,156,115,Sunny,90,11.9,Scooter,12.984964,77.608516,Normal operating conditions
172,2025-02-12,12:00:00,East,Marathahalli,197,145,Cloudy,121,6.5,Bus,12.954586,77.69295,Normal operating conditions
169,2025-02-12,14:00:00,Central,MG Road,172,146,Sunny,178,3.8,Scooter,12.97939,77.610042,Normal operating conditions
171,2025-02-12,16:00:00,Central,Shivajinagar,290,246,Cloudy,115,12.3,Scooter,12.989967,77.601999,Normal operating conditions
175,2025-02-13,06:00:00,Central,Shivajinagar,295,256,Cloudy,179,15.2,Bus,12.987498,77.603752,Normal operating conditions
174,2025-02-13,07:00:00,West,Rajajinagar,247,199,Sunny,208,13.6,Scooter,12.995124,77.554208,Normal operating conditions
176,2025-02-13,14:00:00,Central,Shivajinagar,224,193,Cloudy,155,9.1,Scooter,12.985706,77.604629,Normal operating conditions
173,2025-02-13,16:00:00,East,Indiranagar,232,210,Foggy,115,14.3,Bus,12.980946,77.64424,Normal operating conditions
177,2025-02-14,07:00:00,West,Vijayanagar,236,170,Sunny,133,10.8,Bus,12.974261,77.546942,Normal operating conditions
179,2025-02-14,14:00:00,East,Whitefield,184,154,Windy,111,1.2,Bike,12.965069,77.747107,Normal operating conditions
180,2025-02-14,14:00:00,West,Rajajinagar,160,123,Windy,169,8.4,Metro,12.992112,77.547667,Normal operating conditions
178,2025-02-14,21:00:00,East,Marathahalli,225,197,Sunny,201,11.5,Car,12.956313,77.695279,Normal operating conditions
184,2025-02-15,09:00:00,South,Koramangala,233,196,Sunny,140,8.8,Car,12.939198,77.623304,Normal operating conditions
182,2025-02-15,10:00:00,South,Jayanagar,253,193,Sunny,156,17.2,Bus,12.934317,77.590445,Normal operating conditions
183,2025-02-15,12:00:00,West,Rajajinagar,152,138,Rainy,169,8.0,Scooter,12.99016,77.546335,Normal operating conditions
181,2025-02-15,17:00:00,West,Nagarbhavi,204,170,Sunny,98,14.1,Scooter,12.951417,77.505956,Normal operating conditions
186,2025-02-16,18:00:00,North,Malleshwaram,259,221,Cloudy,186,7.5,Bus,13.00317,77.570203,Normal operating conditions
187,2025-02-16,18:00:00,South,HSR Layout,313,248,Sunny,186,7.7,Bus,12.909199,77.63406,Normal operating conditions
185,2025-02-16,20:00:00,South,Jayanagar,342,291,Windy,121,7.5,Metro,12.928167,77.597948,Normal operating conditions
188,2025-02-16,21:00:00,South,HSR Layout,255,184,Sunny,212,5.4,Metro,12.914371,77.633598,Normal operating conditions
191,2025-02-17,09:00:00,South,Koramangala,250,189,Sunny,148,15.6,Scooter,12.939947,77.621656,Normal operating conditions
192,2025-02-17,16:00:00,South,Jayanagar,184,151,Sunny,227,8.4,Car,12.932221,77.594541,Normal operating conditions
189,2025-02-17,18:00:00,North,Yelahanka,242,200,Sunny,165,11.5,Bike,13.098682,77.598533,Normal operating conditions
190,2025-02-17,21:00:00,West,Vijayanagar,162,129,Sunny,156,10.3,Bike,12.967819,77.544959,Normal operating conditions
193,2025-02-18,08:00:00,West,Vijayanagar,256,196,Sunny,197,6.3,Metro,12.971668,77.542102,Normal operating conditions
196,2025-02-18,09:00:00,South,Jayanagar,270,211,Windy,196,7.3,Bus,12.932756,77.596189,Normal operating conditions
194,2025-02-18,18:00:00,Central,MG Road,288,209,Windy,189,9.9,Bike,12.973748,77.603809,Normal operating conditions
195,2025-02-18,21:00:00,North,Malleshwaram,205,164,Rainy,163,7.7,Bike,13.007645,77.568345,Normal operating conditions
200,2025-02-19,08:00:00,East,Indiranagar,417,303,Rainy,165,6.8,Metro,12.983842,77.643723,Normal operating conditions
197,2025-02-19,08:00:00,South,Jayanagar,261,191,Cloudy,102,8.4,Car,12.930638,77.593452,Normal operating conditions
199,2025-02-19,14:00:00,South,Koramangala,160,132,Sunny,208,7.5,Scooter,12.939001,77.620135,Normal operating conditions
198,2025-02-19,16:00:00,West,Rajajinagar,197,173,Cloudy,127,11.9,Bus,12.989995,77.549193,Normal operating conditions
204,2025-02-20,12:00:00,East,Whitefield,195,147,Rainy,125,5.4,Car,12.973866,77.753989,Normal operating conditions
201,2025-02-20,14:00:00,Central,MG Road,239,218,Sunny,190,5.3,Bus,12.978687,77.601122,Normal operating conditions
203,2025-02-20,17:00:00,South,Koramangala,343,252,Cloudy,229,11.6,Metro,12.93248,77.626442,Normal operating conditions
202,2025-02-20,19:00:00,Central,Shivajinagar,276,209,Sunny,146,19.0,Car,12.989151,77.602403,Normal operating conditions
206,2025-02-21,09:00:00,North,Yelahanka,290,236,Rainy,182,6.0,Scooter,13.104843,77.594479,Normal operating conditions
207,2025-02-21,10:00:00,West,Vijayanagar,167,122,Rainy,226,14.2,Car,12.969773,77.545717,Normal operating conditions
205,2025-02-21,19:00:00,East,Marathahalli,323,271,Sunny,154,7.6,Metro,12.962462,77.696754,Normal operating conditions
208,2025-02-21,20:00:00,West,Rajajinagar,214,193,Sunny,98,3.6,Scooter,12.992043,77.55742,Normal operating conditions
210,2025-02-22,07:00:00,Central,Shivajinagar,357,278,Cloudy,162,12.3,Bus,12.983579,77.602815,Normal operating conditions
212,2025-02-22,12:00:00,West,Vijayanagar,106,78,Sunny,171,5.5,Bike,12.971787,77.547719,Normal operating conditions
209,2025-02-22,14:00:00,East,Whitefield,198,151,Windy,116,9.1,Bus,12.975134,77.750963,Normal operating conditions
211,2025-02-22,21:00:00,Central,MG Road,279,237,Cloudy,141,5.7,Metro,12.978825,77.608015,Normal operating conditions
215,2025-02-23,17:00:00,South,HSR Layout,245,193,Windy,224,8.9,Scooter,12.908265,77.644332,Normal operating conditions
213,2025-02-23,19:00:00,North,Malleshwaram,273,199,Sunny,146,8.8,Bus,13.00182,77.570253,Normal operating conditions
216,2025-02-23,19:00:00,North,Malleshwaram,266,215,Cloudy,95,6.0,Bike,12.99786,77.559858,Normal operating conditions
214,2025-02-23,19:00:00,West,Nagarbhavi,244,179,Cloudy,199,10.1,Bus,12.952565,77.508502,Normal operating conditions
217,2025-02-24,06:00:00,Central,Richmond Town,271,217,Cloudy,211,5.5,Car,12.963987,77.601323,Normal operating conditions
218,2025-02-24,07:00:00,South,Koramangala,296,251,Sunny,147,10.1,Metro,12.931414,77.62417,Normal operating conditions
220,2025-02-24,08:00:00,West,Rajajinagar,255,225,Sunny,123,8.1,Metro,12.99689,77.555368,Normal operating conditions
219,2025-02-24,19:00:00,South,Koramangala,326,283,Sunny,99,5.6,Bus,12.930426,77.624072,Normal operating conditions
222,2025-02-25,09:00:00,North,Malleshwaram,283,252,Sunny,186,1.8,Bus,13.003279,77.565904,Normal operating conditions
