GeoID,Date,City,Ward,Latitude,Longitude,Area_sq_km,Elevation_m,Land_Use,Green_Cover_Percentage,Road_Density_km_per_sq_km,Distance_to_City_Center_km,Zone,PINCode
520,2024-08-06, Bengaluru , RR Nagar ,13.082357086275955,77.73685675041222,11.75,865,Institutional,30.1,-2.88,-4.62,West,560001
547,2025-04-06, Bengaluru , North ,13.066398674887127,77.7118633833824,10.14,965,Commercial,47.8,12.92,8.41,North,560048
647,2025-09-03, Bengaluru ,,12.94697479030797,77.69752240477227,9.51,917,Residential,40.6,6.57,5.3,North,560078
688,2025-01-24, Bengaluru ,,13.169816444682557,77.4517289133534,18.13,956,,7.7,0.1,28.64,North,560064
83,2025-01-28, Bengaluru , Shivajinagar ,12.955736851741763,77.55409154148566,4.41,877,Mixed Use,5.7,12.38,14.64,Central,560048
657,2024-04-25, Bengaluru , South ,13.07742427546788,77.5033729336091,17.97,968,Commercial,53.1,10.74,13.8,South,560078
554,2024-01-22, Bengaluru , East ,12.85192883851844,77.73871656289388,10.46,977,Residential,43.1,8.29,-2.55,East,560064
590,2024-06-11, Bengaluru , Hebbal ,12.935570377161953,77.69135889152065,7.15,930,Institutional,85.7,8.55,24.99,North,560064
371,2024-02-26, Bengaluru , Yelahanka ,13.021458753900228,77.62256515352529,4.23,946,Residential,39.5,4.37,38.14,North,560102
597,2025-08-01, Bengaluru , East ,13.169649926248033,77.50623410895264,14.6,969,Mixed Use,40.2,2.93,26.2,East,560064
497,2024-03-04, Bengaluru , RR Nagar ,12.968370620428194,77.73767986748682,17.2,966,Industrial,41.0,6.71,34.32,West,560001
118,2024-12-09, Bengaluru , North ,13.180974863637655,77.4816154964671,15.85,884,Industrial,36.0,14.74,-3.35,North,560076
41,2024-01-23, Bengaluru , RR Nagar ,13.117291769113345,77.7314872437391,11.07,868,Institutional,58.5,1.47,-0.09,West,560037
16,2024-09-03, Bengaluru , Bommanahalli ,13.040523467933046,77.74196824875382,13.5,967,Institutional,55.5,6.03,18.93,South,560001
85,2024-05-07, Bengaluru , Shivajinagar ,13.069896929675545,77.48425338352591,16.19,890,Mixed Use,6.1,12.45,18.32,Central,560037
445,2024-05-11, Bengaluru , South ,12.91971623000251,77.55641529211435,0.06,955,Mixed Use,53.8,2.57,33.17,South,560078
147,2025-09-17, Bengaluru ,,13.097850460181887,77.74712662412409,10.75,932,Institutional,40.4,7.84,17.95,South,560034
552,2025-09-23, Bengaluru , RR Nagar ,13.19246869035549,77.62605750473551,9.72,856,Institutional,21.0,0.7,34.53,West,560076
731,2024-02-19, Bengaluru , RR Nagar ,13.087180016859161,77.75373055919222,17.92,862,,114.3,0.95,14.21,West,560034
544,2024-03-08, Bengaluru , Dasarahalli ,13.13280394871027,77.45861980197176,10.34,915,Industrial,37.7,6.33,29.83,West,560001
526,2024-12-10, Bengaluru ,,13.04253269101027,77.4941284129579,19.48,946,Commercial,43.7,-0.94,0.66,North,560001
165,2024-01-22, Bengaluru ,,12.940447651705474,77.50258568483581,17.79,947,Institutional,34.6,9.41,31.37,East,560102
269,2024-09-11,, Mahadevapura ,12.942796782145011,77.69888484720032,2.84,879,Residential,13.2,3.04,18.5,East,560076
183,2025-02-10, Bengaluru , Shivajinagar ,12.861520265823945,77.53211399816337,14.57,859,Institutional,28.7,-1.11,-4.1,Central,560076
534,2025-07-06, Bengaluru , East ,12.938184789921788,77.45863296994155,14.87,926,Mixed Use,41.2,11.87,0.9,East,560034
102,2025-10-28, Bengaluru , Yelahanka ,12.986132041058479,77.55937318433304,19.26,974,Industrial,36.6,4.9,25.46,North,560037
579,2024-10-30, Bengaluru , CV Raman Nagar ,13.058379803365764,77.54935205114903,10.01,932,Residential,25.7,9.45,27.76,East,560001
186,2025-02-12, Bengaluru , Hebbal ,12.984041473198888,77.50293272797374,17.93,886,Residential,32.6,14.8,26.21,North,560078
69,2025-08-20, Bengaluru , North ,12.978182085740382,77.73996509549183,2.75,912,Mixed Use,73.0,12.68,30.2,North,560078
616,2025-03-07, Bengaluru , Mahadevapura ,12.983453417229223,77.7089215364352,17.68,899,Industrial,43.9,5.26,15.86,East,560102
550,2024-03-12, Bengaluru , West ,12.96690965211724,77.53085666965093,16.27,886,Mixed Use,50.2,2.75,36.44,West,560078
339,2024-11-23, Bengaluru , Shivajinagar ,12.977405391430523,77.60696620823772,16.89,877,Institutional,111.4,14.5,27.76,Central,560064
323,2025-02-20, Bengaluru , Hebbal ,13.192355521792347,77.60327912355123,-2.71,960,Commercial,19.3,-0.89,31.35,North,560034
280,2024-01-01, Bengaluru , Shivajinagar ,12.853645357307864,77.71719917572302,18.24,933,Industrial,19.6,3.59,11.86,Central,560076
289,2024-09-22, Bengaluru , Mahadevapura ,12.925751802918526,77.66996745440291,14.35,937,Commercial,18.0,1.6,18.25,East,560037
252,2024-02-16, Bengaluru ,,13.19394555740083,77.58405412389993,12.47,907,,19.8,13.75,37.12,Central,560076
162,2025-02-05, Bengaluru , West ,12.917075885810418,77.61628798113199,9.03,864,Residential,5.8,7.7,4.59,West,560064
237,2024-03-13, Bengaluru , CV Raman Nagar ,13.04585446722701,77.61161714322556,18.32,851,Industrial,10.7,7.64,0.68,East,560048
509,2024-10-23, Bengaluru , West ,13.006056241135584,77.50955643867374,4.79,917,Mixed Use,8.9,12.06,6.17,West,560048
717,2024-01-07, Bengaluru , RR Nagar ,13.136531160078448,77.54088518672677,6.33,946,Institutional,47.7,13.01,8.63,West,560078
699,2025-03-06, Bengaluru , Shivajinagar ,13.190700703143943,77.72320800124947,15.58,958,Industrial,21.8,1.64,29.77,Central,560076
231,2024-01-30, Bengaluru , Bommanahalli ,12.981042784244341,77.78408198409159,4.07,878,Institutional,27.5,9.0,34.68,South,560001
622,2024-08-30,, West ,13.00085784877977,77.52458080308709,9.57,952,Commercial,10.6,2.82,29.41,West,560078
728,2025-03-27,, Shivajinagar ,13.097853827736634,77.6444054737629,14.34,947,Mixed Use,55.2,-2.26,20.98,Central,560078
233,2025-12-21, Bengaluru , West ,12.92041073401342,77.71444090750389,7.68,855,Institutional,8.5,0.7,-4.41,West,560064
121,2025-03-30, Bengaluru , North ,13.100984349195956,77.46580971774128,11.14,978,Residential,27.3,-0.53,21.63,North,560048
410,2025-05-30, Bengaluru , East ,12.892609454733421,77.53012739311033,12.53,933,Institutional,15.0,9.96,9.88,East,560034
494,2024-02-14, Bengaluru , Hebbal ,13.156680822160002,77.46569806374266,16.02,946,Residential,16.0,-2.4,28.09,North,560037
144,2025-11-09, Bengaluru ,,13.169847577262809,77.73181312065667,5.87,929,Industrial,44.4,2.08,13.15,South,560102
308,2024-03-03, Bengaluru , RR Nagar ,13.064502052260032,77.78987153729602,13.54,963,Mixed Use,49.3,9.28,28.51,West,560048
600,2025-10-03, Bengaluru ,,12.99813441177622,77.7789937438673,-4.9,975,Industrial,36.6,8.24,6.59,East,560076
200,2025-03-25, Bengaluru , Yelahanka ,13.130861568380917,77.65723224851307,18.86,963,Commercial,46.4,8.51,-2.8,North,560034
66,2025-01-20, Bengaluru , Shivajinagar ,12.890277545294857,77.63575243142992,8.8,965,Institutional,54.3,1.54,19.11,Central,560078
180,2024-09-25, Bengaluru , Yelahanka ,12.97400649987997,77.56411589768312,7.38,977,Institutional,31.3,13.81,29.61,North,560037
281,2024-04-22, Bengaluru ,,13.086525829834493,77.71470162028473,12.42,912,Residential,45.0,10.59,31.59,East,560064
529,2024-05-08, Bengaluru , Bommanahalli ,12.884468743006794,77.76496761802983,18.55,977,Industrial,6.7,0.29,33.06,South,560064
743,2024-12-07, Bengaluru , West ,12.979706261402375,77.55279354041664,19.17,864,Residential,12.2,2.11,0.56,West,560102
464,2024-10-13, Bengaluru , Mahadevapura ,13.120324313371285,77.61910009781455,-2.92,891,Residential,7.6,-1.45,-1.57,East,560078
159,2025-10-24, Bengaluru , South ,13.035641418470341,77.67181134454717,6.39,964,Commercial,25.5,7.45,13.74,South,560048
716,2025-12-06, Bengaluru , RR Nagar ,13.026646875456429,77.66800650681205,9.12,914,Institutional,43.0,3.98,11.95,West,560048
75,2025-12-18,,,13.092418825069373,77.67185734447037,15.39,866,Industrial,57.5,6.61,24.89,South,560078
580,2024-06-28, Bengaluru ,,12.873603428207854,77.64045116785205,17.34,956,Mixed Use,108.8,13.64,20.03,North,560076
519,2025-02-13, Bengaluru , Shivajinagar ,13.154951572393474,77.67071785016687,13.38,865,Institutional,33.3,7.63,17.15,Central,560064
654,2024-12-12, Bengaluru , Hebbal ,13.109207338715992,77.68859848249157,9.94,897,Institutional,47.1,8.09,39.35,North,560102
259,2024-10-19, Bengaluru , Bommanahalli ,12.917035786483849,77.71212536513738,18.94,952,,24.8,5.72,-2.04,South,560076
219,2025-06-10, Bengaluru , Shivajinagar ,13.185245597761437,77.5766375136142,13.56,946,Residential,32.4,3.55,38.93,Central,560001
397,2025-01-17, Bengaluru , South ,13.069267147263275,77.59882860691245,5.78,937,,11.5,-0.32,18.77,South,560037
558,2025-02-06, Bengaluru , Bommanahalli ,13.198759230603601,77.59965273258976,7.94,888,Mixed Use,10.2,1.74,27.39,South,560076
225,2024-01-13,, RR Nagar ,13.048266030527317,77.57377901793086,7.15,912,Institutional,68.4,11.91,32.55,West,560034
433,2025-10-30, Bengaluru , North ,12.96840386744608,77.63633283483824,4.22,869,Mixed Use,18.0,0.22,27.19,North,560064
427,2025-10-25, Bengaluru , RR Nagar ,13.14337931793722,77.64552891907185,7.9,938,Commercial,9.1,-0.77,10.55,West,560037
523,2024-06-30, Bengaluru , South ,13.099548176143776,77.68031986127696,8.07,851,Residential,16.5,9.89,28.95,South,560064
505,2024-09-27,, Mahadevapura ,12.975139229072933,77.47955130507701,8.56,878,Institutional,14.4,13.51,35.27,East,560037
733,2025-04-12, Bengaluru , South ,12.97713233915065,77.65389569035047,18.02,954,Mixed Use,40.1,2.41,39.75,South,560078
699,2025-03-06, Bengaluru , Shivajinagar ,13.190700703143943,77.72320800124947,15.58,958,Industrial,21.8,1.64,29.77,Central,560076
8,2024-05-29, Bengaluru , RR Nagar ,13.048219428297237,77.78358427393378,11.52,863,Institutional,26.9,-1.14,23.54,West,560001
430,2025-09-17, Bengaluru , Bommanahalli ,12.852189606455669,77.5736514342595,12.96,878,Industrial,44.5,11.69,1.4,South,560001
581,2024-01-24, Bengaluru , CV Raman Nagar ,12.863636331085665,77.67798244231278,5.21,921,Residential,52.4,-1.36,35.48,East,560064
194,2024-09-19, Bengaluru , Shivajinagar ,13.05254531797257,77.77368597624074,19.5,945,,52.3,-1.56,15.05,Central,560078
692,2024-03-14, Bengaluru , Mahadevapura ,12.939609574581993,77.70305731145974,9.89,876,Commercial,55.0,7.37,21.77,East,560034
557,2025-12-15,, Mahadevapura ,13.109002795193172,77.55329070954029,7.75,932,Industrial,59.9,8.17,11.47,East,560076
686,2025-10-11, Bengaluru , Hebbal ,13.116568623345007,77.56507717849256,8.68,943,Commercial,54.1,5.63,12.98,North,560076
436,2025-04-06, Bengaluru ,,13.09308410123244,77.48768102512193,10.19,878,Industrial,56.4,11.31,16.19,South,560037
412,2025-12-01, Bengaluru , RR Nagar ,12.904609334860844,77.5416998825626,18.39,892,Mixed Use,16.8,2.98,12.78,West,560064
466,2024-02-18, Bengaluru , CV Raman Nagar ,12.893536694118199,77.72716751904025,10.77,912,Residential,43.1,-2.91,1.04,East,560001
50,2025-09-23,, South ,13.091352070203195,77.77347982597702,15.13,866,,31.1,14.22,37.93,South,560078
665,2024-12-17, Bengaluru , Dasarahalli ,13.155966359596936,77.50195276275839,19.82,868,Mixed Use,17.3,1.41,29.69,West,560078
268,2024-07-20, Bengaluru , Hebbal ,13.077053217139227,77.5071926991459,6.37,861,Residential,27.7,7.09,-3.69,North,560001
213,2024-12-23, Bengaluru , Shivajinagar ,13.0223959336836,77.72022664480616,7.04,927,Mixed Use,49.1,7.63,14.59,Central,560064
697,2025-11-04, Bengaluru , North ,13.133872933636994,77.49841848642788,16.69,938,,32.9,1.57,35.61,North,560102
424,2025-11-19, Bengaluru , Dasarahalli ,13.140346973332855,77.45041609537405,6.44,910,Commercial,53.4,-0.31,33.34,West,560078
294,2025-12-30, Bengaluru , South ,13.001397823295845,77.55437792915676,14.1,851,Commercial,42.3,4.18,9.7,South,560048
726,2024-04-12, Bengaluru , Bommanahalli ,13.014410952620619,77.64546896866723,17.53,935,Institutional,38.3,12.89,1.6,South,560034
95,2025-01-05, Bengaluru , RR Nagar ,13.050023383572448,77.54328409821873,11.43,965,,42.7,6.62,17.38,West,560064
290,2024-07-25, Bengaluru , Bommanahalli ,12.888432104976667,77.61182298547946,6.28,958,Residential,5.1,12.65,34.08,South,560078
613,2024-10-20, Bengaluru , East ,12.924265020138064,77.54936135036516,6.59,920,Industrial,18.6,11.82,37.34,East,560064
528,2025-10-27, Bengaluru , Shivajinagar ,13.19736572296512,77.78728081294524,11.18,903,Mixed Use,101.6,11.36,4.7,Central,560102
653,2024-11-04, Bengaluru , Yelahanka ,13.139628746110112,77.6920561918005,19.41,860,Mixed Use,36.5,9.61,33.6,North,560034
90,2025-03-12, Bengaluru , Shivajinagar ,13.131902800147431,77.72961952796895,13.95,932,Mixed Use,9.7,13.15,1.87,Central,560064
142,2024-08-09, Bengaluru , Mahadevapura ,13.185441139737218,77.52282063181727,11.33,908,Commercial,59.9,7.73,14.82,East,560076
419,2024-07-07, Bengaluru , Yelahanka ,13.147879924278712,77.69118816471038,14.51,954,Institutional,22.6,-0.59,2.41,North,560078
311,2025-07-30, Bengaluru , West ,13.093429559668989,77.61824948290207,5.96,894,Institutional,21.1,9.78,26.92,West,560034
734,2024-04-28, Bengaluru , North ,13.104319781109576,77.57728531964841,2.87,875,Commercial,11.9,13.82,20.83,North,560001
482,2024-02-23, Bengaluru , RR Nagar ,12.935660888806662,77.68855954246872,6.23,958,Industrial,52.7,13.11,9.7,West,560001
240,2024-08-12, Bengaluru ,,13.044665056642321,77.6523209845405,3.22,969,,10.7,14.52,26.95,North,560037
142,2025-11-03, Bengaluru , Dasarahalli ,12.919831393520461,77.66282903943168,13.73,894,Residential,7.7,13.01,30.23,West,560001
376,2025-04-04, Bengaluru , South ,13.120920071014117,77.7774251168947,1.77,976,,51.1,-2.98,32.59,South,560034
313,2025-12-10,, South ,13.165885400016181,77.65632682246319,2.73,901,Commercial,56.3,1.81,34.62,South,560076
399,2025-05-29, Bengaluru , Bommanahalli ,13.147071347468765,77.72097484237085,13.01,875,Commercial,48.1,10.02,9.28,South,560034
456,2025-05-22, Bengaluru ,,13.024126360379967,77.62517736039356,5.37,928,Mixed Use,8.9,0.09,14.98,North,560076
364,2025-08-04, Bengaluru , Mahadevapura ,13.152689468382789,77.63361548933516,12.14,934,Industrial,19.7,4.11,-4.46,East,560078
592,2024-01-22, Bengaluru , West ,12.97551786711387,77.48778462490893,8.53,974,Residential,58.1,4.17,39.46,West,560078
442,2024-06-10, Bengaluru , Mahadevapura ,13.070729161892405,77.55945410877389,18.61,969,,24.2,-1.78,39.01,East,560102
615,2025-10-23, Bengaluru , North ,12.943309274913249,77.50426424059413,11.56,883,Mixed Use,10.9,6.4,-3.45,North,560076
744,2025-11-26, Bengaluru , Dasarahalli ,13.17834223740071,77.63673496493948,7.08,879,Institutional,107.0,-2.63,26.54,West,560078
398,2025-09-29, Bengaluru , Shivajinagar ,12.95619415809298,77.65393216138867,3.88,972,Mixed Use,47.5,-2.64,17.11,Central,560102
446,2025-08-03, Bengaluru ,,12.887001877717408,77.63948624538752,17.62,872,Institutional,-5.2,-0.75,34.85,East,560048
415,2024-12-20, Bengaluru , RR Nagar ,12.869047002452156,77.71077824801002,14.02,861,,52.6,-1.59,23.31,West,560078
380,2024-04-19, Bengaluru , North ,12.91295105633626,77.52257988285791,2.62,952,Commercial,7.9,13.98,23.16,North,560034
292,2024-11-19, Bengaluru , Mahadevapura ,12.996173146127905,77.74397514577164,12.86,971,Mixed Use,31.0,6.16,17.51,East,560048
75,2025-12-18,,,13.092418825069373,77.67185734447037,15.39,866,Industrial,57.5,6.61,24.89,South,560078
227,2024-10-22, Bengaluru , Shivajinagar ,12.8730824680894,77.59462196583581,17.41,910,Mixed Use,45.1,11.13,25.58,Central,560037
487,2025-02-16, Bengaluru , Hebbal ,12.871427442383627,77.62974800740658,16.17,939,Industrial,78.0,3.56,36.73,North,560064
334,2024-08-05, Bengaluru ,,13.166748037053962,77.5143375622416,5.26,966,Industrial,59.0,0.05,17.98,West,560102
85,2024-05-07, Bengaluru , Shivajinagar ,13.069896929675545,77.48425338352591,16.19,890,Mixed Use,6.1,12.45,18.32,Central,560037
481,2024-03-03, Bengaluru , Bommanahalli ,13.165666647586242,77.78959189332204,11.5,876,Industrial,55.2,14.23,29.31,South,560076
695,2025-10-11, Bengaluru , RR Nagar ,13.056414666797442,77.51911475221777,0.51,902,Mixed Use,94.9,12.57,33.86,West,560034
285,2025-06-14, Bengaluru , CV Raman Nagar ,12.854131503836525,77.78451735588116,6.15,942,Residential,36.3,5.31,20.62,East,560001
210,2024-04-22, Bengaluru , East ,12.879514111819574,77.65248099137969,12.92,865,Residential,59.1,-2.26,22.82,East,560037
143,2025-09-14, Bengaluru , North ,13.11273889461887,77.68724919393331,17.41,948,,13.0,-2.73,26.98,North,560037
251,2024-07-29,, South ,12.929189547429244,77.74925442206192,14.24,921,Commercial,1.6,11.08,24.77,South,560064
35,2025-03-02, Bengaluru , RR Nagar ,13.144080861776795,77.45060948367113,17.18,880,Commercial,54.6,2.22,11.75,West,560078
356,2025-06-15, Bengaluru , South ,12.945479545474669,77.74330137992888,2.79,870,,55.4,2.45,21.38,South,560034
577,2024-03-27, Bengaluru , CV Raman Nagar ,13.086957553543481,77.78602339112675,13.0,879,Mixed Use,53.6,-0.61,-2.73,East,560034
389,2025-02-16, Bengaluru , South ,13.005989032570966,77.53152611250765,5.68,966,Industrial,12.4,9.87,31.53,South,560034
536,2024-12-24, Bengaluru , Dasarahalli ,13.14416657368501,77.77931440891182,17.48,858,Industrial,13.2,-1.5,18.54,West,560078
51,2025-05-20, Bengaluru , RR Nagar ,12.85304681383743,77.77586968286687,14.61,888,Industrial,30.3,11.11,21.81,West,560048
465,2025-12-15,, North ,13.038784158810902,77.48429793764518,10.31,933,Industrial,11.6,-1.09,-2.64,North,560064
2,2025-08-19, Bengaluru , Bommanahalli ,12.988838166127772,77.79168928695752,16.46,924,Institutional,22.0,11.69,3.13,South,560048
184,2024-05-03, Bengaluru , Dasarahalli ,13.033895502611742,77.45089968415084,11.96,978,Institutional,32.3,13.54,10.72,West,560048
110,2024-08-26, Bengaluru , RR Nagar ,13.084402520785297,77.5875914001013,5.3,910,Commercial,56.8,13.94,-2.33,West,560001
161,2024-04-25, Bengaluru , North ,13.04840164354503,77.74803791338809,16.51,884,Institutional,51.1,14.07,23.2,North,560034
355,2024-07-23, Bengaluru , Bommanahalli ,13.141399663184202,77.5876148233688,7.38,878,Mixed Use,55.8,-0.24,12.54,South,560064
57,2024-03-05, Bengaluru , West ,13.08240925254336,77.50409325825954,13.93,951,Mixed Use,41.7,4.52,-2.69,West,560076
432,2025-01-04, Bengaluru , Hebbal ,13.098472921784309,77.58386874390366,18.43,854,Residential,19.0,3.61,21.18,North,560048
392,2025-10-26, Bengaluru , West ,13.021266329615765,77.46280856478472,6.32,970,Industrial,42.9,-0.54,29.11,West,560048
655,2025-08-03, Bengaluru , West ,13.110909115371092,77.63101853941593,7.52,979,Commercial,46.1,3.91,7.53,West,560001
173,2024-10-16, Bengaluru , Bommanahalli ,12.918848828484172,77.70686127483756,13.02,870,Institutional,12.5,0.39,19.16,South,560001
129,2024-12-26, Bengaluru , East ,13.063764788191746,77.54686161754591,4.16,971,Commercial,10.7,4.39,19.75,East,560034
202,2024-04-03, Bengaluru , West ,13.080608099637528,77.54015644302349,14.5,889,Commercial,98.7,2.29,5.47,West,560076
523,2024-06-30, Bengaluru , South ,13.099548176143776,77.68031986127696,8.07,851,Residential,16.5,9.89,28.95,South,560064
739,2024-07-15, Bengaluru , Hebbal ,12.862044709906018,77.63130548553535,4.53,971,Industrial,37.9,11.24,24.2,North,560102
170,2025-02-19, Bengaluru , South ,13.085113586210609,77.75928184610567,11.32,912,Industrial,16.3,13.0,25.21,South,560078
485,2024-12-01, Bengaluru , Yelahanka ,12.911337347518945,77.79734403704025,3.71,903,Mixed Use,50.0,6.95,24.42,North,560102
452,2025-08-10, Bengaluru , Bommanahalli ,12.93858023683431,77.59382511440721,11.78,891,Industrial,41.4,-0.44,30.1,South,560048
578,2025-06-10, Bengaluru , Yelahanka ,12.958182067597898,77.57334896087796,14.59,961,Industrial,46.7,-0.42,36.47,North,560064
78,2025-08-02, Bengaluru , Hebbal ,12.881811339043747,77.73693390339977,2.52,901,Residential,53.8,5.85,30.85,North,560037
576,2024-12-14, Bengaluru ,,13.03488375778722,77.53872627338681,3.49,888,Commercial,49.4,-0.92,18.16,North,560076
160,2024-09-24, Bengaluru , CV Raman Nagar ,13.161497679881656,77.64183985041414,17.59,914,Commercial,18.8,5.81,19.93,East,560048
149,2025-12-16, Bengaluru , North ,13.146297437137704,77.72238780330625,5.81,916,Commercial,40.1,6.79,6.24,North,560001
427,2025-10-25, Bengaluru , RR Nagar ,13.14337931793722,77.64552891907185,7.9,938,Commercial,9.1,-0.77,10.55,West,560037
617,2024-03-09, Bengaluru , Bommanahalli ,13.037173780905103,77.70604305009645,10.0,931,Mixed Use,34.1,3.56,4.76,South,560001
435,2024-10-30, Bengaluru ,,12.882334473643326,77.69962208338585,6.97,894,Residential,25.0,-2.67,14.42,East,560048
176,2025-11-27, Bengaluru , East ,13.08007577392077,77.66054919735522,15.47,916,Mixed Use,47.7,2.57,29.77,East,560102
597,2025-08-01, Bengaluru , East ,13.169649926248033,77.50623410895264,14.6,969,Mixed Use,40.2,2.93,26.2,East,560064
678,2024-08-10, Bengaluru , Dasarahalli ,12.885418165641518,77.63366140580654,11.27,877,Institutional,9.6,6.03,32.83,West,560037
524,2024-05-29,, Bommanahalli ,12.857076981976192,77.53038048794905,17.65,887,Residential,17.5,11.16,39.35,South,560037
201,2024-01-15, Bengaluru , CV Raman Nagar ,13.130244294236926,77.62437594329776,14.31,925,Institutional,13.0,13.52,4.31,East,560034
533,2025-08-11, Bengaluru , Dasarahalli ,12.86066340827944,77.4886634745976,9.58,873,Industrial,48.7,7.85,-1.47,West,560001
142,2024-03-13, Bengaluru , East ,12.89135686318295,77.74289258854866,14.47,875,Institutional,5.1,-2.11,14.19,East,560064
553,2025-12-05, Bengaluru , Yelahanka ,12.910937854869127,77.61977144850525,12.38,931,Industrial,9.6,8.82,16.77,North,560064
