Date,Time,Location,Ride_Request,Available_Vehicles,Completed_Ride,Cancel_Ride,Waiting_Time_min,Surge_Multiplier
2025-04-02,03:39:00,Indiranagar,69,66.0,0.0,69,6.4,1.3
2025-06-26,10:42:00,Koramangala,243,103.0,173.0,70,22.7,1.2
2025-11-15,18:13:00,Jayanagar,33,149.0,0.0,33,17.2,1.0
2025-08-02,15:43:00,Banashankari,59,38.0,40.0,19,23.2,2.0
2025-01-11,11:31:00,Electronic City,175,130.0,131.0,44,21.7,1.0
2025-07-07,13:23:00,Rajajinagar,134,79.0,54.0,80,5.1,1.0
2025-07-27,00:42:00,Malleshwaram,186,163.0,160.0,26,12.6,1.5
2025-07-25,02:21:00,Malleshwaram,258,84.0,217.0,41,9.5,2.0
2025-06-03,23:45:00,BTM Layout,219,96.0,201.0,18,13.2,2.0
2025-07-24,15:00:00,Indiranagar,217,132.0,169.0,48,17.9,1.5
2025-05-15,02:54:00,Hebbal,224,38.0,155.0,69,19.5,2.0
2025-05-02,09:57:00,JP Nagar,153,105.0,108.0,45,18.1,1.5
2025-12-17,04:27:00,Koramangala,267,110.0,200.0,67,12.1,1.0
2025-04-13,04:44:00,MG Road,141,97.0,73.0,68,14.7,1.5
2025-04-07,02:20:00,Electronic City,113,33.0,91.0,22,16.6,2.0
2025-11-22,22:40:00,Malleshwaram,203,141.0,190.0,13,11.1,1.8
2025-02-28,09:30:00,Malleshwaram,313,114.0,280.0,33,21.4,1.0
2025-10-20,21:28:00,Marathahalli,290,159.0,274.0,16,23.5,1.3
2025-11-02,04:42:00,Hebbal,314,52.0,260.0,54,13.2,1.0
2025-07-15,11:57:00,Koramangala,321,113.0,243.0,78,5.1,2.0
2025-04-11,03:40:00,Jayanagar,36,20.0,0.0,36,12.8,1.3
2025-09-17,18:25:00,BTM Layout,289,91.0,280.0,9,22.2,1.0
2025-08-21,03:00:00,Yelahanka,181,34.0,144.0,37,24.3,1.8
2025-04-09,17:57:00,BTM Layout,147,50.0,70.0,77,14.8,1.8
2025-10-21,22:50:00,Koramangala,272,135.0,248.0,24,3.7,1.0
2025-10-01,00:12:00,Malleshwaram,348,154.0,335.0,13,3.0,1.0
2025-02-26,23:44:00,Electronic City,114,124.0,77.0,37,17.2,1.0
2025-10-11,03:10:00,Banashankari,325,103.0,279.0,46,2.3,1.8
2025-08-24,05:44:00,Indiranagar,200,144.0,174.0,26,13.2,1.0
2025-10-12,09:33:00,Yelahanka,135,105.0,111.0,24,17.1,1.0
2025-08-29,01:49:00,Jayanagar,344,163.0,265.0,79,3.6,1.2
2025-09-08,00:39:00,JP Nagar,77,83.0,26.0,51,7.5,1.2
2025-03-16,22:23:00,Yelahanka,309,22.0,284.0,25,14.8,1.0
2025-01-24,10:10:00,Rajajinagar,168,138.0,105.0,63,15.7,1.5
2025-03-01,17:31:00,Banashankari,151,152.0,78.0,73,7.8,2.0
2025-04-30,02:51:00,Hebbal,165,70.0,91.0,74,6.3,1.0
2025-06-29,21:53:00,BTM Layout,280,142.0,224.0,56,9.6,1.0
2025-11-28,19:04:00,Rajajinagar,54,57.0,0.0,54,5.2,1.5
2025-09-23,09:06:00,Koramangala,62,115.0,3.0,59,15.9,1.0
2025-01-03,19:32:00,HSR Layout,325,145.0,270.0,55,23.8,1.3
2025-12-04,16:39:00,HSR Layout,28,146.0,23.0,5,11.5,1.0
2025-06-15,05:24:00,Rajajinagar,342,145.0,332.0,10,14.0,1.3
2025-01-07,04:40:00,Yelahanka,285,129.0,244.0,41,11.5,1.0
2025-08-23,10:47:00,Marathahalli,57,164.0,51.0,6,25.0,1.0
2025-11-25,11:36:00,Hebbal,77,45.0,35.0,42,12.4,1.3
2025-04-27,16:31:00,Malleshwaram,210,17.0,169.0,41,5.4,1.3
2025-05-22,12:16:00,JP Nagar,88,127.0,41.0,47,12.6,1.5
2025-02-23,05:41:00,Hebbal,112,134.0,37.0,75,9.8,1.0
2025-05-14,23:55:00,Indiranagar,140,140.0,73.0,67,21.8,1.5
2025-11-18,23:24:00,Yelahanka,263,136.0,243.0,20,18.9,1.0
2025-02-26,09:37:00,Hebbal,35,156.0,0.0,35,11.1,1.5
2025-09-07,10:14:00,Banashankari,148,150.0,72.0,76,3.1,1.0
2025-11-13,02:20:00,Whitefield,140,28.0,99.0,41,12.0,1.0
2025-05-20,23:54:00,Whitefield,338,87.0,271.0,67,2.4,1.0
2025-11-25,23:06:00,HSR Layout,93,149.0,80.0,13,2.2,1.0
2025-02-26,09:37:00,Hebbal,35,156.0,0.0,35,11.1,1.5
2025-09-26,10:52:00,Indiranagar,233,81.0,176.0,57,10.7,2.0
2025-01-23,02:15:00,Malleshwaram,174,29.0,168.0,6,20.0,1.2
2025-07-16,08:07:00,Whitefield,245,152.0,219.0,26,18.9,1.5
2025-11-03,17:20:00,Electronic City,89,111.0,76.0,13,9.8,1.3
2025-11-07,16:57:00,Jayanagar,166,95.0,132.0,34,7.0,1.2
2025-03-24,06:16:00,Whitefield,133,34.0,96.0,37,6.2,1.0
2025-04-27,10:42:00,Rajajinagar,182,73.0,140.0,42,15.9,1.8
2025-12-01,00:36:00,Hebbal,72,14.0,16.0,56,14.8,1.0
2025-10-19,21:11:00,Malleshwaram,50,58.0,33.0,17,16.4,1.3
2025-02-28,16:58:00,Koramangala,324,56.0,291.0,33,11.8,1.8
2025-09-02,10:13:00,Malleshwaram,24,79.0,0.0,24,15.7,1.0
2025-03-03,13:24:00,Banashankari,130,53.0,67.0,63,18.5,1.0
2025-09-22,20:55:00,BTM Layout,159,141.0,118.0,41,20.6,1.8
2025-04-04,23:19:00,Rajajinagar,117,56.0,49.0,68,7.4,1.2
2025-08-28,18:49:00,Koramangala,86,84.0,70.0,16,11.2,2.0
2025-03-20,12:45:00,Malleshwaram,102,140.0,28.0,74,23.1,1.5
2025-11-06,20:57:00,Malleshwaram,324,88.0,269.0,55,2.7,1.3
2025-08-01,18:32:00,Koramangala,294,94.0,238.0,56,7.1,1.2
2025-12-13,23:14:00,Jayanagar,349,128.0,311.0,38,6.4,1.2
2025-09-25,14:21:00,Rajajinagar,209,140.0,199.0,10,11.9,2.0
2025-03-29,22:26:00,Electronic City,305,29.0,277.0,28,12.8,1.3
2025-10-11,05:18:00,Jayanagar,159,58.0,118.0,41,18.5,1.2
2025-12-17,14:28:00,HSR Layout,73,116.0,42.0,31,16.9,1.0
2025-06-13,18:26:00,Indiranagar,61,64.0,39.0,22,10.8,1.0
2025-11-17,21:00:00,Malleshwaram,174,151.0,107.0,67,14.7,1.0
2025-03-31,13:53:00,HSR Layout,279,23.0,261.0,18,13.6,1.5
2025-12-29,14:56:00,HSR Layout,244,161.0,172.0,72,5.7,1.5
2025-02-11,16:38:00,Yelahanka,190,167.0,163.0,27,3.3,2.0
2025-08-17,00:23:00,Whitefield,155,22.0,124.0,31,10.1,1.0
2025-03-04,19:21:00,Yelahanka,294,179.0,244.0,50,9.0,1.0
2025-07-10,16:41:00,Indiranagar,324,126.0,262.0,62,15.5,1.5
2025-10-23,18:52:00,Hebbal,137,138.0,121.0,16,13.3,1.2
2025-03-17,23:14:00,Jayanagar,144,33.0,135.0,9,6.4,2.0
2025-08-01,01:35:00,Koramangala,344,120.0,264.0,80,12.5,1.0
2025-03-05,03:06:00,BTM Layout,78,97.0,16.0,62,4.0,1.8
2025-04-26,10:56:00,HSR Layout,200,179.0,161.0,39,11.7,1.0
2025-02-22,04:59:00,Indiranagar,151,159.0,121.0,30,5.5,1.0
2025-10-27,14:37:00,Yelahanka,318,61.0,262.0,56,24.9,1.0
2025-10-18,01:06:00,BTM Layout,329,120.0,305.0,24,23.8,1.5
2025-06-19,14:41:00,Koramangala,74,71.0,68.0,6,7.1,1.2
2025-01-25,09:53:00,BTM Layout,169,24.0,97.0,72,13.8,1.0
2025-11-10,07:32:00,Koramangala,347,132.0,270.0,77,5.2,1.0
2025-10-20,20:40:00,Jayanagar,219,34.0,191.0,28,21.9,1.3
2025-05-23,19:51:00,Malleshwaram,323,169.0,284.0,39,23.7,1.5
2025-12-25,02:10:00,JP Nagar,297,22.0,285.0,12,24.7,2.0
2025-03-30,10:23:00,Whitefield,34,37.0,14.0,20,21.7,1.0
2025-01-14,20:53:00,Jayanagar,335,150.0,296.0,39,16.1,1.2
2025-04-14,21:10:00,JP Nagar,246,167.0,213.0,33,18.2,1.5
2025-09-26,21:50:00,Electronic City,347,93.0,274.0,73,13.1,1.2
2025-01-06,21:51:00,Electronic City,123,22.0,82.0,41,9.1,1.5
2025-09-18,06:02:00,Rajajinagar,316,37.0,289.0,27,4.4,1.5
2025-08-01,22:21:00,Jayanagar,70,109.0,3.0,67,23.6,1.3
2025-08-17,20:18:00,Koramangala,314,61.0,245.0,69,11.9,1.8
2025-10-28,06:49:00,MG Road,114,28.0,65.0,49,5.3,1.3
2025-10-05,01:25:00,Whitefield,245,113.0,171.0,74,4.4,1.2
2025-05-05,17:36:00,Indiranagar,109,89.0,34.0,75,14.9,2.0
2025-05-15,04:57:00,MG Road,291,78.0,231.0,60,23.3,2.0
2025-02-04,20:26:00,Marathahalli,205,149.0,126.0,79,12.0,1.3
2025-02-24,21:47:00,BTM Layout,315,122.0,265.0,50,18.2,1.8
2025-08-25,08:31:00,Malleshwaram,58,145.0,0.0,58,4.3,1.0
2025-07-10,14:04:00,Banashankari,344,87.0,284.0,60,16.0,1.2
2025-09-04,11:48:00,Indiranagar,348,147.0,294.0,54,22.5,1.0
2025-06-04,16:15:00,Hebbal,292,179.0,258.0,34,18.2,2.0
2025-11-14,08:09:00,BTM Layout,184,142.0,171.0,13,20.8,1.2
2025-02-19,15:34:00,Banashankari,332,156.0,306.0,26,3.5,1.0
2025-10-01,08:21:00,Hebbal,103,74.0,39.0,64,24.8,1.2
2025-10-06,23:41:00,BTM Layout,140,176.0,113.0,27,3.8,2.0
2025-08-27,03:21:00,JP Nagar,260,57.0,215.0,45,10.5,1.8
2025-02-25,00:39:00,Whitefield,169,102.0,115.0,54,13.7,1.0
2025-09-03,07:11:00,BTM Layout,322,110.0,297.0,25,2.5,1.0
2025-12-19,20:21:00,Malleshwaram,99,27.0,47.0,52,7.7,2.0
2025-01-24,19:12:00,MG Road,133,71.0,110.0,23,14.7,1.8
2025-01-02,00:46:00,BTM Layout,172,144.0,108.0,64,11.8,1.8
2025-04-27,04:35:00,Malleshwaram,173,87.0,112.0,61,8.2,1.8
2025-12-26,18:19:00,Koramangala,324,68.0,309.0,15,17.1,1.5
2025-09-16,08:55:00,Malleshwaram,297,143.0,249.0,48,14.6,1.0
2025-07-10,15:25:00,HSR Layout,174,82.0,142.0,32,6.0,1.5
2025-01-29,09:05:00,HSR Layout,220,125.0,206.0,14,6.2,1.3
2025-08-02,01:30:00,Rajajinagar,40,134.0,0.0,40,2.8,1.8
2025-04-18,11:44:00,JP Nagar,128,170.0,71.0,57,21.6,1.0
2025-08-21,03:00:00,Yelahanka,181,34.0,144.0,37,24.3,1.8
2025-04-28,08:26:00,Indiranagar,255,75.0,206.0,49,6.3,1.0
2025-11-23,13:27:00,Jayanagar,58,20.0,0.0,58,12.0,1.0
2025-05-11,01:30:00,HSR Layout,243,142.0,238.0,5,17.8,1.2
2025-11-14,23:19:00,JP Nagar,143,154.0,75.0,68,5.3,2.0
2025-09-12,01:00:00,Indiranagar,215,95.0,156.0,59,6.9,1.0
2025-03-01,04:50:00,Yelahanka,198,121.0,154.0,44,20.0,2.0
2025-08-25,05:40:00,Jayanagar,236,18.0,194.0,42,17.9,1.0
2025-05-02,14:04:00,JP Nagar,122,61.0,69.0,53,3.7,2.0
2025-05-02,11:50:00,BTM Layout,183,27.0,157.0,26,20.9,1.5
2025-01-28,17:56:00,HSR Layout,236,13.0,170.0,66,13.6,1.8
2025-02-13,21:06:00,Rajajinagar,171,23.0,135.0,36,3.9,1.0
2025-05-25,13:13:00,BTM Layout,229,158.0,181.0,48,3.2,1.5
2025-10-23,21:29:00,Indiranagar,47,149.0,23.0,24,23.8,1.0
2025-12-01,20:33:00,MG Road,25,83.0,0.0,25,14.1,1.5
2025-07-23,16:54:00,JP Nagar,115,14.0,73.0,42,2.2,1.0
2025-06-23,20:16:00,Rajajinagar,334,12.0,268.0,66,11.9,1.0
2025-02-12,17:03:00,Jayanagar,242,29.0,195.0,47,22.6,1.0
2025-01-31,05:37:00,Hebbal,214,72.0,209.0,5,23.3,2.0
2025-04-16,17:40:00,Whitefield,330,105.0,260.0,70,8.8,1.0
2025-01-01,21:46:00, Indiranagar ,279,52.0,226.0,53,22.3,1.5
2025-11-18,02:24:00,HSR Layout,217,13.0,170.0,47,8.8,1.3
2025-11-28,19:09:00,HSR Layout,219,78.0,184.0,35,17.9,1.0
2025-03-04,01:27:00,Indiranagar,256,151.0,245.0,11,12.0,1.8
2025-01-27,08:37:00,Banashankari,264,21.0,245.0,19,11.2,1.0
2025-09-16,13:07:00,Electronic City,234,106.0,198.0,36,24.2,1.3
2025-10-02,00:16:00,Indiranagar,75,72.0,15.0,60,18.7,1.8
2025-10-22,08:16:00,Electronic City,186,105.0,133.0,53,10.4,1.2
2025-09-04,21:47:00,Yelahanka,172,18.0,142.0,30,21.9,1.2
2025-06-07,15:10:00,Koramangala,204,38.0,165.0,39,4.0,1.8
2025-02-06,01:15:00,BTM Layout,92,9.0,25.0,67,12.8,1.0
2025-06-25,07:35:00,JP Nagar,293,176.0,228.0,65,10.2,1.3
2025-04-27,17:22:00,Banashankari,21,8.0,11.0,10,7.6,2.0
2025-08-31,09:53:00,Malleshwaram,313,149.0,290.0,23,18.8,2.0
2025-12-13,18:36:00,Hebbal,64,13.0,0.0,64,2.7,1.2
2025-03-01,15:28:00,Electronic City,333,175.0,321.0,12,19.1,1.0
2025-04-12,20:47:00,Banashankari,122,138.0,84.0,38,24.4,1.5
2025-02-25,00:39:00,Whitefield,169,102.0,115.0,54,13.7,1.0
2025-01-05,12:35:00,Jayanagar,122,82.0,80.0,42,19.0,1.2
2025-11-16,22:30:00,Indiranagar,281,180.0,243.0,38,9.9,2.0
2025-09-12,05:04:00,JP Nagar,347,14.0,342.0,5,17.3,1.3
2025-06-19,16:07:00,MG Road,71,145.0,49.0,22,24.5,1.0
2025-12-03,17:41:00,MG Road,166,158.0,137.0,29,13.7,1.2
2025-08-21,11:38:00,Electronic City,100,88.0,48.0,52,19.9,1.0
2025-10-22,04:19:00,Yelahanka,245,52.0,207.0,38,6.7,1.0
2025-06-09,20:39:00,HSR Layout,188,38.0,126.0,62,6.8,1.0
2025-08-22,19:14:00,Marathahalli,49,177.0,0.0,49,20.6,1.0
2025-06-16,18:58:00,HSR Layout,56,123.0,13.0,43,11.2,1.8
2025-01-24,01:21:00,Rajajinagar,185,138.0,167.0,18,16.6,1.3
2025-02-03,05:05:00,Yelahanka,163,101.0,155.0,8,16.4,1.0
2025-10-26,13:40:00,JP Nagar,293,112.0,224.0,69,14.5,1.5
2025-01-17,06:02:00,JP Nagar,305,47.0,262.0,43,13.3,1.0
2025-10-03,18:38:00,Marathahalli,328,61.0,295.0,33,8.3,2.0
2025-10-04,07:24:00,HSR Layout,48,79.0,26.0,22,7.4,1.5
2025-11-09,13:24:00,Koramangala,111,41.0,44.0,67,14.4,1.8
2025-10-19,20:49:00,MG Road,214,131.0,166.0,48,21.6,1.0
2025-10-06,11:52:00,Electronic City,185,158.0,121.0,64,23.0,1.0
2025-04-29,23:27:00,Koramangala,33,127.0,0.0,33,5.1,2.0
2025-10-28,04:55:00,Electronic City,223,46.0,209.0,14,15.0,1.8
2025-10-14,06:14:00,Whitefield,191,95.0,175.0,16,7.1,1.3
2025-07-22,10:35:00,Yelahanka,193,48.0,160.0,33,3.8,1.0
2025-01-29,05:40:00,HSR Layout,152,108.0,124.0,28,15.8,1.0
2025-01-25,01:43:00,Jayanagar,164,172.0,96.0,68,17.5,1.3
2025-04-08,05:26:00,Marathahalli,275,132.0,205.0,70,22.2,2.0
2025-06-21,14:39:00,Koramangala,159,72.0,87.0,72,18.4,1.0
2025-12-05,12:38:00,BTM Layout,55,92.0,0.0,55,2.3,1.8
2025-09-28,00:24:00,Indiranagar,204,104.0,159.0,45,21.8,1.8
2025-12-31,18:53:00,Whitefield,343,58.0,311.0,32,16.4,1.3
2025-02-16,23:24:00,JP Nagar,336,165.0,288.0,48,3.4,1.5
2025-10-23,06:33:00,BTM Layout,55,63.0,45.0,10,19.8,1.0
2025-08-21,16:39:00,MG Road,187,28.0,108.0,79,18.8,2.0
2025-03-24,06:48:00,Banashankari,329,69.0,307.0,22,3.2,2.0
2025-12-31,22:10:00,Banashankari,211,104.0,183.0,28,13.3,1.0
2025-10-16,06:25:00,Electronic City,272,49.0,198.0,74,13.3,1.0
2025-02-09,07:22:00,Koramangala,285,64.0,268.0,17,14.2,1.2
2025-09-07,07:14:00,Yelahanka,201,76.0,163.0,38,22.2,1.3
2025-10-09,15:44:00,Koramangala,350,79.0,275.0,75,17.4,1.3
2025-10-24,11:52:00,Banashankari,200,133.0,175.0,25,20.0,1.2
2025-07-07,18:38:00,Malleshwaram,108,23.0,43.0,65,2.4,1.0
2025-10-10,15:21:00,Whitefield,216,52.0,166.0,50,11.8,1.0
2025-11-06,22:02:00,Marathahalli,65,59.0,36.0,29,23.0,1.8
2025-01-20,13:30:00,MG Road,189,126.0,154.0,35,23.2,1.5
2025-03-21,03:38:00,BTM Layout,81,174.0,66.0,15,13.3,1.0
2025-03-12,08:43:00,Koramangala,168,6.0,122.0,46,13.4,1.8
2025-12-02,19:56:00,Malleshwaram,220,177.0,156.0,64,19.2,1.2
2025-02-09,22:00:00,Hebbal,66,123.0,0.0,66,15.3,1.0
2025-04-25,22:43:00,Hebbal,321,83.0,294.0,27,18.9,1.3
2025-03-07,22:31:00,Indiranagar,263,72.0,188.0,75,14.1,1.8
2025-02-11,20:24:00,Rajajinagar,40,87.0,0.0,40,15.9,1.0
2025-08-07,20:46:00,HSR Layout,182,152.0,144.0,38,24.9,1.5
2025-01-23,03:33:00,Indiranagar,46,45.0,0.0,46,20.1,2.0
2025-07-12,18:46:00,Marathahalli,150,119.0,99.0,51,24.1,1.0
2025-04-01,10:30:00,Jayanagar,227,32.0,214.0,13,17.8,1.8
2025-07-03,17:09:00,Malleshwaram,74,180.0,32.0,42,8.9,1.0
2025-12-28,10:44:00,Hebbal,36,27.0,0.0,36,13.4,1.2
2025-02-17,16:27:00,Banashankari,86,5.0,12.0,74,22.6,1.8
2025-01-28,06:04:00,Koramangala,148,152.0,72.0,76,20.9,1.3
2025-04-30,03:26:00,Marathahalli,214,167.0,174.0,40,21.2,1.0
2025-04-25,08:36:00,Rajajinagar,331,169.0,287.0,44,8.3,1.8
2025-01-07,09:42:00,Electronic City,196,119.0,147.0,49,22.1,1.0
2025-06-23,11:58:00,Banashankari,23,41.0,0.0,23,15.0,1.8
2025-01-12,04:16:00,Rajajinagar,140,25.0,103.0,37,6.8,1.8
2025-09-02,05:13:00,Hebbal,252,145.0,200.0,52,23.0,1.2
2025-05-22,04:56:00,Electronic City,86,49.0,12.0,74,4.5,1.0
2025-09-05,12:14:00,Malleshwaram,40,129.0,7.0,33,7.3,1.3
2025-01-16,03:23:00,Marathahalli,47,178.0,34.0,13,2.6,1.0
2025-12-01,11:52:00,HSR Layout,80,105.0,53.0,27,14.2,1.2
2025-09-22,13:51:00,Marathahalli,200,128.0,151.0,49,22.4,1.0
2025-11-14,08:33:00,JP Nagar,90,165.0,73.0,17,16.9,1.3
2025-08-03,03:34:00,Electronic City,281,34.0,261.0,20,20.0,2.0
2025-12-19,16:24:00,MG Road,189,8.0,154.0,35,17.4,1.0
2025-06-14,06:50:00,Electronic City,118,141.0,77.0,41,9.3,2.0
2025-11-12,14:16:00,Banashankari,147,88.0,122.0,25,23.5,1.5
2025-05-24,13:04:00,Whitefield,90,169.0,32.0,58,22.3,1.2
2025-02-04,14:35:00,Electronic City,301,125.0,288.0,13,5.1,1.3
2025-01-13,17:38:00,Malleshwaram,211,135.0,141.0,70,12.2,1.0
2025-04-11,00:46:00,Banashankari,62,119.0,0.0,62,17.6,1.0
2025-10-15,22:09:00,BTM Layout,24,93.0,5.0,19,12.3,1.2
2025-12-18,11:47:00,HSR Layout,87,143.0,60.0,27,18.0,1.5
2025-07-25,02:21:00,Malleshwaram,258,84.0,217.0,41,9.5,2.0
2025-08-31,11:50:00,Rajajinagar,235,170.0,174.0,61,2.5,1.2
2025-04-01,17:48:00,Malleshwaram,158,128.0,85.0,73,12.7,1.3
2025-10-20,07:18:00,BTM Layout,133,57.0,100.0,33,8.2,1.8
2025-02-04,16:00:00,Malleshwaram,246,75.0,203.0,43,15.6,1.5
2025-08-05,23:41:00,Koramangala,87,63.0,21.0,66,10.8,1.0
2025-02-13,21:06:00,Rajajinagar,171,23.0,135.0,36,3.9,1.0
2025-10-24,18:30:00,MG Road,51,17.0,6.0,45,15.4,1.0
2025-01-23,10:51:00,Hebbal,262,174.0,209.0,53,20.2,1.0
2025-10-21,08:21:00,Electronic City,107,161.0,93.0,14,22.5,2.0
2025-03-23,03:25:00,Electronic City,146,141.0,111.0,35,20.8,1.0
2025-10-11,20:30:00,Malleshwaram,327,11.0,286.0,41,21.5,1.3
2025-01-10,12:22:00,Whitefield,178,92.0,150.0,28,23.8,2.0
2025-10-21,15:17:00,Marathahalli,65,85.0,0.0,65,4.7,2.0
2025-10-25,18:28:00,Electronic City,123,139.0,101.0,22,22.9,1.8
2025-06-17,14:10:00,Indiranagar,109,143.0,79.0,30,22.2,1.5
2025-02-16,07:48:00,MG Road,314,177.0,234.0,80,20.9,1.0
2025-05-27,18:16:00,Electronic City,196,103.0,139.0,57,17.1,2.0
2025-07-30,08:09:00,Jayanagar,109,51.0,100.0,9,18.5,1.0
2025-04-13,04:11:00,Marathahalli,89,49.0,75.0,14,22.7,2.0
2025-08-17,12:46:00,Malleshwaram,220,178.0,156.0,64,15.5,1.0
2025-11-28,02:09:00,JP Nagar,345,82.0,281.0,64,16.9,1.0
2025-12-27,13:59:00,MG Road,171,145.0,146.0,25,13.4,1.2
2025-07-07,01:32:00,Jayanagar,225,148.0,214.0,11,6.5,1.3
2025-08-13,06:35:00,Yelahanka,30,39.0,0.0,30,7.8,1.0
2025-12-26,03:54:00,Hebbal,302,120.0,270.0,32,22.4,1.8
2025-01-12,22:28:00,MG Road,222,149.0,182.0,40,21.9,1.0
2025-12-03,12:24:00,Koramangala,251,173.0,232.0,19,7.1,1.5
2025-11-14,01:49:00,Marathahalli,203,39.0,197.0,6,6.5,1.8
2025-12-18,21:38:00,Marathahalli,155,69.0,86.0,69,22.8,1.0
2025-03-22,14:54:00,BTM Layout,347,86.0,280.0,67,6.0,1.5
2025-01-06,21:57:00,Banashankari,100,125.0,31.0,69,21.6,1.0
2025-11-02,18:23:00,Rajajinagar,106,79.0,60.0,46,8.7,1.3
2025-12-04,02:53:00,BTM Layout,165,167.0,95.0,70,16.2,1.0
2025-10-16,02:06:00,Koramangala,97,176.0,80.0,17,9.9,1.8
2025-06-14,20:45:00,Indiranagar,95,75.0,82.0,13,16.4,1.5
2025-09-29,06:30:00,BTM Layout,29,68.0,24.0,5,7.2,1.5
2025-09-26,01:09:00,Malleshwaram,58,6.0,47.0,11,11.5,1.2
2025-09-28,08:34:00,BTM Layout,303,34.0,297.0,6,17.7,1.3
2025-08-31,23:57:00,Rajajinagar,98,180.0,67.0,31,16.5,1.3
2025-03-20,08:57:00,Koramangala,173,172.0,108.0,65,17.3,1.3
2025-04-21,15:09:00,Electronic City,232,46.0,171.0,61,20.5,1.8
2025-03-31,06:37:00,JP Nagar,189,177.0,141.0,48,13.0,2.0
