Date,Mode,Trip_Count,Weather_Condition
2025-02-26,Metro,3760.0,Cloudy
2025-02-27,Metro,903.0,Cloudy
2025-02-28,Bus,2897.0,Sunny
2025-02-28,Metro,648.0,Sunny
2025-03-01,Bus,967.0,Sunny
2025-03-01,Metro,1151.0,Sunny
2025-03-02,Bus,1868.0,Rainy
2025-03-03,Bus,1448.0,Cloudy
2025-03-04,Bus,1448.0,Cloudy
2025-03-05,Bus,1684.0,Sunny
2025-03-05,Metro,650.0,Sunny
2025-03-06,Bus,350.0,Cloudy
2025-03-06,Metro,1600.0,Cloudy
2025-03-07,Bus,527.0,Rainy
2025-03-07,Metro,1004.0,Rainy
2025-03-08,Bus,948.0,Rainy
2025-03-08,Metro,2048.0,Rainy
2025-03-09,Bus,4054.0,Cloudy
2025-03-09,Metro,1780.0,Cloudy
2025-03-10,Bus,2019.0,Rainy
2025-03-11,Bus,2023.0,Rainy
2025-03-12,Bus,1537.0,Sunny
2025-03-12,Metro,2468.0,Sunny
2025-03-13,Bus,4771.0,Rainy
2025-03-13,Metro,2765.0,Rainy
2025-03-14,Bus,139.0,Rainy
2025-03-14,Metro,1016.0,Rainy
2025-03-15,Metro,2336.0,Sunny
2025-03-16,Bus,1568.0,Rainy
2025-03-17,Metro,2544.0,Rainy
2025-03-18,Bus,267.0,Rainy
2025-03-19,Bus,1513.0,Rainy
2025-03-20,Bus,592.0,Sunny
2025-03-20,Metro,1249.0,Sunny
2025-03-21,Metro,480.0,Sunny
2025-03-22,Bus,4206.0,Sunny
2025-03-24,Bus,1021.0,Rainy
2025-03-24,Metro,914.0,Rainy
2025-03-25,Bus,1359.0,Rainy
2025-03-26,Bus,3660.0,Rainy
2025-03-26,Metro,1161.0,Rainy
2025-03-27,Metro,99.0,Cloudy
2025-03-29,Bus,522.0,Sunny
2025-03-29,Metro,307.0,Sunny
2025-03-30,Bus,1644.0,Sunny
2025-03-31,Metro,2626.0,Sunny
2025-04-01,Metro,473.0,Sunny
2025-04-03,Bus,638.0,Sunny
2025-04-04,Bus,2659.0,Cloudy
2025-04-06,Bus,781.0,Cloudy
2025-04-07,Bus,1775.0,Sunny
2025-04-07,Metro,2935.0,Sunny
2025-04-08,Bus,346.0,Cloudy
2025-04-08,Metro,537.0,Cloudy
2025-04-09,Bus,3107.0,Sunny
2025-04-10,Bus,953.0,Rainy
2025-04-11,Bus,3112.0,Cloudy
2025-04-11,Metro,2198.0,Cloudy
2025-04-12,Bus,993.0,Rainy
2025-04-12,Metro,580.0,Rainy
2025-04-13,Bus,1299.0,Rainy
2025-04-13,Metro,381.0,Rainy
2025-04-14,Bus,3134.0,Sunny
2025-04-14,Metro,3556.0,Sunny
2025-04-15,Bus,997.0,Cloudy
2025-04-16,Bus,1682.0,Rainy
2025-04-17,Metro,82.0,Cloudy
2025-04-18,Bus,169.0,Rainy
2025-04-18,Metro,1254.0,Rainy
2025-04-19,Bus,849.0,Rainy
2025-04-20,Bus,831.0,Cloudy
2025-04-21,Bus,754.0,Sunny
2025-04-22,Bus,3787.0,Rainy
2025-04-22,Metro,999.0,Rainy
2025-04-23,Bus,1242.0,Rainy
2025-04-23,Metro,1649.0,Rainy
2025-04-24,Bus,771.0,Rainy
2025-04-24,Metro,547.0,Rainy
2025-04-25,Bus,1967.0,Cloudy
2025-04-26,Bus,1854.0,Cloudy
2025-04-27,Bus,1633.0,Sunny
2025-04-27,Metro,451.0,Sunny
2025-04-28,Bus,3510.0,Sunny
2025-04-30,Metro,1664.0,Rainy
2025-05-01,Metro,1773.0,Cloudy
2025-05-02,Metro,1248.0,Rainy
2025-05-03,Bus,473.0,Sunny
2025-05-04,Bus,4547.0,Sunny
2025-05-04,Metro,3642.0,Sunny
2025-05-05,Bus,1536.0,Cloudy
2025-05-05,Metro,1570.0,Cloudy
2025-05-06,Bus,4983.0,Sunny
2025-05-06,Metro,185.0,Sunny
2025-05-07,Bus,2583.0,Cloudy
2025-05-08,Metro,1772.0,Sunny
2025-05-10,Metro,923.0,Sunny
2025-05-11,Bus,3376.0,Cloudy
2025-05-12,Bus,1187.0,Rainy
2025-05-12,Metro,386.0,Rainy
2025-05-13,Bus,3411.0,Rainy
2025-05-13,Metro,1271.0,Rainy
2025-05-14,Bus,1268.0,Cloudy
2025-05-16,Bus,747.0,Cloudy
2025-05-17,Metro,1399.0,Sunny
2025-05-18,Bus,1655.0,Sunny
2025-05-18,Metro,629.0,Sunny
2025-05-19,Bus,1506.0,Sunny
2025-05-19,Metro,1586.0,Sunny
2025-05-21,Bus,1727.0,Cloudy
2025-05-21,Metro,1287.0,Cloudy
2025-05-22,Metro,498.0,Rainy
2025-05-23,Bus,1259.0,Rainy
2025-05-24,Bus,2564.0,Cloudy
2025-05-24,Metro,3175.0,Cloudy
2025-05-25,Bus,1220.0,Sunny
2025-05-26,Bus,613.0,Sunny
2025-05-26,Metro,3235.0,Sunny
2025-05-28,Bus,359.0,Cloudy
2025-05-28,Metro,2397.0,Cloudy
2025-05-29,Bus,1621.0,Sunny
2025-05-29,Metro,714.0,Sunny
2025-05-30,Bus,4876.0,Cloudy
2025-05-31,Metro,224.0,Cloudy
2025-06-01,Bus,1045.0,Sunny
2025-06-01,Metro,152.0,Sunny
2025-06-02,Bus,2845.0,Cloudy
2025-06-02,Metro,176.0,Cloudy
2025-06-03,Bus,1757.0,Cloudy
2025-06-04,Bus,878.0,Rainy
2025-06-04,Metro,1588.0,Rainy
2025-06-05,Bus,166.0,Sunny
2025-06-06,Bus,1443.0,Rainy
2025-06-06,Metro,1535.0,Rainy
2025-06-07,Bus,4527.0,Rainy
2025-06-08,Bus,3429.0,Rainy
2025-06-09,Bus,1318.0,Rainy
2025-06-09,Metro,1444.0,Rainy
2025-06-10,Metro,1268.0,Cloudy
2025-06-11,Bus,367.0,Rainy
2025-06-11,Metro,1934.0,Rainy
2025-06-12,Bus,143.0,Sunny
2025-06-13,Bus,190.0,Cloudy
2025-06-13,Metro,1565.0,Cloudy
2025-06-14,Metro,2428.0,Sunny
2025-06-15,Bus,360.0,Sunny
2025-06-17,Bus,3239.0,Rainy
2025-06-18,Bus,1410.0,Rainy
2025-06-19,Metro,634.0,Sunny
2025-06-20,Bus,2532.0,Cloudy
2025-06-20,Metro,843.0,Cloudy
2025-06-21,Bus,4596.0,Sunny
2025-06-22,Bus,2950.0,Sunny
2025-06-23,Metro,1266.0,Sunny
2025-06-24,Bus,1741.0,Sunny
2025-06-24,Metro,1641.0,Sunny
2025-06-25,Bus,812.0,Rainy
2025-06-25,Metro,1119.0,Rainy
2025-06-26,Bus,1017.0,Sunny
2025-06-27,Metro,1489.0,Sunny
2025-06-28,Bus,1592.0,Sunny
2025-06-30,Bus,1831.0,Cloudy
2025-07-01,Bus,1514.0,Sunny
2025-07-01,Metro,345.0,Sunny
2025-07-02,Bus,2258.0,Cloudy
2025-07-02,Metro,1666.0,Cloudy
2025-07-03,Bus,1071.0,Rainy
2025-07-03,Metro,1292.0,Rainy
2025-07-04,Bus,61.0,Sunny
2025-07-05,Bus,3438.0,Sunny
2025-07-05,Metro,478.0,Sunny
2025-07-06,Bus,513.0,Rainy
2025-07-07,Metro,9.0,Cloudy
2025-07-08,Bus,304.0,Cloudy
2025-07-09,Bus,1709.0,Sunny
2025-07-09,Metro,1148.0,Sunny
2025-07-10,Bus,2070.0,Sunny
2025-07-11,Bus,246.0,Sunny
2025-07-11,Metro,849.0,Sunny
2025-07-12,Bus,1497.0,Sunny
2025-07-12,Metro,1281.0,Sunny
2025-07-13,Bus,1849.0,Sunny
2025-07-14,Bus,435.0,Rainy
2025-07-14,Metro,1358.0,Rainy
2025-07-15,Bus,2064.0,Cloudy
2025-07-15,Metro,1284.0,Cloudy
2025-07-17,Bus,3749.0,Sunny
2025-07-17,Metro,509.0,Sunny
2025-07-18,Bus,597.0,Cloudy
2025-07-19,Bus,297.0,Sunny
2025-07-20,Metro,1509.0,Sunny
2025-07-21,Bus,980.0,Cloudy
2025-07-21,Metro,1297.0,Cloudy
2025-07-22,Bus,1353.0,Rainy
2025-07-23,Bus,655.0,Sunny
2025-07-23,Metro,97.0,Sunny
2025-07-24,Bus,2290.0,Cloudy
2025-07-26,Metro,1467.0,Cloudy
2025-07-29,Bus,2521.0,Cloudy
2025-07-29,Metro,1635.0,Cloudy
2025-07-31,Bus,2695.0,Rainy
2025-07-31,Metro,1348.0,Rainy
2025-08-01,Bus,874.0,Sunny
2025-08-01,Metro,1669.0,Sunny
2025-08-02,Bus,3364.0,Cloudy
2025-08-03,Bus,1719.0,Sunny
2025-08-05,Bus,3531.0,Sunny
2025-08-06,Bus,1348.0,Cloudy
2025-08-06,Metro,2554.0,Cloudy
2025-08-07,Metro,669.0,Sunny
2025-08-09,Bus,151.0,Cloudy
2025-08-10,Bus,1030.0,Cloudy
2025-08-10,Metro,837.0,Cloudy
2025-08-11,Bus,2837.0,Cloudy
2025-08-11,Metro,661.0,Cloudy
2025-08-12,Bus,952.0,Rainy
2025-08-12,Metro,300.0,Rainy
2025-08-13,Bus,1678.0,Sunny
2025-08-13,Metro,2956.0,Sunny
2025-08-14,Bus,2156.0,Cloudy
2025-08-14,Metro,2488.0,Cloudy
2025-08-15,Bus,1494.0,Cloudy
2025-08-16,Bus,1051.0,Sunny
2025-08-16,Metro,3465.0,Sunny
2025-08-17,Bus,1882.0,Sunny
2025-08-17,Metro,1230.0,Sunny
2025-08-18,Bus,2572.0,Rainy
2025-08-18,Metro,1645.0,Rainy
2025-08-19,Metro,2836.0,Rainy
2025-08-21,Bus,2940.0,Cloudy
2025-08-21,Metro,906.0,Cloudy
2025-08-22,Bus,2749.0,Cloudy
2025-08-22,Metro,547.0,Cloudy
2025-08-23,Bus,2289.0,Rainy
2025-08-25,Bus,2210.0,Rainy
2025-08-25,Metro,862.0,Rainy
2025-08-26,Bus,1716.0,Rainy
2025-08-26,Metro,345.0,Rainy
2025-08-27,Bus,1583.0,Cloudy
2025-08-29,Bus,1736.0,Rainy
2025-08-31,Bus,3725.0,Sunny
2025-09-01,Bus,1686.0,Cloudy
2025-09-01,Metro,453.0,Cloudy
2025-09-02,Bus,561.0,Cloudy
2025-09-02,Metro,219.0,Cloudy
2025-09-03,Bus,816.0,Rainy
2025-09-03,Metro,1357.0,Rainy
2025-09-04,Bus,455.0,Rainy
2025-09-04,Metro,2239.0,Rainy
2025-09-05,Bus,2832.0,Rainy
2025-09-05,Metro,1223.0,Rainy
2025-09-06,Bus,3037.0,Cloudy
2025-09-07,Bus,2580.0,Cloudy
2025-09-07,Metro,4778.0,Cloudy
2025-09-08,Bus,1392.0,Sunny
2025-09-08,Metro,1546.0,Sunny
2025-09-09,Bus,341.0,Rainy
2025-09-09,Metro,415.0,Rainy
2025-09-10,Bus,1376.0,Rainy
2025-09-10,Metro,1708.0,Rainy
2025-09-11,Bus,2576.0,Sunny
2025-09-11,Metro,897.0,Sunny
2025-09-12,Bus,2712.0,Cloudy
2025-09-13,Bus,786.0,Sunny
2025-09-14,Bus,160.0,Cloudy
2025-09-15,Bus,1666.0,Rainy
2025-09-15,Metro,1157.0,Rainy
2025-09-16,Bus,4013.0,Cloudy
2025-09-16,Metro,1090.0,Cloudy
2025-09-17,Metro,285.0,Sunny
2025-09-18,Bus,493.0,Sunny
2025-09-19,Bus,1055.0,Sunny
2025-09-19,Metro,1923.0,Sunny
2025-09-20,Bus,4614.0,Sunny
2025-09-20,Metro,1585.0,Sunny
2025-09-23,Bus,2298.0,Rainy
2025-09-23,Metro,1142.0,Rainy
2025-09-25,Metro,1534.0,Cloudy
2025-09-27,Bus,1439.0,Sunny
2025-09-27,Metro,4026.0,Sunny
2025-09-28,Bus,366.0,Sunny
2025-09-29,Bus,932.0,Sunny
2025-09-30,Metro,2044.0,Sunny
2025-10-01,Bus,3067.0,Rainy
2025-10-02,Bus,2834.0,Sunny
2025-10-02,Metro,852.0,Sunny
2025-10-04,Metro,645.0,Sunny
2025-10-05,Bus,4018.0,Rainy
2025-10-05,Metro,220.0,Rainy
2025-10-06,Bus,557.0,Sunny
2025-10-07,Bus,1441.0,Rainy
2025-10-08,Bus,1386.0,Rainy
2025-10-09,Bus,3022.0,Sunny
2025-10-10,Bus,4380.0,Sunny
2025-10-11,Bus,1076.0,Sunny
2025-10-13,Bus,1788.0,Sunny
2025-10-14,Bus,4062.0,Rainy
2025-10-14,Metro,616.0,Rainy
2025-10-15,Metro,971.0,Rainy
2025-10-16,Bus,2362.0,Sunny
2025-10-17,Metro,2002.0,Sunny
2025-10-19,Bus,900.0,Rainy
2025-10-19,Metro,394.0,Rainy
2025-10-20,Bus,1301.0,Cloudy
2025-10-22,Bus,1021.0,Sunny
2025-10-22,Metro,145.0,Sunny
2025-10-23,Bus,2259.0,Cloudy
2025-10-23,Metro,2257.0,Cloudy
2025-10-24,Bus,2299.0,Cloudy
2025-10-24,Metro,1799.0,Cloudy
2025-10-25,Bus,1590.0,Cloudy
2025-10-26,Bus,957.0,Sunny
2025-10-26,Metro,1230.0,Sunny
2025-10-27,Bus,511.0,Rainy
2025-10-28,Bus,3420.0,Cloudy
2025-10-28,Metro,2085.0,Cloudy
2025-10-29,Bus,430.0,Cloudy
2025-10-29,Metro,4019.0,Cloudy
2025-10-30,Bus,1401.0,Cloudy
2025-10-30,Metro,1060.0,Cloudy
2025-10-31,Bus,629.0,Cloudy
2025-11-02,Bus,2650.0,Sunny
2025-11-03,Bus,511.0,Sunny
2025-11-04,Bus,2015.0,Cloudy
2025-11-04,Metro,625.0,Cloudy
2025-11-05,Bus,4679.0,Cloudy
2025-11-06,Bus,283.0,Cloudy
2025-11-07,Metro,1128.0,Rainy
2025-11-08,Bus,2283.0,Rainy
2025-11-09,Bus,644.0,Rainy
2025-11-09,Metro,1306.0,Rainy
2025-11-10,Bus,669.0,Sunny
2025-11-11,Metro,691.0,Cloudy
2025-11-12,Bus,258.0,Rainy
2025-11-13,Bus,1358.0,Sunny
2025-11-13,Metro,1049.0,Sunny
2025-11-14,Bus,1106.0,Rainy
2025-11-16,Metro,2113.0,Cloudy
2025-11-17,Bus,1730.0,Rainy
2025-11-18,Bus,1543.0,Rainy
2025-11-19,Bus,1286.0,Cloudy
2025-11-19,Metro,260.0,Cloudy
2025-11-20,Bus,465.0,Sunny
2025-11-21,Bus,623.0,Cloudy
2025-11-21,Metro,690.0,Cloudy
2025-11-22,Bus,816.0,Sunny
2025-11-23,Bus,1543.0,Rainy
2025-11-23,Metro,869.0,Rainy
2025-11-24,Bus,2875.0,Rainy
2025-11-24,Metro,240.0,Rainy
2025-11-25,Metro,1824.0,Cloudy
2025-11-26,Bus,2889.0,Cloudy
2025-11-26,Metro,1692.0,Cloudy
2025-11-27,Bus,861.0,Cloudy
2025-11-29,Bus,1668.0,Rainy
2025-11-30,Bus,134.0,Cloudy
2025-12-01,Bus,4531.0,Sunny
2025-12-01,Metro,818.0,Sunny
2025-12-02,Metro,953.0,Sunny
2025-12-03,Bus,1804.0,Cloudy
2025-12-04,Bus,1566.0,Sunny
2025-12-05,Bus,981.0,Rainy
2025-12-05,Metro,1490.0,Rainy
2025-12-06,Bus,1363.0,Rainy
2025-12-07,Metro,57.0,Sunny
2025-12-08,Bus,1745.0,Rainy
2025-12-08,Metro,1662.0,Rainy
2025-12-09,Bus,2643.0,Sunny
2025-12-09,Metro,1220.0,Sunny
2025-12-10,Bus,3465.0,Rainy
2025-12-10,Metro,1335.0,Rainy
2025-12-11,Bus,1552.0,Sunny
2025-12-12,Bus,669.0,Cloudy
2025-12-13,Bus,1697.0,Rainy
2025-12-13,Metro,817.0,Rainy
2025-12-14,Bus,1883.0,Cloudy
2025-12-14,Metro,1487.0,Cloudy
2025-12-15,Bus,210.0,Cloudy
2025-12-16,Metro,1639.0,Sunny
2025-12-17,Bus,629.0,Rainy
2025-12-17,Metro,2579.0,Rainy
2025-12-18,Bus,451.0,Rainy
2025-12-19,Bus,2933.0,Rainy
2025-12-19,Metro,2539.0,Rainy
2025-12-20,Metro,2154.0,Rainy
2025-12-21,Bus,1260.0,Rainy
2025-12-21,Metro,2473.0,Rainy
2025-12-23,Bus,1709.0,Rainy
2025-12-23,Metro,107.0,Rainy
2025-12-24,Bus,1287.0,Sunny
2025-12-25,Bus,1144.0,Sunny
2025-12-25,Metro,1711.0,Sunny
2025-12-27,Bus,862.0,Sunny
2025-12-27,Metro,2559.0,Sunny
2025-12-28,Bus,2214.0,Rainy
2025-12-28,Metro,2889.0,Rainy
2025-12-29,Bus,883.0,Cloudy
2025-12-29,Metro,1756.0,Cloudy
2025-12-30,Metro,2267.0,Rainy
2025-01-01,Bike,62.0,Cloudy
2025-01-01,Scooter,181.0,Cloudy
2025-01-02,Bike,38.0,Cloudy
2025-01-02,Scooter,173.0,Cloudy
2025-01-03,Bike,52.0,Rainy
2025-01-04,Bike,168.0,Cloudy
2025-01-04,Scooter,73.0,Cloudy
2025-01-05,Bike,34.0,Cloudy
2025-01-05,Scooter,77.0,Cloudy
2025-01-06,Scooter,155.0,Cloudy
2025-01-07,Bike,268.0,Rainy
2025-01-07,Scooter,45.0,Rainy
2025-01-08,Bike,48.0,Rainy
2025-01-08,Scooter,213.0,Rainy
2025-01-09,Bike,61.0,Rainy
2025-01-09,Scooter,91.0,Rainy
2025-01-10,Bike,142.0,Rainy
2025-01-10,Scooter,75.0,Rainy
2025-01-11,Bike,154.0,Rainy
2025-01-12,Bike,24.0,Rainy
2025-01-13,Bike,293.0,Sunny
2025-01-13,Scooter,149.0,Sunny
2025-01-14,Bike,102.0,Rainy
2025-01-14,Scooter,117.0,Rainy
2025-01-15,Bike,187.0,Sunny
2025-01-15,Scooter,111.0,Sunny
2025-01-16,Scooter,186.0,Cloudy
2025-01-17,Bike,101.0,Cloudy
2025-01-17,Scooter,21.0,Cloudy
2025-01-18,Scooter,57.0,Sunny
2025-01-19,Bike,65.0,Cloudy
2025-01-19,Scooter,90.0,Cloudy
2025-01-20,Bike,84.0,Sunny
2025-01-20,Scooter,34.0,Sunny
2025-01-21,Bike,54.0,Rainy
2025-01-21,Scooter,186.0,Rainy
2025-01-22,Bike,55.0,Rainy
2025-01-22,Scooter,111.0,Rainy
2025-01-23,Bike,37.0,Sunny
2025-01-23,Scooter,56.0,Sunny
2025-01-24,Bike,95.0,Rainy
2025-01-25,Bike,16.0,Rainy
2025-01-25,Scooter,171.0,Rainy
2025-01-26,Bike,75.0,Cloudy
2025-01-27,Bike,80.0,Sunny
2025-01-28,Bike,70.0,Rainy
2025-01-28,Scooter,33.0,Rainy
2025-01-30,Bike,79.0,Sunny
2025-01-30,Scooter,86.0,Sunny
2025-01-31,Bike,167.0,Sunny
2025-01-31,Scooter,37.0,Sunny
2025-02-01,Bike,104.0,Rainy
2025-02-01,Scooter,119.0,Rainy
2025-02-02,Bike,55.0,Rainy
2025-02-03,Bike,53.0,Sunny
2025-02-03,Scooter,44.0,Sunny
2025-02-04,Bike,19.0,Cloudy
2025-02-04,Scooter,66.0,Cloudy
2025-02-05,Bike,40.0,Cloudy
2025-02-05,Scooter,156.0,Cloudy
2025-02-06,Bike,106.0,Cloudy
2025-02-06,Scooter,187.0,Cloudy
2025-02-07,Bike,178.0,Rainy
2025-02-07,Scooter,197.0,Rainy
2025-02-08,Bike,168.0,Sunny
2025-02-09,Bike,86.0,Rainy
2025-02-09,Scooter,10.0,Rainy
2025-02-10,Scooter,32.0,Rainy
2025-02-11,Bike,131.0,Sunny
2025-02-12,Bike,146.0,Sunny
2025-02-13,Bike,84.0,Cloudy
2025-02-13,Scooter,96.0,Cloudy
2025-02-14,Bike,25.0,Cloudy
2025-02-15,Bike,69.0,Sunny
2025-02-15,Scooter,23.0,Sunny
2025-02-17,Bike,111.0,Rainy
2025-02-17,Scooter,193.0,Rainy
2025-02-18,Bike,32.0,Rainy
2025-02-18,Scooter,87.0,Rainy
2025-02-20,Bike,46.0,Sunny
2025-02-21,Bike,93.0,Cloudy
2025-02-22,Bike,56.0,Rainy
2025-02-23,Bike,74.0,Rainy
2025-02-23,Scooter,259.0,Rainy
2025-02-24,Bike,36.0,Sunny
2025-02-24,Scooter,141.0,Sunny
2025-02-25,Bike,24.0,Cloudy
2025-02-25,Scooter,43.0,Cloudy
2025-02-26,Scooter,11.0,Cloudy
2025-02-27,Scooter,54.0,Cloudy
2025-02-28,Scooter,134.0,Sunny
2025-03-01,Bike,272.0,Sunny
2025-03-01,Scooter,346.0,Sunny
2025-03-02,Scooter,103.0,Rainy
2025-03-03,Bike,73.0,Cloudy
2025-03-03,Scooter,20.0,Cloudy
2025-03-04,Bike,59.0,Cloudy
2025-03-04,Scooter,87.0,Cloudy
2025-03-05,Bike,116.0,Sunny
2025-03-06,Scooter,61.0,Cloudy
2025-03-07,Bike,117.0,Rainy
2025-03-07,Scooter,129.0,Rainy
2025-03-08,Bike,102.0,Rainy
2025-03-09,Bike,106.0,Cloudy
2025-03-09,Scooter,34.0,Cloudy
2025-03-10,Bike,39.0,Rainy
2025-03-11,Bike,98.0,Rainy
2025-03-11,Scooter,86.0,Rainy
2025-03-12,Bike,48.0,Sunny
2025-03-13,Bike,30.0,Rainy
2025-03-13,Scooter,19.0,Rainy
2025-03-14,Bike,166.0,Rainy
2025-03-14,Scooter,75.0,Rainy
2025-03-15,Bike,82.0,Sunny
2025-03-16,Scooter,204.0,Rainy
2025-03-17,Bike,69.0,Rainy
2025-03-17,Scooter,57.0,Rainy
2025-03-18,Scooter,227.0,Rainy
2025-03-19,Bike,170.0,Rainy
2025-03-20,Bike,283.0,Sunny
2025-03-20,Scooter,37.0,Sunny
2025-03-21,Scooter,68.0,Sunny
2025-03-22,Bike,368.0,Sunny
2025-03-22,Scooter,67.0,Sunny
2025-03-23,Bike,58.0,Cloudy
2025-03-23,Scooter,98.0,Cloudy
2025-03-25,Scooter,37.0,Rainy
2025-03-26,Scooter,11.0,Rainy
2025-03-27,Bike,90.0,Cloudy
2025-03-27,Scooter,104.0,Cloudy
2025-03-28,Bike,78.0,Cloudy
2025-03-28,Scooter,42.0,Cloudy
2025-03-29,Bike,111.0,Sunny
2025-03-30,Bike,82.0,Sunny
2025-03-30,Scooter,42.0,Sunny
2025-03-31,Bike,64.0,Sunny
2025-03-31,Scooter,150.0,Sunny
2025-04-01,Bike,95.0,Sunny
2025-04-01,Scooter,41.0,Sunny
2025-04-02,Scooter,158.0,Sunny
2025-04-03,Bike,15.0,Sunny
2025-04-03,Scooter,48.0,Sunny
2025-04-05,Scooter,99.0,Sunny
2025-04-06,Bike,65.0,Cloudy
2025-04-06,Scooter,37.0,Cloudy
2025-04-07,Bike,227.0,Sunny
2025-04-07,Scooter,86.0,Sunny
2025-04-08,Bike,59.0,Cloudy
2025-04-09,Bike,34.0,Sunny
2025-04-09,Scooter,61.0,Sunny
2025-04-10,Scooter,216.0,Rainy
2025-04-11,Bike,180.0,Cloudy
2025-04-11,Scooter,45.0,Cloudy
2025-04-12,Scooter,82.0,Rainy
2025-04-13,Bike,51.0,Rainy
2025-04-14,Bike,55.0,Sunny
2025-04-15,Scooter,37.0,Cloudy
2025-04-16,Bike,17.0,Rainy
2025-04-17,Scooter,97.0,Cloudy
2025-04-18,Bike,23.0,Rainy
2025-04-18,Scooter,73.0,Rainy
2025-04-19,Bike,70.0,Rainy
2025-04-19,Scooter,41.0,Rainy
2025-04-20,Bike,194.0,Cloudy
2025-04-21,Scooter,54.0,Sunny
2025-04-22,Scooter,137.0,Rainy
2025-04-23,Scooter,64.0,Rainy
2025-04-24,Bike,66.0,Rainy
2025-04-24,Scooter,248.0,Rainy
2025-04-26,Bike,103.0,Cloudy
2025-04-26,Scooter,65.0,Cloudy
2025-04-28,Bike,72.0,Sunny
2025-04-28,Scooter,142.0,Sunny
2025-04-30,Bike,75.0,Rainy
2025-05-01,Bike,14.0,Cloudy
2025-05-01,Scooter,56.0,Cloudy
2025-05-02,Bike,79.0,Rainy
2025-05-02,Scooter,50.0,Rainy
2025-05-03,Scooter,10.0,Sunny
2025-05-04,Scooter,47.0,Sunny
2025-05-05,Bike,61.0,Cloudy
2025-05-06,Bike,48.0,Sunny
2025-05-07,Scooter,40.0,Cloudy
2025-05-08,Bike,207.0,Sunny
2025-05-08,Scooter,59.0,Sunny
2025-05-09,Scooter,49.0,Cloudy
2025-05-11,Bike,82.0,Cloudy
2025-05-11,Scooter,59.0,Cloudy
2025-05-12,Bike,133.0,Rainy
2025-05-13,Scooter,68.0,Rainy
2025-05-14,Bike,55.0,Cloudy
2025-05-14,Scooter,28.0,Cloudy
2025-05-15,Scooter,44.0,Rainy
2025-05-17,Bike,95.0,Sunny
2025-05-17,Scooter,51.0,Sunny
2025-05-18,Bike,168.0,Sunny
