Record_ID,Date,Hour,Location,Weather_Condition,Transportation_Mode,Demand
851,2025-05-14,10,MG Road,Cloudy,Car,176
880,2025-05-14,10,HSR Layout,Sunny,Metro,234
782,2025-05-14,11,Hebbal,Rainy,Car,189
579,2025-05-14,16,Hebbal,Sunny,Bike,200
330,2025-05-14,17,Marathahalli,Rainy,Bike,117
804,2025-05-14,18,HSR Layout,Rainy,Bike,139
964,2025-05-15,1,Jayanagar,Sunny,Car,135
612,2025-05-15,1,HSR Layout,Sunny,Metro,176
976,2025-05-15,2,Koramangala,Foggy,Scooter,140
591,2025-05-15,9,Marathahalli,Cloudy,Scooter,239
621,2025-05-15,18,Electronic City,Foggy,Scooter,159
544,2025-05-15,22,Whitefield,Cloudy,Bike,184
83,2025-05-16,4,Whitefield,Sunny,Bike,219
75,2025-05-16,10,MG Road,Foggy,Metro,255
729,2025-05-17,3,Indiranagar,Foggy,Bike,105
307,2025-05-17,12,Koramangala,Sunny,Scooter,190
639,2025-05-18,1,Marathahalli,Foggy,Bike,123
297,2025-05-18,5,Whitefield,Sunny,Bus,141
107,2025-05-18,9,Marathahalli,Foggy,Bus,272
28,2025-05-18,21,Hebbal,Rainy,Scooter,80
53,2025-05-18,21,Electronic City,Foggy,Scooter,116
477,2025-05-19,11,HSR Layout,Cloudy,Car,151
708,2025-05-19,13,MG Road,Foggy,Bus,203
696,2025-05-19,18,Hebbal,Sunny,Bike,288
949,2025-05-19,23,Hebbal,Sunny,Bike,234
945,2025-05-20,1,Electronic City,Windy,Scooter,161
726,2025-05-20,2,Whitefield,Rainy,Bus,207
759,2025-05-20,6,Electronic City,Cloudy,Bike,204
644,2025-05-21,13,Koramangala,Rainy,Scooter,88
204,2025-05-21,14,HSR Layout,Windy,Metro,186
300,2025-05-22,14,Marathahalli,Rainy,Bike,108
56,2025-05-22,18,Indiranagar,Sunny,Metro,231
374,2025-05-22,23,Yelahanka,Windy,Bike,124
480,2025-05-23,5,Whitefield,Foggy,Scooter,129
760,2025-05-23,10,Whitefield,Windy,Metro,250
797,2025-05-23,15,HSR Layout,Windy,Bus,196
472,2025-05-24,10,Hebbal,Sunny,Metro,224
716,2025-05-24,16,Yelahanka,Foggy,Car,150
824,2025-05-24,18,Jayanagar,Sunny,Metro,259
700,2025-05-25,9,MG Road,Rainy,Car,262
536,2025-05-25,15,Whitefield,Windy,Scooter,143
743,2025-05-26,0,Jayanagar,Rainy,Metro,209
415,2025-05-26,10,Electronic City,Sunny,Bike,288
615,2025-05-26,11,Electronic City,Rainy,Car,210
502,2025-05-26,15,Hebbal,Rainy,Metro,247
376,2025-05-26,18,MG Road,Windy,Metro,267
911,2025-05-27,0,HSR Layout,Windy,Metro,171
967,2025-05-27,18,Jayanagar,Cloudy,Scooter,257
182,2025-05-27,19,Koramangala,Sunny,Bus,200
364,2025-05-28,3,Indiranagar,Foggy,Bike,123
262,2025-05-28,3,Electronic City,Cloudy,Bus,152
46,2025-05-28,14,HSR Layout,Cloudy,Metro,193
569,2025-05-28,18,HSR Layout,Cloudy,Bike,260
657,2025-05-29,13,Hebbal,Cloudy,Bus,172
556,2025-05-29,19,Electronic City,Windy,Scooter,192
8,2025-05-30,9,Yelahanka,Windy,Scooter,225
409,2025-05-31,5,HSR Layout,Rainy,Bus,210
820,2025-05-31,18,Hebbal,Sunny,Metro,237
985,2025-06-01,4,HSR Layout,Rainy,Bus,219
88,2025-06-01,17,Marathahalli,Rainy,Metro,294
571,2025-06-02,10,Indiranagar,Rainy,Car,281
65,2025-06-02,13,Jayanagar,Rainy,Car,171
841,2025-06-03,15,Electronic City,Foggy,Metro,183
876,2025-06-03,17,Hebbal,Foggy,Scooter,191
251,2025-06-03,22,Whitefield,Rainy,Bike,73
292,2025-06-04,5,Marathahalli,Rainy,Bus,208
605,2025-06-04,5,Koramangala,Sunny,Metro,165
386,2025-06-04,17,Jayanagar,Sunny,Bus,219
96,2025-06-04,20,HSR Layout,Sunny,Metro,241
635,2025-06-04,23,Electronic City,Rainy,Car,206
994,2025-06-05,3,MG Road,Rainy,Car,192
126,2025-06-05,6,Koramangala,Foggy,Bike,116
382,2025-06-06,1,MG Road,Cloudy,Bus,151
275,2025-06-06,4,Koramangala,Rainy,Bus,215
757,2025-06-06,4,Indiranagar,Rainy,Scooter,86
316,2025-06-06,12,Koramangala,Cloudy,Metro,165
491,2025-06-06,13,Koramangala,Sunny,Metro,172
583,2025-06-07,16,Koramangala,Foggy,Bus,199
619,2025-06-07,19,MG Road,Sunny,Bike,296
9,2025-06-08,0,Marathahalli,Rainy,Metro,234
87,2025-06-08,1,Electronic City,Foggy,Scooter,120
809,2025-06-08,2,Whitefield,Rainy,Metro,255
59,2025-06-08,3,Hebbal,Sunny,Car,141
373,2025-06-08,8,MG Road,Windy,Bus,243
149,2025-06-08,20,HSR Layout,Windy,Car,229
627,2025-06-09,1,Koramangala,Windy,Bus,173
259,2025-06-09,4,Yelahanka,Rainy,Car,180
80,2025-06-09,6,HSR Layout,Cloudy,Bus,149
314,2025-06-09,16,Jayanagar,Foggy,Bus,193
793,2025-06-09,17,Marathahalli,Sunny,Bus,234
664,2025-06-09,17,Marathahalli,Cloudy,Scooter,241
172,2025-06-10,8,Hebbal,Windy,Car,192
908,2025-06-10,10,HSR Layout,Sunny,Scooter,274
383,2025-06-10,13,Marathahalli,Foggy,Scooter,118
625,2025-06-11,4,Electronic City,Sunny,Bike,200
280,2025-06-11,6,Electronic City,Sunny,Metro,156
60,2025-06-11,14,Marathahalli,Foggy,Car,147
61,2025-06-11,19,Marathahalli,Cloudy,Car,200
965,2025-06-12,18,Yelahanka,Windy,Bike,167
869,2025-06-13,0,HSR Layout,Rainy,Bike,67
898,2025-06-13,3,Jayanagar,Windy,Bus,179
541,2025-06-13,9,Koramangala,Sunny,Metro,247
353,2025-06-13,10,Hebbal,Sunny,Bike,270
521,2025-06-14,4,Hebbal,Sunny,Bus,171
225,2025-06-14,9,Hebbal,Sunny,Bike,262
753,2025-06-15,8,Jayanagar,Foggy,Bus,232
359,2025-06-16,8,Koramangala,Cloudy,Bike,242
129,2025-06-16,15,Indiranagar,Rainy,Metro,228
435,2025-06-17,5,Marathahalli,Foggy,Metro,200
722,2025-06-17,6,Yelahanka,Foggy,Bike,100
145,2025-06-18,0,Koramangala,Cloudy,Car,132
501,2025-06-18,9,Electronic City,Foggy,Scooter,207
494,2025-06-18,14,Electronic City,Cloudy,Scooter,163
428,2025-06-19,7,Whitefield,Sunny,Metro,222
673,2025-06-20,6,Jayanagar,Foggy,Metro,217
535,2025-06-21,8,Hebbal,Windy,Metro,244
