DemographicID,Date,City,Ward,Area_sq_km,Population,Young_Population_Rate,Adult_Population_Rate,Older_Population_Rate,Literacy_Rate,Gender_Ratio,Median_Age,Households,Employment_Rate,PINCode,Population_Density
26,2025-01-26,Bengaluru,Dasarahalli,9.0,94503,27.8,65.7,6.5,88.7,940,32,10693,80.8,560076,10500.33
27,2025-01-27,Bengaluru,Shivajinagar,12.51,77929,22.1,67.2,10.7,84.0,968,26,4305,73.6,560034,6229.34
28,2025-01-28,Bengaluru,RR Nagar,4.55,63745,19.2,72.2,8.6,94.7,976,31,16108,67.7,560102,14009.89
29,2025-01-29,Bengaluru,CV Raman Nagar,17.75,103717,32.2,53.4,14.4,88.0,962,41,13810,89.7,560034,5843.21
30,2025-01-30,Bengaluru,Dasarahalli,16.29,115310,34.0,58.4,7.6,88.5,937,33,23819,65.2,560076,7078.58
31,2025-01-31,Bengaluru,RR Nagar,10.33,50914,21.5,64.9,13.6,95.2,974,25,7024,79.6,560066,4928.75
32,2025-02-01,Bengaluru,Mahadevapura,12.38,52335,18.7,71.3,10.0,81.1,948,41,27123,72.5,560001,4227.38
33,2025-02-02,Bengaluru,Hebbal,16.51,89511,19.9,62.8,17.3,78.7,943,41,8852,72.6,560001,5421.62
34,2025-02-03,Bengaluru,Yelahanka,16.43,45535,23.2,60.0,16.8,91.0,962,27,15589,84.5,560078,2771.45
35,2025-02-04,Bengaluru,Bommanahalli,15.9,41206,34.6,50.4,15.0,94.7,921,29,28135,89.4,560078,2591.57
36,2025-02-05,Bengaluru,Bommanahalli,6.64,109917,31.6,52.0,16.4,80.1,975,25,19423,65.6,560102,16553.77
37,2025-02-06,Bengaluru,Bommanahalli,5.96,104511,23.9,60.3,15.8,81.7,941,32,6274,90.9,560066,17535.4
38,2025-02-07,Bengaluru,Shivajinagar,17.71,88282,24.0,63.9,12.1,84.3,921,27,12559,64.1,560066,4984.87
39,2025-02-08,Bengaluru,South,13.79,59114,18.7,68.1,13.2,86.3,952,27,16622,88.6,560048,4286.73
40,2025-02-09,Bengaluru,Yelahanka,10.56,88575,22.3,63.2,14.5,91.1,980,30,15934,72.7,560076,8387.78
41,2025-02-10,Bengaluru,Dasarahalli,13.66,57363,28.6,57.4,14.0,87.6,962,37,14688,71.7,560066,4199.34
42,2025-02-11,Bengaluru,Shivajinagar,17.08,106777,27.4,64.3,8.3,92.2,931,33,17306,76.6,560001,6251.58
43,2025-02-12,Bengaluru,CV Raman Nagar,11.9,60237,23.2,68.3,8.5,86.8,948,30,20750,74.1,560037,5061.93
44,2025-02-13,Bengaluru,Shivajinagar,12.31,61933,29.2,61.4,9.4,79.8,980,31,26046,68.6,560048,5031.11
45,2025-02-14,Bengaluru,West,11.97,118727,20.5,72.9,6.6,79.4,946,30,27538,81.7,560102,9918.71
46,2025-02-15,Bengaluru,Hebbal,2.59,116430,24.8,67.4,7.8,94.3,976,27,29507,72.5,560037,44953.67
47,2025-02-16,Bengaluru,West,3.28,50662,31.7,53.9,14.4,95.4,927,38,8369,85.2,560076,15445.73
48,2025-02-17,Bengaluru,CV Raman Nagar,15.13,84162,34.2,49.1,16.7,86.1,978,41,18611,88.5,560102,5562.59
49,2025-02-18,Bengaluru,Shivajinagar,6.8,119931,25.7,59.3,15.0,87.9,960,31,12998,73.0,560066,17636.91
50,2025-02-19,Bengaluru,North,3.75,37769,22.0,68.0,10.0,82.4,964,28,27147,65.3,560078,10071.73
51,2025-02-20,Bengaluru,East,3.47,73069,24.9,62.6,12.5,85.4,969,24,29087,77.6,560102,21057.35
52,2025-02-21,Bengaluru,East,15.73,72921,18.1,71.7,10.2,88.2,967,41,23767,88.5,560102,4635.79
53,2025-02-22,Bengaluru,Yelahanka,8.53,105670,21.7,67.1,11.2,90.9,945,29,19315,89.3,560001,12388.04
54,2025-02-23,Bengaluru,Shivajinagar,2.92,102246,33.4,53.5,13.1,86.1,975,38,9954,59.7,560078,35015.75
55,2025-02-24,Bengaluru,South,14.3,67692,23.6,64.9,11.5,83.3,980,37,12266,86.4,560102,4733.71
56,2025-02-25,Bengaluru,South,5.98,26993,18.3,69.2,12.5,92.8,961,25,28714,59.1,560048,4513.88
57,2025-02-26,Bengaluru,Mahadevapura,6.2,80070,21.4,72.4,6.2,90.7,956,30,19238,81.8,560076,12914.52
58,2025-02-27,Bengaluru,Hebbal,13.63,119946,20.9,65.8,13.3,93.6,939,27,22962,58.9,560066,8800.15
59,2025-02-28,Bengaluru,East,8.65,111718,27.8,55.3,16.9,81.8,957,31,7339,81.7,560066,12915.38
60,2025-03-01,Bengaluru,Dasarahalli,14.84,92177,32.5,54.3,13.2,92.9,942,41,18037,80.5,560034,6211.39
61,2025-03-02,Bengaluru,East,15.25,31833,26.6,63.3,10.1,86.2,943,38,27177,63.2,560037,2087.41
62,2025-03-03,Bengaluru,RR Nagar,12.05,88539,30.5,51.9,17.6,92.7,949,37,27954,78.1,560076,7347.63
63,2025-03-04,Bengaluru,Dasarahalli,6.82,77087,32.5,51.5,16.0,82.6,949,36,15023,59.0,560076,11303.08
64,2025-03-05,Bengaluru,RR Nagar,7.78,96139,21.1,70.4,8.5,91.3,937,41,4332,75.6,560048,12357.2
65,2025-03-06,Bengaluru,West,11.11,49499,19.5,65.9,14.6,91.1,961,39,18685,85.0,560034,4455.36
66,2025-03-07,Bengaluru,Bommanahalli,7.25,94225,23.0,66.1,10.9,85.0,955,40,15264,72.5,560076,12996.55
67,2025-03-08,Bengaluru,RR Nagar,6.4,33814,24.0,64.6,11.4,91.7,940,27,28342,76.2,560037,5283.44
68,2025-03-09,Bengaluru,RR Nagar,13.73,117641,21.3,63.8,14.9,88.0,938,27,10360,68.1,560076,8568.17
69,2025-03-10,Bengaluru,North,4.46,23965,21.1,72.7,6.2,96.5,955,33,26852,90.1,560102,5373.32
70,2025-03-11,Bengaluru,RR Nagar,9.78,75733,19.7,74.2,6.1,84.5,923,32,19654,61.9,560034,7743.66
71,2025-03-12,Bengaluru,Shivajinagar,13.14,37887,24.8,68.3,6.9,80.8,956,33,6791,91.8,560034,2883.33
72,2025-03-13,Bengaluru,CV Raman Nagar,14.76,47581,27.5,61.5,11.0,92.7,944,38,18507,68.1,560078,3223.64
73,2025-03-14,Bengaluru,CV Raman Nagar,17.38,31006,23.2,63.3,13.5,96.0,933,30,12671,80.5,560037,1784.0
74,2025-03-15,Bengaluru,Mahadevapura,2.54,77048,22.1,65.3,12.6,91.1,950,33,5069,65.9,560066,30333.86
75,2025-03-16,Bengaluru,Shivajinagar,6.12,52675,30.0,58.6,11.4,93.0,960,30,17930,61.9,560048,8607.03
76,2025-03-17,Bengaluru,Mahadevapura,3.61,39747,29.0,54.1,16.9,93.1,958,33,18390,62.2,560066,11010.25
77,2025-03-18,Bengaluru,North,10.87,75377,29.9,52.8,17.3,79.5,922,37,28069,69.0,560066,6934.41
78,2025-03-19,Bengaluru,Shivajinagar,15.46,93392,18.4,72.9,8.7,89.2,921,32,22882,59.4,560037,6040.88
79,2025-03-20,Bengaluru,RR Nagar,5.31,94720,26.0,60.2,13.8,86.3,972,39,6989,74.0,560078,17838.04
80,2025-03-21,Bengaluru,Mahadevapura,7.61,108921,23.7,62.3,14.0,87.4,962,36,28920,76.7,560102,14312.88
81,2025-03-22,Bengaluru,Dasarahalli,17.54,70976,19.5,71.5,9.0,94.4,972,24,25550,87.6,560102,4046.52
82,2025-03-23,Bengaluru,South,12.15,83338,25.0,66.7,8.3,89.9,968,25,10670,67.1,560037,6859.09
83,2025-03-24,Bengaluru,Hebbal,10.01,21783,33.8,54.9,11.3,96.5,958,31,27258,63.4,560001,2176.12
84,2025-03-25,Bengaluru,Dasarahalli,9.65,33396,27.4,65.5,7.1,90.3,929,39,27481,67.9,560066,3460.73
85,2025-03-26,Bengaluru,West,6.28,90255,25.1,63.1,11.8,80.7,932,40,28454,87.9,560034,14371.82
86,2025-03-27,Bengaluru,East,7.77,84550,22.7,61.8,15.5,83.1,920,33,27791,68.2,560102,10881.6
87,2025-03-28,Bengaluru,West,7.85,90340,32.7,55.9,11.4,92.5,944,38,14544,87.6,560048,11508.28
88,2025-03-29,Bengaluru,East,3.18,115609,27.7,63.5,8.8,87.0,978,36,16651,91.6,560037,36355.03
89,2025-03-30,Bengaluru,North,17.46,61515,26.4,67.2,6.4,94.5,975,38,7267,75.9,560102,3523.2
90,2025-03-31,Bengaluru,Shivajinagar,17.53,27807,18.3,74.0,7.7,86.9,936,34,24422,81.6,560034,1586.25
91,2025-04-01,Bengaluru,North,8.39,59505,32.5,51.3,16.2,89.9,976,39,21728,59.2,560034,7092.37
92,2025-04-02,Bengaluru,RR Nagar,17.96,115880,22.0,63.8,14.2,79.7,926,27,18538,63.7,560066,6452.12
93,2025-04-03,Bengaluru,Yelahanka,7.05,67131,33.4,60.0,6.6,86.2,935,40,17502,77.2,560037,9522.13
94,2025-04-04,Bengaluru,East,12.11,49566,20.9,72.2,6.9,87.5,957,28,11608,73.7,560066,4092.98
95,2025-04-05,Bengaluru,West,16.47,106815,25.8,60.2,14.0,88.4,924,38,15323,91.6,560066,6485.43
96,2025-04-06,Bengaluru,RR Nagar,9.58,57599,28.9,60.0,11.1,81.8,944,39,7494,66.1,560076,6012.42
97,2025-04-07,Bengaluru,RR Nagar,2.84,104275,27.8,54.3,17.9,85.5,920,25,23870,83.3,560066,36716.55
98,2025-04-08,Bengaluru,South,5.89,42920,31.2,60.0,8.8,89.8,963,28,24586,61.3,560001,7286.93
99,2025-04-09,Bengaluru,CV Raman Nagar,8.16,35224,23.3,65.4,11.3,79.7,938,34,28493,72.1,560048,4316.67
100,2025-04-10,Bengaluru,South,10.73,53720,20.2,67.3,12.5,93.8,936,39,13671,83.4,560076,5006.52
101,2025-04-11,Bengaluru,Dasarahalli,4.68,47571,31.7,56.7,11.6,94.3,966,36,22262,70.4,560078,10164.74
102,2025-04-12,Bengaluru,West,8.21,116174,18.2,69.4,12.4,90.8,957,36,24923,90.0,560034,14150.3
103,2025-04-13,Bengaluru,CV Raman Nagar,16.21,91584,29.5,58.8,11.7,84.2,959,31,25222,60.1,560102,5649.85
104,2025-04-14,Bengaluru,East,4.31,23943,33.5,56.9,9.6,96.0,939,39,7805,61.3,560037,5555.22
105,2025-04-15,Bengaluru,Hebbal,13.3,88804,24.6,64.9,10.5,86.0,967,28,17594,80.3,560102,6676.99
106,2025-04-16,Bengaluru,RR Nagar,3.01,66566,28.5,54.2,17.3,82.1,948,31,15884,61.4,560076,22114.95
107,2025-04-17,Bengaluru,South,3.44,54160,27.3,55.0,17.7,81.6,927,38,7003,80.5,560001,15744.19
108,2025-04-18,Bengaluru,Mahadevapura,14.7,44896,18.9,71.1,10.0,79.3,968,41,10788,77.9,560048,3054.15
109,2025-04-19,Bengaluru,CV Raman Nagar,2.54,36964,23.6,68.6,7.8,96.8,954,32,9717,61.7,560001,14552.76
110,2025-04-20,Bengaluru,Bommanahalli,11.63,20068,20.2,69.5,10.3,81.3,923,28,28304,72.3,560034,1725.54
111,2025-04-21,Bengaluru,South,10.46,32293,30.7,57.6,11.7,86.6,934,25,27830,84.6,560066,3087.28
112,2025-04-22,Bengaluru,Yelahanka,17.98,70640,25.8,56.6,17.6,86.1,926,39,27343,88.9,560034,3928.81
113,2025-04-23,Bengaluru,Mahadevapura,3.52,54046,33.3,56.8,9.9,89.9,957,41,27335,69.1,560066,15353.98
114,2025-04-24,Bengaluru,Dasarahalli,14.79,32996,25.7,61.0,13.3,94.2,961,41,27620,87.4,560078,2230.97
115,2025-04-25,Bengaluru,South,15.32,70262,25.7,65.6,8.7,85.9,926,34,17984,68.6,560066,4586.29
116,2025-04-26,Bengaluru,West,3.54,29188,24.4,67.8,7.8,79.8,926,35,8263,76.9,560076,8245.2
117,2025-04-27,Bengaluru,Shivajinagar,17.09,73435,29.4,59.7,10.9,94.5,966,25,13425,78.4,560076,4296.96
118,2025-04-28,Bengaluru,Mahadevapura,12.68,47392,19.8,68.1,12.1,94.1,942,41,16044,61.9,560066,3737.54
119,2025-04-29,Bengaluru,North,17.61,99490,27.8,56.5,15.7,89.7,961,41,4860,78.7,560066,5649.63
120,2025-04-30,Bengaluru,RR Nagar,16.78,64009,18.5,72.2,9.3,78.1,975,28,22557,80.3,560034,3814.6
