Date,City,State,Temperature_Max (°C),Temperature_Min (°C),Temperature_Avg (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,AQI_Category,Pressure (hPa),Cloud_Cover (%)
3/12/2024,Bengaluru,Karnataka,43.1,36.9,40.0,64.7,0.0,3.6,332,Very Poor,999.7,35.8
3/13/2024,Bengaluru,Karnataka,43.9,36.5,40.2,38.6,72.7,21.8,171,Moderate,993.9,95.0
3/14/2024,Bengaluru,Karnataka,29.9,19.6,24.8,61.4,0.0,6.9,217,Poor,1015.8,23.0
3/15/2024,Bengaluru,Karnataka,28.9,17.0,23.0,55.4,0.0,4.3,246,Poor,1000.8,68.1
3/16/2024,Bengaluru,Karnataka,32.4,22.3,27.4,66.4,7.3,15.5,120,Moderate,1009.2,65.8
3/17/2024,Bengaluru,Karnataka,42.2,31.6,36.9,40.2,6.9,22.5,272,Poor,1005.4,90.6
3/18/2024,Bengaluru,Karnataka,36.1,21.8,28.9,30.3,0.0,4.2,208,Poor,1004.9,93.7
3/19/2024,Bengaluru,Karnataka,32.1,23.3,27.7,56.8,41.6,23.7,69,Satisfactory,1001.8,58.3
3/20/2024,Bengaluru,Karnataka,38.0,25.8,31.9,41.6,0.0,21.6,92,Satisfactory,1020.2,78.4
3/21/2024,Bengaluru,Karnataka,35.0,21.5,28.2,82.1,0.0,21.0,289,Poor,998.0,54.8
3/22/2024,Bengaluru,Karnataka,30.8,19.5,25.2,37.7,0.0,4.9,112,Moderate,1022.7,87.4
3/23/2024,Bengaluru,Karnataka,42.4,35.5,39.0,36.3,0.0,10.3,202,Poor,994.4,61.0
3/24/2024,Bengaluru,Karnataka,27.6,15.7,21.6,43.4,4.5,4.9,184,Moderate,1021.6,87.1
3/25/2024,Bengaluru,Karnataka,36.4,28.9,32.7,44.8,0.0,4.7,80,Satisfactory,1024.5,34.3
3/26/2024,Bengaluru,Karnataka,34.0,24.8,29.4,40.2,0.0,12.2,236,Poor,1017.3,69.6
3/27/2024,Bengaluru,Karnataka,44.9,38.1,41.5,62.7,8.5,8.4,252,Poor,1020.2,31.9
3/28/2024,Bengaluru,Karnataka,31.3,18.7,25.0,44.3,3.9,11.3,128,Moderate,997.5,38.8
3/29/2024,Bengaluru,Karnataka,26.7,11.7,19.2,38.3,0.0,17.0,121,Moderate,1001.5,42.2
3/30/2024,Bengaluru,Karnataka,35.5,30.2,32.9,70.0,0.0,15.7,343,Very Poor,995.7,16.7
3/31/2024,Bengaluru,Karnataka,30.5,16.7,23.6,61.5,0.0,15.0,171,Moderate,994.0,99.7
4/1/2024,Bengaluru,Karnataka,42.8,33.1,37.9,72.7,37.5,11.6,334,Very Poor,1011.0,72.4
4/2/2024,Bengaluru,Karnataka,26.9,16.0,21.4,64.6,73.0,11.3,268,Poor,1021.2,41.5
4/3/2024,Bengaluru,Karnataka,29.2,15.3,22.3,70.1,22.8,19.4,290,Poor,997.3,37.1
4/4/2024,Bengaluru,Karnataka,43.5,33.0,38.2,67.9,4.1,8.6,296,Poor,1019.5,46.1
4/5/2024,Bengaluru,Karnataka,31.4,20.3,25.9,91.0,0.0,22.5,334,Very Poor,993.3,98.9
4/6/2024,Bengaluru,Karnataka,33.8,28.1,31.0,55.3,0.0,15.7,159,Moderate,1020.5,9.5
4/7/2024,Bengaluru,Karnataka,40.4,30.8,35.6,76.4,19.7,20.9,78,Satisfactory,997.2,22.7
4/8/2024,Bengaluru,Karnataka,37.7,25.2,31.5,74.1,2.1,12.9,244,Poor,1008.8,78.3
4/9/2024,Bengaluru,Karnataka,30.6,16.9,23.7,69.3,0.0,12.2,316,Very Poor,1025.0,84.3
4/10/2024,Bengaluru,Karnataka,28.5,23.3,25.9,89.1,0.0,23.0,248,Poor,1021.2,67.1
4/11/2024,Bengaluru,Karnataka,25.4,17.9,21.7,87.9,7.2,13.3,251,Poor,1019.6,62.1
4/12/2024,Bengaluru,Karnataka,38.6,26.3,32.5,92.7,0.0,18.3,121,Moderate,1017.7,23.4
4/13/2024,Bengaluru,Karnataka,36.1,28.5,32.3,92.1,0.0,11.5,310,Very Poor,998.1,51.7
4/14/2024,Bengaluru,Karnataka,28.7,19.3,24.0,69.1,3.3,9.4,299,Poor,1019.4,14.8
4/15/2024,Bengaluru,Karnataka,35.7,23.9,29.8,86.8,4.4,15.4,49,Good,992.5,89.8
4/16/2024,Bengaluru,Karnataka,32.2,24.2,28.2,70.0,9.0,21.3,202,Poor,1008.4,24.8
4/17/2024,Bengaluru,Karnataka,38.6,31.3,34.9,63.1,0.0,10.6,236,Poor,1006.0,21.8
4/18/2024,Bengaluru,Karnataka,34.9,29.3,32.1,92.1,0.0,2.6,202,Poor,1022.4,85.9
4/19/2024,Bengaluru,Karnataka,39.3,28.4,33.9,51.1,0.0,21.2,310,Very Poor,1004.7,59.8
4/20/2024,Bengaluru,Karnataka,39.1,33.6,36.3,88.9,0.0,5.4,44,Good,1006.4,84.0
4/21/2024,Bengaluru,Karnataka,39.9,32.9,36.4,54.1,6.4,21.2,303,Very Poor,1004.0,47.6
4/22/2024,Bengaluru,Karnataka,26.3,17.3,21.8,79.7,0.0,18.2,176,Moderate,1023.0,30.4
4/23/2024,Bengaluru,Karnataka,37.1,26.3,31.7,45.1,0.0,12.2,48,Good,994.0,84.5
4/24/2024,Bengaluru,Karnataka,39.1,31.5,35.3,91.2,0.0,4.3,187,Moderate,1013.6,5.7
4/25/2024,Bengaluru,Karnataka,38.7,33.5,36.1,44.1,0.8,4.5,253,Poor,1019.3,57.8
4/26/2024,Bengaluru,Karnataka,36.0,28.3,32.2,34.2,0.0,19.5,169,Moderate,1007.0,37.6
4/27/2024,Bengaluru,Karnataka,27.4,13.8,20.6,62.1,0.0,6.4,72,Satisfactory,1016.1,17.1
4/28/2024,Bengaluru,Karnataka,43.4,31.9,37.7,58.4,0.0,9.8,53,Satisfactory,1022.8,20.7
4/29/2024,Bengaluru,Karnataka,41.5,34.2,37.8,36.4,30.7,2.1,114,Moderate,990.7,49.3
4/30/2024,Bengaluru,Karnataka,33.0,22.2,27.6,85.6,0.0,19.2,135,Moderate,1009.8,47.5
5/1/2024,Bengaluru,Karnataka,32.0,22.4,27.2,68.7,32.9,8.2,183,Moderate,1024.6,68.7
5/2/2024,Bengaluru,Karnataka,26.5,20.8,23.6,42.7,0.0,9.7,124,Moderate,992.9,57.3
5/3/2024,Bengaluru,Karnataka,33.6,18.9,26.3,39.1,5.9,20.0,100,Satisfactory,993.9,91.6
5/4/2024,Bengaluru,Karnataka,44.6,35.2,39.9,39.8,4.7,12.6,240,Poor,1010.8,30.4
5/5/2024,Bengaluru,Karnataka,26.1,12.7,19.4,72.1,0.0,2.3,98,Satisfactory,990.0,63.5
5/6/2024,Bengaluru,Karnataka,39.7,26.1,32.9,91.1,0.0,10.3,268,Poor,1022.0,59.6
5/7/2024,Bengaluru,Karnataka,36.2,30.4,33.3,88.7,58.9,20.7,134,Moderate,1019.0,59.1
5/8/2024,Bengaluru,Karnataka,27.9,17.4,22.7,39.4,0.0,19.6,74,Satisfactory,990.8,40.7
5/9/2024,Bengaluru,Karnataka,42.4,35.3,38.9,57.7,0.0,12.1,288,Poor,1008.2,65.0
5/10/2024,Bengaluru,Karnataka,36.6,23.0,29.8,92.0,0.0,2.9,118,Moderate,997.0,22.7
5/11/2024,Bengaluru,Karnataka,38.1,32.7,35.4,34.3,0.0,5.9,102,Moderate,1009.8,71.8
5/12/2024,Bengaluru,Karnataka,33.5,18.7,26.1,81.0,0.0,11.5,123,Moderate,1015.1,15.4
5/13/2024,Bengaluru,Karnataka,38.6,30.2,34.4,67.1,0.0,13.3,337,Very Poor,1000.4,36.0
5/14/2024,Bengaluru,Karnataka,43.7,36.5,40.1,84.4,6.9,10.0,141,Moderate,1017.1,29.9
5/15/2024,Bengaluru,Karnataka,33.2,25.8,29.5,38.4,49.1,21.1,65,Satisfactory,999.9,57.0
5/16/2024,Bengaluru,Karnataka,34.7,26.7,30.7,84.9,0.0,13.4,349,Very Poor,991.4,89.8
5/17/2024,Bengaluru,Karnataka,34.3,21.8,28.1,44.4,76.3,24.8,105,Moderate,1018.3,22.9
5/18/2024,Bengaluru,Karnataka,28.5,21.0,24.8,93.3,0.0,13.3,185,Moderate,992.6,8.3
5/19/2024,Bengaluru,Karnataka,28.5,23.0,25.7,46.0,0.0,2.9,223,Poor,991.3,84.0
5/20/2024,Bengaluru,Karnataka,41.4,33.6,37.5,52.8,0.0,17.1,70,Satisfactory,990.5,11.1
5/21/2024,Bengaluru,Karnataka,38.2,29.5,33.9,72.0,3.6,17.9,126,Moderate,994.0,67.4
5/22/2024,Bengaluru,Karnataka,39.0,24.2,31.6,58.7,0.0,13.9,70,Satisfactory,990.3,5.2
5/23/2024,Bengaluru,Karnataka,28.0,22.7,25.4,70.8,79.1,11.4,87,Satisfactory,1003.0,33.2
5/24/2024,Bengaluru,Karnataka,44.0,33.6,38.8,73.7,1.1,18.3,67,Satisfactory,991.4,56.9
5/25/2024,Bengaluru,Karnataka,40.7,26.3,33.5,87.0,0.0,11.2,180,Moderate,1002.6,83.5
5/26/2024,Bengaluru,Karnataka,42.8,34.3,38.6,54.0,0.0,9.7,77,Satisfactory,999.7,67.3
5/27/2024,Bengaluru,Karnataka,37.3,31.3,34.3,53.0,74.1,15.3,329,Very Poor,1008.2,93.4
5/28/2024,Bengaluru,Karnataka,31.7,26.7,29.2,50.0,0.0,13.7,289,Poor,1014.2,64.9
5/29/2024,Bengaluru,Karnataka,39.8,25.7,32.7,89.9,0.0,23.5,174,Moderate,1006.0,17.1
5/30/2024,Bengaluru,Karnataka,30.4,17.1,23.8,35.4,17.0,9.0,153,Moderate,1012.9,51.3
5/31/2024,Bengaluru,Karnataka,36.4,31.0,33.7,63.4,0.0,16.7,146,Moderate,1006.4,86.5
6/1/2024,Bengaluru,Karnataka,42.3,27.9,35.1,94.5,0.0,5.4,316,Very Poor,1002.2,83.8
6/2/2024,Bengaluru,Karnataka,40.7,28.2,34.4,33.3,0.0,16.8,191,Moderate,995.9,97.7
6/3/2024,Bengaluru,Karnataka,31.4,19.6,25.5,44.0,0.0,16.1,128,Moderate,992.4,87.1
6/4/2024,Bengaluru,Karnataka,25.1,10.2,17.7,53.7,0.0,20.3,199,Moderate,1014.8,55.1
6/5/2024,Bengaluru,Karnataka,33.6,20.1,26.8,82.4,0.0,16.0,73,Satisfactory,1020.7,89.0
6/6/2024,Bengaluru,Karnataka,33.0,27.3,30.2,79.9,0.0,13.0,107,Moderate,1015.3,42.4
6/7/2024,Bengaluru,Karnataka,26.4,12.7,19.5,81.5,0.0,8.8,62,Satisfactory,1009.6,29.5
6/8/2024,Bengaluru,Karnataka,42.8,28.5,35.7,45.5,11.0,5.6,154,Moderate,1020.2,36.3
6/9/2024,Bengaluru,Karnataka,34.8,22.8,28.8,37.2,0.0,18.2,311,Very Poor,1016.1,29.1
6/10/2024,Bengaluru,Karnataka,41.6,29.8,35.7,45.4,0.0,22.4,176,Moderate,1003.3,91.3
6/11/2024,Bengaluru,Karnataka,42.2,33.6,37.9,51.1,13.2,5.3,295,Poor,1021.6,12.9
6/12/2024,Bengaluru,Karnataka,42.7,28.6,35.6,92.3,0.0,6.5,330,Very Poor,990.2,72.2
6/13/2024,Bengaluru,Karnataka,38.4,30.8,34.6,45.9,7.2,8.2,225,Poor,1011.0,47.2
6/14/2024,Bengaluru,Karnataka,28.6,15.7,22.1,84.3,5.5,12.1,337,Very Poor,1013.8,15.3
6/15/2024,Bengaluru,Karnataka,36.6,23.5,30.0,57.5,0.0,13.3,124,Moderate,1015.7,58.8
6/16/2024,Bengaluru,Karnataka,31.3,22.5,26.9,70.3,7.6,2.7,205,Poor,991.7,80.0
6/17/2024,Bengaluru,Karnataka,29.1,18.9,24.0,43.3,0.0,15.5,210,Poor,991.1,15.1
6/18/2024,Bengaluru,Karnataka,38.2,31.6,34.9,77.7,39.8,5.8,286,Poor,999.4,11.0
6/19/2024,Bengaluru,Karnataka,30.7,22.7,26.7,60.5,0.0,21.6,140,Moderate,1018.1,67.8
6/20/2024,Bengaluru,Karnataka,29.4,19.2,24.3,41.0,0.0,5.4,290,Poor,1001.4,44.0
6/21/2024,Bengaluru,Karnataka,25.6,15.2,20.4,90.0,0.0,15.1,68,Satisfactory,1017.9,54.9
6/22/2024,Bengaluru,Karnataka,32.7,27.7,30.2,69.9,0.4,14.6,123,Moderate,999.4,79.7
6/23/2024,Bengaluru,Karnataka,43.4,36.7,40.0,49.2,0.0,5.4,126,Moderate,990.9,99.0
6/24/2024,Bengaluru,Karnataka,36.2,25.3,30.7,56.6,0.0,18.6,197,Moderate,1021.6,89.0
6/25/2024,Bengaluru,Karnataka,25.7,14.6,20.1,91.7,0.0,16.8,310,Very Poor,1009.4,65.2
6/26/2024,Bengaluru,Karnataka,43.0,34.9,39.0,42.1,61.9,5.8,230,Poor,995.0,56.4
6/27/2024,Bengaluru,Karnataka,41.3,34.0,37.7,74.0,4.4,7.0,242,Poor,996.2,39.0
6/28/2024,Bengaluru,Karnataka,26.1,11.7,18.9,66.4,6.6,5.8,304,Very Poor,991.7,42.6
6/29/2024,Bengaluru,Karnataka,34.5,26.8,30.7,76.5,58.4,12.4,260,Poor,1017.0,85.1
6/30/2024,Bengaluru,Karnataka,42.4,27.7,35.1,79.6,0.0,17.8,264,Poor,1024.8,49.4
7/1/2024,Bengaluru,Karnataka,32.4,20.6,26.5,84.1,0.0,18.9,110,Moderate,1017.1,79.5
7/2/2024,Bengaluru,Karnataka,29.7,17.8,23.8,80.7,0.0,15.8,250,Poor,996.0,14.9
7/3/2024,Bengaluru,Karnataka,36.4,30.6,33.5,68.8,0.0,15.8,81,Satisfactory,1003.1,40.6
7/4/2024,Bengaluru,Karnataka,26.4,18.1,22.3,59.9,31.9,7.3,248,Poor,996.7,54.3
7/5/2024,Bengaluru,Karnataka,37.2,25.9,31.5,58.5,4.9,4.5,265,Poor,997.4,97.7
7/6/2024,Bengaluru,Karnataka,43.5,30.5,37.0,93.8,0.0,2.7,196,Moderate,993.3,25.8
7/7/2024,Bengaluru,Karnataka,44.1,36.3,40.2,58.9,9.0,18.2,239,Poor,1019.0,88.4
7/8/2024,Bengaluru,Karnataka,34.1,28.5,31.3,74.4,0.0,19.0,231,Poor,1007.3,7.7
7/9/2024,Bengaluru,Karnataka,27.1,13.1,20.1,68.1,9.4,6.7,40,Good,1011.6,17.3
7/10/2024,Bengaluru,Karnataka,28.1,22.7,25.4,46.0,0.0,23.4,131,Moderate,1005.6,98.4
7/11/2024,Bengaluru,Karnataka,29.1,14.2,21.7,79.0,0.0,13.6,267,Poor,1007.3,21.6
7/12/2024,Bengaluru,Karnataka,34.5,19.9,27.2,55.7,25.7,2.3,128,Moderate,1009.1,12.2
7/13/2024,Bengaluru,Karnataka,43.5,33.1,38.3,87.0,0.0,2.2,247,Poor,1005.5,40.1
7/14/2024,Bengaluru,Karnataka,42.9,31.0,37.0,56.9,3.7,16.0,211,Poor,1000.2,92.9
7/15/2024,Bengaluru,Karnataka,40.5,30.3,35.4,48.5,0.0,6.2,242,Poor,1013.6,70.2
7/16/2024,Bengaluru,Karnataka,35.8,28.0,31.9,62.1,4.4,4.9,246,Poor,991.9,77.9
7/17/2024,Bengaluru,Karnataka,35.0,26.0,30.5,91.0,5.2,8.0,250,Poor,1001.4,93.5
7/18/2024,Bengaluru,Karnataka,31.8,23.2,27.5,67.7,0.0,23.9,334,Very Poor,999.2,91.3
7/19/2024,Bengaluru,Karnataka,31.6,23.4,27.5,51.2,0.0,5.4,73,Satisfactory,990.8,25.8
7/20/2024,Bengaluru,Karnataka,38.9,24.4,31.7,92.6,0.0,18.0,247,Poor,992.5,32.0
7/21/2024,Bengaluru,Karnataka,29.8,16.2,23.0,70.4,0.0,7.2,347,Very Poor,992.5,55.9
7/22/2024,Bengaluru,Karnataka,37.2,27.2,32.2,54.8,0.0,4.8,228,Poor,1016.6,61.6
7/23/2024,Bengaluru,Karnataka,33.1,20.0,26.6,68.7,0.0,13.8,42,Good,991.5,11.6
7/24/2024,Bengaluru,Karnataka,30.8,18.1,24.5,38.6,0.0,24.5,193,Moderate,1024.5,94.0
7/25/2024,Bengaluru,Karnataka,35.0,21.1,28.1,69.3,0.0,23.4,332,Very Poor,1023.2,95.2
7/26/2024,Bengaluru,Karnataka,41.8,33.4,37.6,92.2,12.7,19.3,195,Moderate,998.1,98.6
7/27/2024,Bengaluru,Karnataka,43.5,38.0,40.7,86.3,0.0,24.2,347,Very Poor,999.9,60.9
7/28/2024,Bengaluru,Karnataka,43.8,31.9,37.9,45.4,74.5,11.3,128,Moderate,991.3,9.6
7/29/2024,Bengaluru,Karnataka,31.8,19.7,25.8,64.1,2.3,11.1,253,Poor,1010.6,29.5
7/30/2024,Bengaluru,Karnataka,33.2,25.9,29.6,63.4,8.0,9.8,268,Poor,1017.8,25.2
7/31/2024,Bengaluru,Karnataka,31.0,18.5,24.8,85.3,27.5,12.4,240,Poor,994.5,15.4
8/1/2024,Bengaluru,Karnataka,27.7,19.6,23.6,53.3,0.0,24.3,320,Very Poor,1021.6,53.6
8/2/2024,Bengaluru,Karnataka,40.8,33.8,37.3,61.5,6.1,8.9,167,Moderate,997.4,58.0
8/3/2024,Bengaluru,Karnataka,25.6,10.9,18.2,42.9,0.0,15.9,287,Poor,1019.8,9.6
8/4/2024,Bengaluru,Karnataka,26.9,20.0,23.4,85.0,0.0,21.1,322,Very Poor,1020.4,54.7
8/5/2024,Bengaluru,Karnataka,35.9,27.6,31.7,41.4,0.0,16.8,54,Satisfactory,1021.8,72.2
8/6/2024,Bengaluru,Karnataka,25.1,12.1,18.6,53.0,0.0,14.0,116,Moderate,1013.1,76.2
8/7/2024,Bengaluru,Karnataka,28.0,15.0,21.5,59.9,0.0,3.1,127,Moderate,1021.6,50.9
8/8/2024,Bengaluru,Karnataka,39.9,30.7,35.3,61.6,0.0,14.0,340,Very Poor,1008.5,80.7
8/9/2024,Bengaluru,Karnataka,41.7,36.6,39.2,92.0,0.0,7.3,163,Moderate,1023.7,52.6
8/10/2024,Bengaluru,Karnataka,30.1,17.6,23.8,33.6,6.3,21.9,76,Satisfactory,1002.8,54.9
8/11/2024,Bengaluru,Karnataka,34.4,19.6,27.0,42.7,0.0,16.1,319,Very Poor,1007.6,6.6
8/12/2024,Bengaluru,Karnataka,25.5,11.1,18.3,71.9,0.0,16.0,135,Moderate,1011.5,52.5
8/13/2024,Bengaluru,Karnataka,34.1,28.1,31.1,47.8,0.0,17.2,275,Poor,1015.1,67.1
8/14/2024,Bengaluru,Karnataka,32.1,17.7,24.9,45.6,0.0,16.8,58,Satisfactory,1001.5,70.6
8/15/2024,Bengaluru,Karnataka,36.8,26.0,31.4,65.3,3.5,10.0,82,Satisfactory,993.0,33.2
8/16/2024,Bengaluru,Karnataka,28.2,16.3,22.2,68.6,20.5,16.3,269,Poor,1019.6,28.4
8/17/2024,Bengaluru,Karnataka,41.6,27.6,34.6,34.4,0.0,5.9,194,Moderate,1007.4,68.0
